platform,areaid,name
1,1,永恒仙域
1,2,彩云圣城
1,3,九天仙界
1,4,万魔古殿
1,5,幻海仙山
1,6,神海仙宗
1,7,玄阳道门
1,8,幽土残界
1,9,仙灭之地
1,10,幽火魔域
1,11,仙魔战域
1,12,神罚之地
1,13,红莲净土
1,14,苍穹神域
1,15,永劫幻境
1,16,极寒冰狱
1,17,天下无双
1,18,仙道封尊
1,19,修罗幻境
1,20,凡尘清心
1,21,鸿蒙天道
1,22,仙凡逍遥
1,23,百炼腾空
1,24,剑击长空
1,25,蜀道晴天
1,26,征战仙凡
1,27,醉笑九天
1,28,仗剑凡尘
1,29,乱世无双
1,30,日月仙尊
1,31,天荒古境
1,32,飞龙乘云
1,33,暮烟飞雪
1,34,血暮尘沙
1,35,碧血山河
1,36,江山如画
1,37,红袖添香
1,38,海纳百川
1,39,修仙之旅
1,40,烟柳白堤
1,41,莺歌燕舞
1,42,修真道法
1,43,相忘江湖
1,44,杏雨微澜
1,45,春色入画
1,46,斜风细雨
1,47,空谷幽兰
1,48,暮雨飞烟
1,49,傲笑苍茫
1,50,笑忘红尘
1,51,秋雨如梦
1,52,婆罗浮屠
1,53,神仙幻境
1,54,仙武奇侠
1,55,相濡以沫
1,56,王者之巅
1,57,烟月红尘
1,58,天道雷罡
1,59,远古凤巢
1,60,独霸天下
1,61,独步苍穹
1,62,飞檐走壁
1,63,豪杰聚义
1,64,阳春三月
1,65,醉落红尘
1,66,情牵鹊桥
1,67,凤舞九天
1,68,月落西山
1,69,九天揽月
1,70,八荒六合
1,71,月下柳梢
1,72,九霄云外
1,73,九阴白骨
1,74,酒息剑宁
1,75,绝壁悬梯
1,76,绝代双骄
1,77,开天辟地
1,78,亢龙有悔
1,79,狂剑天涯
1,80,旷世绝今
1,81,红颜祸水
1,82,寻仙问道
1,83,踏破星辰
1,84,乱世枭雄
1,85,双龙会武
1,86,登峰造极
1,87,风起云涌
1,88,雄霸天下
1,89,斗罗仙境
1,90,幻世仙剑
1,91,灵源先知
1,92,神仙眷侣
1,93,荒年古道
1,94,问鼎仙凡
1,95,云起龙骧
1,96,漫天飞雪
1,97,雨落双桥
1,98,绿荫幽草
1,99,春雨润物
1,100,云淡风轻
1,101,独步天下
1,102,秋山问道
1,103,春风物语
1,104,百烽瑞年
1,105,千秋北斗
1,106,幽情素心
1,107,瑶池仙境
1,108,桃李天下
1,109,轮回转世
1,110,星空乾坤
1,111,鬼斧神工
1,112,文韬笔墨
1,113,仙风道骨
1,114,潜龙勿用
1,115,天人合一
1,116,蓝田生玉
1,117,武技秘法
1,118,鬼影迷踪
1,119,惊艳四座
1,120,射艺无双
1,121,千里姻缘
1,122,闭月羞花
1,123,紫色幽竹
1,124,昨夜星辰
1,125,彩凤双舞
1,126,剑饮狂舞
1,127,大杀四方
1,128,风云再起
1,129,剑气箫心
1,130,移花接木
1,131,剑破天光
1,132,云顶天宫
1,133,柳浪闻莺
1,134,剑走偏锋
1,135,刀光剑影
1,136,神行天下
1,137,倾世桃源
1,138,白云千载
1,139,剑胆琴心
1,140,花落半歌
1,141,技冠群雄
1,142,剑拔弩张
1,143,花好月圆
1,144,沧海流云
1,145,阡陌红尘
1,146,千里飘雪
1,147,日暮烟渚
1,148,旷世奇才
1,149,森罗万象
1,150,九曲龙吟
1,151,华山论剑
1,152,清风明月
1,153,烽火燎天
1,154,寒木春华
1,155,水光流动
1,156,虎啸千里
1,157,寻本溯源
1,158,指天问道
1,159,蟠桃仙聚
1,160,南极仙翁
1,161,魔尊古岛
1,162,幻蝶成影
1,163,淡舞落羽
1,164,流光异彩
1,165,如花似玉
1,166,一抹红尘
1,167,梦回千年
1,168,钟灵毓秀
1,169,沧山映水
1,170,如梦如幻
1,171,语笑嫣然
1,172,月隐星翻
1,173,碧海蓝天
1,174,剑气惊鸿
1,175,千里冰霜
1,176,伊人守望
1,177,浪迹天涯
1,178,花舞影落
1,179,水龙吟月
1,180,苍穹之怒
1,181,七里飘香
1,182,倾城佳人
1,183,山林静寂
1,184,鱼游四海
1,185,怡然秋色
1,186,萌芽之春
1,187,朔日流光
1,188,烟光笼罩
1,189,战神争霸
1,190,八仙过海
1,191,暗黑动乱
1,192,极道金丹
1,193,冬日温情
1,194,斗战九霄
1,195,细雨如酥
1,196,大江东去
1,197,花样年华
1,198,七界逍遥
1,199,月落星沉
1,200,魂劳梦断
1,201,蒲牢鸣天
1,202,凤翼天翔
1,203,涅磐重生
1,204,绕梁三日
1,205,一飞冲天
1,206,一枝独秀
1,207,波澜不惊
1,208,湖光山色
