id,language
1,我
2,今后与你分道扬镳，从此陌路，请保重。
3,分道扬镳
4,在今天完成结义！他们今后将生死与共，有福同享，有难同当！！
10,零
11,一
12,二
13,三
14,四
15,五
16,六
17,七
18,八
19,九
20,日
21,一
22,二
23,三
24,四
25,五
26,六
27,日
30,
31,[1c252c]
32,[008800]
33,[0065ba]
34,[ac35ab]
35,[a74b26]
36,[df0000]
37,[-]
101,加入仙盟
102,离开仙盟
103,捐献
104,被任命为副盟主
105,转让盟主给
106,盟主自动转让给
107,开启了仙盟boss
110,神通广大，成功创建
111,级仙盟
113,欢迎
114,加入本仙盟
116,仙盟正在期待您的加入
117,点击加入
120,捐献了
121,同意了
122,对
123,x
124,物品的申请
125,仙盟仓库取出物资提示
126,恭喜你，
127,已经批准了你的物资申请，期待你为本仙盟作出更大的贡献！
128,盟主
129,副盟主
130,解散仙盟
131,由于您的仙盟长期无人维护，已自动解散！
132,仙盟解散仓库物资返还
133,仙盟已经解散，仓库里的物资会返还给盟主
134,盟主职位转让
135,由于您7日内未上线，您的盟主职位已自动转让给副盟主或贡献最高的成员！
136,由于盟主7日内未上线，盟主职位已自动转让，您现在是新的盟主了！
137,成员齐心协力，仙盟成功提升至%d级！
139,封妖大阵奖励
140,(协助)
141,、
142,在玩家
143,的共同努力下，成功封印大妖，获得了%d点仙盟贡献奖励。
144,[0FF1FF][仙盟][-]
145,发起了封印协助请求，还差
146,人[[url=7-161022000][u][18ff00]点击帮助[-][/u][/url]]
147,的共同努力下，成功封印了大妖。
148,在
149,向[url=7-161013000][u][0d4795]仙盟仓库[-][/u][/url]中放入了
150,从[url=7-161013000][u][0d4795]仙盟仓库[-][/u][/url]中取出了
200,
201,【点击申请】
202,创建了巫江仙府(地狱)队伍,暂缺
203,
204,欢迎
205,加入本仙盟
206,
207,[0d4795]杂货店[-]
300,在悟道时,精诚所至!
301,[df0000]雨水之道[-]
302,[72b0ed]烈火之道[-]
303,[0065ba]疾风之道[-]
304,[008800]玄冰之道[-]
305,[361198]雷电之道[-]
306,反馈予
307,倍奖励，获得
308,道具
401,由于仙盟个数少于3个，所以本次仙盟争霸战不开启
402,将于今晚21:00开启，
403,仙盟争霸战决赛将在1分钟之后开启，请做好准备！
404,仙盟争霸战结束，
405,获得本届比赛冠军！
406,仙盟争霸战第一轮战斗结束，仙盟
407,、
408,与
409,进入第二轮决赛争夺!
410,仙盟争霸5分钟后开始！
411,仙盟争霸开始了！
412,点击查看
413,战场信息
414,仙盟争霸战
415,仙盟争霸奖励
416,本轮仙盟争霸中，您取得个人资源奖励前3名的佳绩！获得[df0000]%d[-]点仙盟贡献奖励！
417,本轮仙盟争霸结束，您获得[df0000]%d[-]点仙盟贡献奖励！
501,创建了
502,队伍，暂缺
503,点击加入
504,创建了除暴副本队伍，邀你共同寻宝，组队有经验加成哦，快来参加吧！
505,创建了平乱副本队伍，邀你共同寻宝，组队有经验加成哦，快来参加吧！
506,创建了极速挑战队伍，当前进度：
601,仙盟守护活动即将开启
602,本次仙盟守护活动失败
603,本次仙盟守护活动成功
604,奖励个人贡献%d，请注意查收！
