id,taskid,state,npcid,talk,rank
1,100000001,0,9010001,原来你在这边偷闲，可让我一番好找。,1
2,100000001,2,-1,修行之余，忙里偷闲而已，秋叶姐找我有事？,1
3,100000002,0,9010001,是公子要我来寻你，公子正在演武场等候，像是有什么事找你商议。,1
4,100000002,2,9010002,你我历经轮回，来到这大夏世界的纪氏西府也已多年，却不知你如今实力如何？,1
5,100000003,0,9010002,府内的黑甲卫似乎在争抢什么古物，你且将他们制服，把东西取来看看。,1
6,100000003,2,9010002,这是……区区一卷平淡无奇的卷轴？如何能引得府内甲兵这般失态。,1
7,100000004,0,-1,此物似是一副画卷，可上面的灰尘未免也太多了些，究竟是尘封了多少年。,1
8,100000004,0,9010002,小心些将上面的灰尘拂去，这类古卷多半内藏玄机。,2
9,100000004,2,9010002,竟是女娲图！图案虽与我脑海中不同，但蕴含的观想之法却别无二致！,1
10,100000004,2,-1,此图似对我等修行多有裨益，之前尚未参透的术法，现已完全领悟！,2
11,100000005,0,9010002,你能得此至宝，修行之事自当无虞。唔，这声音……西府城似有骚动！,1
12,100000005,0,-1,我去瞧瞧！适才参悟古卷，五感澄明，正可趁此机会活动活动筋骨！,2
13,100000005,2,9010003,雪龙山暗中潜入西府，不知有何阴谋……你需尽快将他们控制。,1
14,100000006,0,-1,闯入者身上定有雪龙山传令的密信，就让我将密信夺来，瞧瞧他们的底细！,1
15,100000006,2,9010003,密探目的不过是探查情况，无需太过担心。说来以你的实力也该是外出游历的时候了。,1
16,100000007,0,9010001,你与公子外出试炼一事，老爷已命我准备妥当。正好，你快去将这事告诉公子吧。,1
17,100000007,2,9010002,外出历练么……哈哈，修行多年，父亲终于同意我们离开西府城了。,1
18,100000008,0,9010004,此地便是翼蛇湖了，听闻近来有妖蛇赤芒作恶，牺牲者众多。,1
19,100000008,0,-1,据说这赤芒蛇还拥有神魔血脉，危害极大……今日有我在此，绝不会将其放过。,2
20,100000008,2,9010004,如此轻易便灭杀了这赤芒，真不愧是与宁儿齐名的天才。,1
21,100000009,0,9010005,唔，怎会这样！我堂堂空青蛇王，竟被小小铁木氏逼至这般田地！,1
22,100000009,0,-1,此女正被犴兽追赶！我曾听闻东山泽盘踞着一条空青蛇王，看来她是被铁木氏追击至此。,2
23,100000009,0,9010002,犴兽的獠牙可是制作兵刃的好素材，既然碰上了，就让我们来助这空青蛇一臂之力吧！,3
24,100000009,2,9010005,主人，这东山泽我最是熟悉了，有小青我为你们带路，就请放一万个心吧！,1
25,100000009,2,9010002,击破了铁木氏的阵法，也一并救出了这空青蛇，没想到她却因此粘上我了。,2
26,100000010,0,9010005,对了主人，这附近明明是纪氏领地，近来雪龙山的人却活动的很频繁呢。,1
27,100000010,0,9010002,雪龙山与我纪氏素有仇怨，这次恐怕又在背地里谋划什么阴谋。,2
28,100000010,0,-1,既然如此，就让我们给他们准备一个大大的惊喜吧！,3
29,100000010,2,9010004,能将此地的雪龙山密探清理干净，这可真是大功一件啊！,1
30,100000010,2,-1,运气好而已，若是雪龙山派遣紫府修士在此，恐怕……唔，怎么突然间地动山摇！,2
31,100000010,2,9010002,震动来自远方，天际更有彩光乍现。不论如何，我们需速速返回西府。,3
32,100000011,0,9010003,你们匆忙赶回，想必也是察觉那阵天摇地动。,1
33,100000011,0,-1,纪伯伯，这究竟……,2
34,100000011,0,9010003,如今还难以判断，你速速赶去异变之地调查，若是矿脉现世，便带元石些回来。,3
35,100000011,2,9010003,这是……极品元石！如此大的富矿，恐怕会引来各方势力觊觎。,1
36,100000011,2,-1,说起来，我们这次外出历练便遭遇了铁木氏和雪龙山的敌人。,2
37,100000012,0,9010003,雪龙山，雪龙山……不能再等了，你需尽快前往赤龙山脉，将这矿脉转让给大夏王朝。,1
38,100000012,2,9010002,父亲命我驻守西府，若是情况不对……便用万里无踪符遁逃。,1
39,100000012,2,-1,你是纪氏未来的希望，当然不能随意行动。好了，报信的任务就交给我吧！,2
40,100000013,0,9010004,希望你不要记恨一川，对他来说，只要能保住纪氏，就连自己的性命都是可以牺牲的。,1
41,100000013,2,9010004,多加小心，敌对势力若想避免大夏王朝的介入，途中必定设下重重阻碍……,1
42,100000013,2,-1,没事的，白叔，此事我早有觉悟。,2
43,100000014,0,-1,怎么回事，明明还没走多远，竟已经误入阵法之内！,1
44,100000014,0,9010006,纪氏族人，区区一先天小儿，也妄想避开我雪龙山的雪龙飞天阵？,2
45,100000014,2,-1,怎会，雪龙山竟能在这么短的时间内设下阻隔用的大阵！,1
46,100000014,2,9010006,回去转告你们纪氏的长辈。你们与我雪龙山差距太大，还是聪明点，把矿脉乖乖交出来吧！,2
47,100000015,0,-1,雪龙山在沿途布下阵法禁制，我根本无法通过。,1
48,100000015,0,9010004,别慌，此阵是以阵旗结合方位构成，你将此处阵旗拔去，即可破解！,2
49,100000015,2,-1,阵旗缺失，阵法必破。但那许离真人想必已经察觉。,1
50,100000016,0,9010006,纪氏竟能破开我的阵法！很好，那便手下见真章吧！,1
51,100000016,0,-1,许离，你虽是万象真人，但面对我们纪氏一族的全力抵抗，恐怕也会有性命之危！,2
52,100000016,0,9010006,性命之危？哈哈哈哈，你说的没错，所以就让这家伙来替我以身涉险吧！,3
53,100000016,2,9010006,击败了翼蛇又如何？纪一川暗伤在身，强行以禁术催动护族大阵，又撑的了多久呢。,1
54,100000016,2,9010007,因一点小小的优势洋洋得意，雪龙山的万象真人果然也就是这种程度么。,2
55,100000016,2,9010006,在背后叽叽喳喳的，你又是何人！,3
56,100000017,0,9010007,此地矿脉，我安澶北山氏愿意接收。雪龙山之人，你可以走了。,1
57,100000017,0,9010006,这……该死，北山氏竟选在这个时候插手……算你们好运！,2
58,100000017,0,-1,仅凭一句话就令万象真人默默退去。这就是统治整个安澶郡的北山氏么。,3
