id,big_name,small_name,name_id
1,护肩,神魔,1001
2,护肩,剑仙,1002
3,护肩,灵心,1003
4,衣服,神魔,1101
5,衣服,剑仙,1102
6,衣服,灵心,1103
7,护腿,神魔,1201
8,护腿,剑仙,1202
9,护腿,灵心,1203
10,护腕,神魔,1301
11,护腕,剑仙,1302
12,护腕,灵心,1303
13,腰带,神魔,1401
14,腰带,剑仙,1402
15,腰带,灵心,1403
16,鞋子,神魔,1501
17,鞋子,剑仙,1502
18,鞋子,灵心,1503
19,头盔,神魔,1601
20,头盔,剑仙,1602
21,头盔,灵心,1603
22,项链,神魔,1701
23,项链,剑仙,1702
24,项链,灵心,1703
25,护符,神魔,1801
26,护符,剑仙,1802
27,护符,灵心,1803
28,戒指,神魔,1901
29,戒指,剑仙,1902
30,戒指,灵心,1903
31,武器,神魔,2001
32,武器,剑仙,2002
33,武器,灵心,2003
34,手套,神魔,2101
35,手套,剑仙,2102
36,手套,灵心,2103
37,神兽装备,青龙珠,2601
38,神兽装备,朱雀羽,2602
39,神兽装备,白虎牙,2603
40,神兽装备,玄武甲,2604
41,宝石,生命宝石,2201
42,宝石,攻击宝石,2202
43,宝石,防御宝石,2203
44,宝石,命中宝石,2204
45,宝石,闪避宝石,2205
46,宝石,暴击宝石,2206
47,宝石,韧性宝石,2207
48,变强,药品,2301
49,变强,强化,2302
50,变强,升阶,2303
51,变强,洗炼,2304
52,变强,羽翼,2305
53,变强,玄兵,2306
54,变强,神铸,2308
55,变强,其他,2307
56,骑宠,伙伴魂晶,2401
57,骑宠,骑宠变强,2402
58,骑宠,伙伴魂石,2403
59,骑宠,坐骑装备,2404
60,其他,鲜花,2501
61,其他,时装,2502
62,其他,经验,2503
63,其他,宝箱,2504
