id,monster_id,monster_level,monster_type,value,position,rotation,scale,copy_name,copy_id,level
1,503001,50,1,43200,,,,万魔殿,80201,-1
2,503002,50,1,50400,,,,万魔殿,80202,-1
3,503003,50,1,57600,,,,万魔殿,80203,-1
4,503004,50,1,64800,,,,万魔殿,80204,-1
5,503005,50,1,72000,,,,万魔殿,80205,-1
6,503006,50,1,79200,,,,万魔殿,80206,-1
7,202101,30,2,1800,,,,玄阳门,10102,-1
8,204101,45,2,1800,,,,残仙界,10104,-1
9,205101,55,2,1800,,,,魔域核心,10105,-1
10,504001,30,3,60,,,,封印秘境,80301,30
11,504002,35,3,900,,,,封印秘境,80302,35
12,504003,40,3,1800,,,,封印秘境,80303,40
13,504004,45,3,2700,,,,封印秘境,80304,45
14,504005,50,3,3600,,,,封印秘境,80305,50
15,504006,55,3,5400,,,,封印秘境,80306,55
16,504007,60,3,7200,,,,封印秘境,80307,60
17,206002,30,4,1800,,,,囚天大狱,80101,-1
18,206004,35,4,1800,,,,囚天大狱,80101,-1
19,206006,40,4,1800,,,,囚天大狱,80101,-1
20,206008,45,4,1800,,,,囚天大狱,80101,-1
21,206010,50,4,1800,,,,囚天大狱,80101,-1
22,206012,55,4,1800,,,,囚天大狱,80102,-1
23,206014,60,4,1800,,,,囚天大狱,80102,-1
24,206016,65,4,1800,,,,囚天大狱,80102,-1
25,206018,70,4,1800,,,,囚天大狱,80102,-1
26,206020,75,4,1800,,,,囚天大狱,80102,-1
27,206022,80,4,1800,,,,囚天大狱,80102,-1
28,207001,30,5,1800,,,,里·囚天大狱,80103,-1
29,207002,35,5,1800,,,,里·囚天大狱,80103,-1
30,207003,40,5,1800,,,,里·囚天大狱,80103,-1
31,207004,45,5,1800,,,,里·囚天大狱,80103,-1
32,207005,50,5,1800,,,,里·囚天大狱,80103,-1
33,207006,55,5,1800,,,,里·囚天大狱,80103,-1
34,207007,60,5,1800,,,,里·囚天大狱,80103,-1
