id,car_kind,costid,costnumber,result,objectid,number,bind,monsterid
1,1,-1,0,1,215513001,300,1,702001
2,1,-1,0,1,215514001,50000,1,702001
3,1,-1,0,2,215513001,120,1,702001
4,1,-1,0,2,215514001,20000,1,702001
5,2,215514001,20000,1,215513001,600,1,702002
6,2,215514001,20000,1,215514001,120000,1,702002
7,2,215514001,20000,2,215513001,300,1,702002
8,2,215514001,20000,2,215514001,60000,1,702002
9,3,215501001,50,1,215513001,1000,1,702003
10,3,215501001,50,1,215514001,300000,1,702003
11,3,215501001,50,2,215513001,600,1,702003
12,3,215501001,50,2,215514001,180000,1,702003
