id,poem,rank,word,ratio
1,1,1,问,570
2,1,2,世,570
3,1,3,间,570
4,1,4,情,570
5,1,5,为,570
6,1,6,何,570
7,1,7,物,570
8,1,8,直,570
9,1,9,教,570
10,1,10,人,570
11,1,11,生,570
12,1,12,死,570
13,1,13,相,570
14,1,14,许,570
15,2,1,在,570
16,2,2,天,570
17,2,3,愿,570
18,2,4,做,570
19,2,5,比,570
20,2,6,翼,570
21,2,7,鸟,570
22,2,8,在,570
23,2,9,地,570
24,2,10,愿,570
25,2,11,为,570
26,2,12,连,570
27,2,13,理,570
28,2,14,枝,570
29,3,1,执,1000
30,3,2,子,1000
31,3,3,之,1000
32,3,4,手,1000
33,3,5,与,1000
34,3,6,子,1000
35,3,7,偕,1000
36,3,8,老,1000
37,4,1,窈,1000
38,4,2,窕,1000
39,4,3,淑,1000
40,4,4,女,1000
41,4,5,君,1000
42,4,6,子,1000
43,4,7,好,1000
44,4,8,逑,1000
45,5,1,结,800
46,5,2,发,800
47,5,3,为,800
48,5,4,夫,800
49,5,5,妻,800
50,5,6,恩,800
51,5,7,爱,800
52,5,8,两,800
53,5,9,不,800
54,5,10,疑,800
55,6,1,落,800
56,6,2,花,800
57,6,3,人,800
58,6,4,独,800
59,6,5,立,800
60,6,6,微,800
61,6,7,雨,800
62,6,8,燕,800
63,6,9,双,800
64,6,10,飞,800
