id,guideid,step,describe,direction,sound
1,501,1,亲爱的主人，欢迎来到莽荒世界。我是您的专属引仙使，陪伴您一路修行！,1,
2,501,2,点击左侧任务栏就能进行主线任务啦,1,audio/guide/guide_2.ogg
3,103,1,解锁了新技能，主人快试试新技能的超强威力吧,3,audio/guide/guide_3.ogg
4,503,4,点击按钮开始自动战斗,3,-1
5,503,5,点击退出按钮离开副本,3,-1
6,503,6,点击弹窗确认，即可离开副本,2,-1
7,504,4,开启自动战斗,3,-1
8,504,5,点击退出按钮离开副本,3,-1
9,504,6,点击弹窗确认，即可离开副本,2,-1
10,104,1,哇哦，主人获得了一枚伙伴魂晶！,3,audio/guide/guide_4.ogg
11,104,2,使用伙伴魂晶能够召唤伙伴分身为您而战！,2,-1
12,104,3,快些点击使用，将伙伴召唤出来吧！,3,-1
13,104,4,点击此处，关闭背包页面,4,-1
14,104,5,点击外观按钮，即可查看伙伴界面,3,audio/guide/guide_5.ogg
15,104,6,点击出战，就能让伙伴陪主人一起游历大夏,3,-1
16,104,7,点击此处，关闭外观页面,1,-1
17,107,1,点击此处，进入坐骑界面,3,audio/guide/guide_6.ogg
18,107,2,通过这个按钮，就能自由骑上或乘下坐骑,3,-1
19,107,3,通过培养提升坐骑，可以让它变得更加强大,3,-1
20,108,1,应龙试炼需从玩法中选择,4,audio/guide/guide_7.ogg
21,108,2,点击应龙试炼按钮，开启对应界面,4,-1
22,108,3,挑战应龙试炼，就能收获好多好多的悟性啦,1,-1
23,108,4,点击进入，勇闯应龙试炼,3,-1
24,108,5,获得的悟性可用来升级技能，快去试试吧！,3,-1
25,108,6,点击头像，也可进入人物系统哦,2,audio/guide/guide_8.ogg
26,108,7,点击技能分页，开启技能界面,4,-1
27,108,8,消耗悟性，升级技能,3,-1
28,110,1,点击锻造按钮，开启强化界面,3,audio/guide/guide_9.ogg
29,110,2,消耗强化石将完美槽填满便能提升强化等级,3,-1
30,111,1,点击玩法按钮，选择副本玩法,4,audio/guide/guide_10.ogg
31,111,2,点击副本按钮，开启副本选择界面,4,-1
32,111,3,潜入水府探秘，赢取大量强化石奖励,3,-1
33,113,1,切换头像下方的战斗模式就能自由进行PK,2,audio/guide/guide_11.ogg
34,113,2,选择善恶模式，替天行道吧！,2,-1
35,113,3,点击确定，即可切换当前战斗模式,3,-1
36,113,4,开启自动战斗，消灭冬七，一雪前仇！,3,-1
37,113,5,点击退出按钮离开副本,3,-1
38,113,6,点击弹窗确认，即可离开副本,2,-1
39,113,7,让我们看看新得到的道具有什么作用吧,3,audio/guide/guide_12.ogg
40,113,8,获得的道具都放在背包中，打开瞧瞧吧,3,-1
41,113,9,使用回元丹可解除PK受伤状态,2,-1
42,113,10,选中气运油,2,-1
43,113,11,使用气运油加持武器，就有几率输出成吨伤害,3,-1
44,115,1,开启激战BOSS，挑战三界大妖,4,audio/guide/guide_13.ogg
45,115,2,先在世界牢狱中试试身手吧,4,-1
46,115,3,打倒boss有几率获得强力紫装,3,-1
47,116,1,分解功能需通过背包开启,3,audio/guide/guide_14.ogg
48,116,2,点击分解分页，就能看到分解界面了,3,-1
49,116,3,选择一件需分解的物品放入,3,-1
50,116,4,点击分解，可将背包里多余的装备废物利用,3,-1
51,116,5,分解弹窗会展示分解得到的物品,2,-1
52,116,6,通过分解界面内的便捷按钮，可开启锻造页面,3,audio/guide/guide_15.ogg
53,116,7,方才分解得到的升阶石，正可供装备升阶使用,3,-1
54,116,8,消耗升阶石可提升装备等级,3,-1
55,117,1,点击此处，开启天宝阁,4,-1
56,117,2,抽取一次宝物，试试自己的气运如何,1,-1
57,117,3,哇，恭喜主人抽到了稀有的宝物,4,-1
58,117,4,抽取到的物品会被放在临时仓库,1,-1
59,117,5,点击想要取出的物品,2,-1
60,117,6,点击取出，就能把宝贝放进随身背包啦,3,-1
61,118,1,快去加入仙盟，认识更多志同道合的朋友吧！,3,audio/guide/guide_17.ogg
62,119,1,山水图内景色虽美，争斗的凶险却也不小呢,4,-1
63,119,2,点击副本按钮，即可开启副本列表,4,-1
64,119,3,通关明月山水图，获取大量经验铜钱奖励,3,-1
65,120,1,点击玩法按钮，查看竞技场玩法,4,-1
66,120,2,点击竞技场按钮，开启竞技场界面,4,-1
67,120,3,每次挑战都能获得经验与悟性哦~,1,-1
68,121,1,终于能够重返巫江仙府了，主人有没有觉得怀念呢！,4,-1
69,121,2,进入副本界面就能找到仙府的入口。,4,-1
70,121,3,巫江仙府副本可以组队进入哦。,1,-1
71,121,4,创建队伍后，就能选择开始副本了。,3,-1
72,121,5,进入巫江仙府需要消耗体力，主人可要量力而为哦。,3,-1
73,122,1,融魂之法能以伙伴副魂滋养主魂,4,-1
74,122,2,打开外观系统,3,-1
75,122,3,点击伙伴按钮,1,-1
76,122,4,选择融魂分页,2,-1
77,122,5,打开融魂界面,4,-1
78,122,6,选择欲保留的主魂，及作为融魂素材的副魂,4,-1
79,122,7,点击融魂按钮，即可消耗副魂提升主魂资质,3,-1
80,123,1,伙伴成长能让伙伴们的实力进一步提升,3,-1
81,123,2,与之前一样选择伙伴按钮,1,-1
82,123,3,点击新开启的成长界面,2,-1
83,123,4,消耗修炼元液提升成长等级，解锁伙伴称号,3,-1
84,124,1,伙伴们被困寂灭之域内，快去拯救他们,4,-1
85,124,2,在玩法弹窗中点击副本按钮,4,-1
86,124,3,此副本产出各类伙伴养成材料,3,-1
87,125,1,通过灵修之法可额外强化伙伴的战斗属性哦,3,-1
88,125,2,照例选择伙伴按钮哟,1,-1
89,125,3,点击新开启的伙伴灵修分页,4,-1
90,125,4,消耗灵修丹就能单独强化伙伴的属性了,1,-1
91,126,1,解锁洗炼之法，就能给装备附加洗炼属性哦,3,-1
92,126,2,在锻造界面中点击新开启的洗炼分页,3,-1
93,126,3,消耗洗炼石进行洗炼，便能随机产生一组洗炼属性,1,-1
94,126,4,点击替换，便能将洗炼出的属性赋予到装备上,1,-1
95,127,1,东林宗已成为无间门秘制傀儡之地，主人务必小心,4,-1
96,127,2,在玩法中点击副本按钮,4,-1
97,127,3,完成副本就能得到大量洗炼石奖励,3,-1
98,128,1,开启伙伴功法，让伙伴为你带来新的助力,3,-1
99,128,2,点击伙伴按钮,1,-1
100,128,3,在伙伴界面点击功法分页,4,-1
101,128,4,点选一位伙伴,4,-1
102,128,5,点击获得功法按钮,3,-1
103,128,6,消耗空白书页进行抄写便能随机获得功法书,3,-1
104,128,7,点击选择，获取抄写出的功法书,4,-1
105,128,8,已拥有的功法书可供伙伴使用，点击关闭抄写页面,4,-1
106,129,1,进行转生，让你的等级突破极限，进无止境！,2,-1
107,129,2,在人物系统中点击转生，即可开启转生界面,3,-1
108,129,3,到达指定等级后，消耗修为即可进行转生,3,-1
109,130,1,恭喜主人获得一件隐世玄兵,3,-1
110,130,2,点击玄兵按钮，即可开启玄兵界面,1,-1
111,130,3,点击此处激活玄兵,1,-1
112,130,4,激活后点击佩戴，玄兵便能伴您左右,1,-1
113,131,1,将宝石镶嵌在装备上，以宝石之力庇护己身,3,-1
