id,level,health,attack,defence,crit,toughness,hit,dodge,process,minprocess,maxprocess,costid,costnumber,moneynumber
1,100,0,0,0,0,0,0,0,1000,140,350,184365001,1,9800
2,101,0,0,0,0,0,60,0,1000,120,300,184365001,1,9800
3,102,6000,0,0,0,0,0,0,1000,110,260,184365001,1,9800
4,103,0,0,0,0,0,0,60,1000,90,220,184365001,1,9800
5,104,0,0,0,0,120,0,0,1000,70,170,184365001,1,9800
6,105,0,0,0,120,0,0,0,1000,50,130,184365001,1,9800
7,106,0,0,120,0,0,0,0,1000,40,90,184365001,2,9800
8,107,0,120,0,0,0,0,0,1000,40,100,184365001,2,19600
9,108,0,0,0,0,0,90,0,1000,40,100,184365001,2,19600
10,109,9000,0,0,0,0,0,0,1000,40,90,184365001,3,19600
11,200,0,0,0,0,0,0,90,1000,30,80,184365001,3,19600
12,201,0,0,0,0,180,0,0,1000,30,70,184365001,3,19600
13,202,0,0,0,180,0,0,0,1000,20,60,184365001,3,19600
14,203,0,0,180,0,0,0,0,1000,20,50,184365001,4,19600
15,204,0,180,0,0,0,0,0,1000,20,60,184365001,4,29400
16,205,0,0,0,0,0,120,0,1000,20,50,184365001,4,29400
17,206,12000,0,0,0,0,0,0,1000,20,50,184365001,4,29400
18,207,0,0,0,0,0,0,120,1000,20,40,184365001,4,29400
19,208,0,0,0,0,240,0,0,1000,20,40,184365001,4,29400
20,209,0,0,0,240,0,0,0,1000,10,30,184365001,4,29400
21,300,0,0,240,0,0,0,0,1000,10,30,184365001,4,29400
22,301,0,240,0,0,0,0,0,1000,10,30,184365001,4,39200
23,302,0,0,0,0,0,150,0,1000,10,30,184365001,4,39200
24,303,15000,0,0,0,0,0,0,1000,10,30,184365001,4,39200
25,304,0,0,0,0,0,0,150,1000,10,30,184365001,4,39200
26,305,0,0,0,0,300,0,0,1000,10,30,184365001,4,39200
27,306,0,0,0,300,0,0,0,1000,10,30,184365001,4,39200
28,307,0,0,300,0,0,0,0,1000,10,30,184365001,5,39200
29,308,0,300,0,0,0,0,0,1000,10,30,184365001,5,49000
30,309,0,0,0,0,0,180,0,1000,10,30,184365001,5,49000
31,400,18000,0,0,0,0,0,0,1000,10,30,184365001,5,49000
32,401,0,0,0,0,0,0,180,1000,10,30,184365001,5,49000
33,402,0,0,0,0,360,0,0,1000,10,30,184365001,5,49000
34,403,0,0,0,360,0,0,0,1000,10,30,184365001,5,49000
35,404,0,0,360,0,0,0,0,1000,10,30,184365001,5,49000
36,405,0,360,0,0,0,0,0,1000,10,30,184365001,5,58800
37,406,0,0,0,0,0,210,0,1000,10,30,184365001,5,58800
38,407,21000,0,0,0,0,0,0,1000,10,30,184365001,5,58800
39,408,0,0,0,0,0,0,210,1000,10,30,184365001,5,58800
40,409,0,0,0,0,420,0,0,1000,10,30,184365001,6,58800
41,500,0,0,0,420,0,0,0,1000,10,30,184365001,6,58800
42,501,0,0,420,0,0,0,0,1000,10,30,184365001,6,58800
43,502,0,420,0,0,0,0,0,1000,10,30,184365001,6,68600
44,503,0,0,0,0,0,240,0,1000,10,20,184365001,6,68600
45,504,24000,0,0,0,0,0,0,1000,10,20,184365001,6,68600
46,505,0,0,0,0,0,0,240,1000,10,20,184365001,6,68600
47,506,0,0,0,0,480,0,0,1000,10,20,184365001,6,68600
48,507,0,0,0,480,0,0,0,1000,10,20,184365001,6,68600
49,508,0,0,480,0,0,0,0,1000,10,20,184365001,6,68600
50,509,0,480,0,0,0,0,0,1000,10,20,184365001,7,78400
51,600,0,0,0,0,0,270,0,1000,10,20,184365001,7,78400
52,601,27000,0,0,0,0,0,0,1000,10,20,184365001,7,78400
53,602,0,0,0,0,0,0,270,1000,10,20,184365001,7,78400
54,603,0,0,0,0,540,0,0,1000,10,20,184365001,7,78400
55,604,0,0,0,540,0,0,0,1000,10,20,184365001,7,78400
56,605,0,0,540,0,0,0,0,1000,10,20,184365001,8,78400
57,606,0,540,0,0,0,0,0,1000,10,20,184365001,8,88200
58,607,0,0,0,0,0,320,0,1000,10,20,184365001,8,88200
59,608,32000,0,0,0,0,0,0,1000,10,20,184365001,8,88200
60,609,0,0,0,0,0,0,320,1000,10,20,184365001,8,88200
61,700,0,0,0,0,640,0,0,1000,10,20,184365001,8,88200
62,701,0,0,0,640,0,0,0,1000,10,20,184365001,8,88200
63,702,0,0,640,0,0,0,0,1000,10,20,184365001,9,88200
64,703,0,640,0,0,0,0,0,1000,10,20,184365001,9,98000
65,704,0,0,0,0,0,360,0,1000,10,20,184365001,9,98000
66,705,36000,0,0,0,0,0,0,1000,10,20,184365001,9,98000
67,706,0,0,0,0,0,0,360,1000,10,20,184365001,9,98000
68,707,0,0,0,0,720,0,0,1000,10,20,184365001,9,98000
69,708,0,0,0,720,0,0,0,1000,10,20,184365001,9,98000
70,709,0,0,720,0,0,0,0,1000,10,20,184365001,9,98000
71,710,0,720,0,0,0,0,0,1000,10,20,184365001,-1,-1
