id,icon,name,describe,star,kind,value,systemid
1,10063,20063,装备强化,5,1,121000000,121000000
2,10063,20063,装备升阶,5,1,122000000,122000000
3,10063,20063,羽翼,4,1,131030000,131030000
4,10063,20063,技能提升,4,1,102000000,102000000
5,10065,20065,环式任务,5,3,9030007,250000000
6,10065,20065,试炼任务,4,3,9030010,260000000
7,10065,20065,封印秘地,5,2,10017,244000000
8,10065,20065,探宝寻踪,5,2,10018,244000000
9,10065,20065,副本,4,1,243010000,243010000
10,10065,20065,竞技场,4,1,245000000,245000000
11,10065,20065,天宝阁,4,1,500000000,500000000
12,10065,20065,激战BOSS,3,1,241000000,241000000
13,10066,20066,明月山水图,5,1,243010110,243010110
14,10066,20066,封印秘地,6,2,10017,244000000
15,10066,20066,探宝寻踪,6,2,10018,244000000
16,10066,20066,每日运镖,4,2,10002,244000000
17,10066,20066,论道之战,4,2,10008,244000000
18,10066,20066,无间入侵,4,2,10003,244000000
19,10054,22054,寂灭之域,5,1,243010120,243010120
20,10054,22054,坐骑进化,4,1,131010100,131010100
21,10054,22054,悟道,3,1,224000000,224000000
22,10054,22054,商城购买,3,1,203000000,203000000
23,10064,20064,激战BOSS,5,1,241000000,241000000
24,10064,20064,每日必做,5,1,230000000,230000000
25,10064,20064,竞技场,4,1,245000000,245000000
26,10064,20064,应龙试炼,4,1,242000000,242000000
