id,level,exp
1,30,8333
2,31,8750
3,32,9188
4,33,9647
5,34,10129
6,35,10635
7,36,11167
8,37,11725
9,38,12311
10,39,12927
11,40,13573
12,41,14252
13,42,14965
14,43,15713
15,44,16499
16,45,17324
17,46,18190
18,47,19100
19,48,20055
20,49,21058
21,50,22111
22,51,23217
23,52,24378
24,53,25597
25,54,26877
26,55,28221
27,56,29632
28,57,31114
29,58,32670
30,59,34304
31,60,36019
32,61,37820
33,62,39711
34,63,41697
35,64,43782
36,65,45971
37,66,48270
38,67,50684
39,68,53218
40,69,55879
41,70,58673
42,71,61607
43,72,64687
44,73,67921
45,74,71317
46,75,74883
47,76,78627
48,77,82558
49,78,86686
50,79,91020
51,80,95571
52,81,100350
53,82,105368
54,83,110636
55,84,116168
56,85,121976
57,86,128075
58,87,134479
59,88,141203
60,89,148263
61,90,155676
62,91,163460
63,92,171633
64,93,180215
65,94,189226
66,95,198687
67,96,208621
68,97,219052
69,98,230005
70,99,241505
71,100,253580
