id,boxid,objectid,number,bind,ratio,box_type
1,800009,195401001,1,1,1000,0
2,800009,194401002,1,1,400,0
3,800009,164254002,1,1,1000,0
4,800009,193403001,1,1,1000,0
5,800009,192403002,1,1,400,0
6,800009,183357001,1,1,400,0
7,800009,183358001,1,1,400,0
8,800009,183359001,1,1,400,0
9,800009,173304005,1,1,1000,0
10,800009,173304004,1,1,1000,0
11,800009,173304003,1,1,1000,0
12,800009,173304002,1,1,1000,0
13,800009,163255001,1,1,1000,0
14,800010,195401001,2,1,1000,1
15,800010,194401002,2,1,400,1
16,800010,164254002,2,1,1000,1
17,800010,193403001,2,1,1000,1
18,800010,192403002,2,1,400,1
19,800010,183357001,2,1,400,1
20,800010,183358001,2,1,400,1
21,800010,183359001,2,1,400,1
22,800010,173304005,2,1,1000,1
23,800010,173304004,2,1,1000,1
24,800010,173304003,2,1,1000,1
25,800010,173304002,2,1,1000,1
26,800010,163255001,2,1,1000,1
27,800002,173304007,1,1,1500,0
28,800002,195401001,1,1,1000,0
29,800002,193403001,1,1,1000,0
30,800002,164254002,1,1,1500,0
31,800002,183357001,1,1,500,0
32,800002,183358001,1,1,500,0
33,800002,183359001,1,1,500,0
34,800002,163256001,1,1,1000,0
35,800002,173304002,1,1,1500,0
36,800002,163255001,1,1,1000,0
37,810002,173304007,1,1,1500,0
38,810002,195401001,1,1,1000,0
39,810002,193403001,1,1,1000,0
40,810002,164254002,1,1,1500,0
41,810002,183357001,1,1,500,0
42,810002,183358001,1,1,500,0
43,810002,183359001,1,1,500,0
44,810002,163256001,1,1,1000,0
45,810002,173304002,1,1,1500,0
46,810002,163255001,1,1,1000,0
47,820002,173304007,1,1,1500,0
48,820002,195401001,1,1,1000,0
49,820002,193403001,1,1,1000,0
50,820002,164254002,1,1,1500,0
51,820002,183357001,1,1,500,0
52,820002,183358001,1,1,500,0
53,820002,183359001,1,1,500,0
54,820002,163256001,1,1,1000,0
55,830002,173304002,1,1,1500,0
56,830002,163255001,1,1,1000,0
57,830002,173304007,1,1,1500,0
58,830002,195401001,1,1,1000,0
59,830002,193403001,1,1,1000,0
60,830002,164254002,1,1,1500,0
61,830002,183357001,1,1,500,0
62,830002,183358001,1,1,500,0
63,830002,183359001,1,1,500,0
64,830002,163256001,1,1,1000,0
65,830002,173304002,1,1,1500,0
66,830002,163255001,1,1,1000,0
