id,level,actid,profession,light
1,20,1,1,143151120
2,20,1,2,143151220
3,20,1,3,143151320
4,25,2,1,143152120
5,25,2,2,143152220
6,25,2,3,143152320
7,30,3,1,143156130
8,30,3,2,143156230
9,30,3,3,143156330
10,35,4,1,143157130
11,35,4,2,143157230
12,35,4,3,143157330
13,40,5,1,142155140
14,40,5,2,142155240
15,40,5,3,142155340
16,45,6,1,142153140
17,45,6,2,142153240
18,45,6,3,142153340
19,1044,7,0,182352001
20,1047,8,0,182352001
21,1050,9,0,184353001
22,2049,10,0,184353001
23,2052,11,0,184353001
24,2055,12,0,184353001
25,3054,13,0,184353001
26,3057,14,0,184353001
27,3060,15,0,184353001
28,4059,16,0,184353001
29,4062,17,0,184353001
30,4065,18,0,184353001
31,5064,19,0,184353001
32,5067,20,0,184353001
33,5070,21,0,184353001
34,6069,22,0,184353001
35,6072,23,0,184353001
36,6075,24,0,184353001
