id,objectid,describe,title,icon,level,value_type,value,F9
1,112001001,运营活动中获得,活动获得,10020,30,1,233000000,
2,112001002,运营活动中获得,活动获得,10020,30,1,233000000,
3,112001003,运营活动中获得,活动获得,10020,30,1,233000000,
4,112001004,运营活动中获得,活动获得,10020,30,1,233000000,
5,112001005,运营活动中获得,活动获得,10020,30,1,233000000,
6,112002001,运营活动中获得,活动获得,10020,30,1,233000000,
7,112002002,运营活动中获得,活动获得,10020,30,1,233000000,
8,112002003,运营活动中获得,活动获得,10020,30,1,233000000,
9,112002004,运营活动中获得,活动获得,10020,30,1,233000000,
10,112002005,运营活动中获得,活动获得,10020,30,1,233000000,
11,112003001,运营活动中获得,活动获得,10020,30,1,233000000,
12,112003002,运营活动中获得,活动获得,10020,30,1,233000000,
13,112003003,运营活动中获得,活动获得,10020,30,1,233000000,
14,112003004,运营活动中获得,活动获得,10020,30,1,233000000,
15,112003005,运营活动中获得,活动获得,10020,30,1,233000000,
16,112004001,运营活动中获得,活动获得,10020,30,1,233000000,
17,112004002,运营活动中获得,活动获得,10020,30,1,233000000,
18,112004003,运营活动中获得,活动获得,10020,30,1,233000000,
19,112004004,运营活动中获得,活动获得,10020,30,1,233000000,
20,112004005,运营活动中获得,活动获得,10020,30,1,233000000,
21,112005001,运营活动中获得,活动获得,10020,30,1,233000000,
22,112005002,运营活动中获得,活动获得,10020,30,1,233000000,
23,112005003,运营活动中获得,活动获得,10020,30,1,233000000,
24,112005004,运营活动中获得,活动获得,10020,30,1,233000000,
25,112005005,运营活动中获得,活动获得,10020,30,1,233000000,
26,112006001,运营活动中获得,活动获得,10020,30,1,233000000,
27,112006002,运营活动中获得,活动获得,10020,30,1,233000000,
28,112006003,运营活动中获得,活动获得,10020,30,1,233000000,
29,112006004,运营活动中获得,活动获得,10020,30,1,233000000,
30,112006005,运营活动中获得,活动获得,10020,30,1,233000000,
31,112007001,运营活动中获得,活动获得,10020,30,1,233000000,
32,112007002,运营活动中获得,活动获得,10020,30,1,233000000,
33,112007003,运营活动中获得,活动获得,10020,30,1,233000000,
34,112007004,运营活动中获得,活动获得,10020,30,1,233000000,
35,112007005,运营活动中获得,活动获得,10020,30,1,233000000,
36,112008001,运营活动中获得,活动获得,10020,30,1,233000000,
37,112008002,运营活动中获得,活动获得,10020,30,1,233000000,
38,112008003,运营活动中获得,活动获得,10020,30,1,233000000,
39,112008004,运营活动中获得,活动获得,10020,30,1,233000000,
40,112008005,运营活动中获得,活动获得,10020,30,1,233000000,
41,112009001,运营活动中获得,活动获得,10020,30,1,233000000,
42,112009002,运营活动中获得,活动获得,10020,30,1,233000000,
43,112009003,运营活动中获得,活动获得,10020,30,1,233000000,
44,112009004,运营活动中获得,活动获得,10020,30,1,233000000,
45,112009005,运营活动中获得,活动获得,10020,30,1,233000000,
46,112010001,运营活动中获得,活动获得,10020,30,1,233000000,
47,112010002,运营活动中获得,活动获得,10020,30,1,233000000,
48,112010003,运营活动中获得,活动获得,10020,30,1,233000000,
49,112010004,运营活动中获得,活动获得,10020,30,1,233000000,
50,112010005,运营活动中获得,活动获得,10020,30,1,233000000,
51,112011001,运营活动中获得,活动获得,10020,30,1,233000000,
52,112011002,运营活动中获得,活动获得,10020,30,1,233000000,
53,112011003,运营活动中获得,活动获得,10020,30,1,233000000,
54,112011004,运营活动中获得,活动获得,10020,30,1,233000000,
55,112011005,运营活动中获得,活动获得,10020,30,1,233000000,
56,112012001,运营活动中获得,活动获得,10020,30,1,233000000,
57,112012002,运营活动中获得,活动获得,10020,30,1,233000000,
58,112012003,运营活动中获得,活动获得,10020,30,1,233000000,
59,112012004,运营活动中获得,活动获得,10020,30,1,233000000,
60,112012005,运营活动中获得,活动获得,10020,30,1,233000000,
61,192412001,从技能抄写中获得,宠物技能,10004,44,1,131020600,
62,192412002,从技能抄写中获得,宠物技能,10004,44,1,131020600,
63,192412003,从技能抄写中获得,宠物技能,10004,44,1,131020600,
64,192412004,从技能抄写中获得,宠物技能,10004,44,1,131020600,
65,192412005,从技能抄写中获得,宠物技能,10004,44,1,131020600,
66,192412006,从技能抄写中获得,宠物技能,10004,44,1,131020600,
67,192412007,从技能抄写中获得,宠物技能,10004,44,1,131020600,
68,192412008,从技能抄写中获得,宠物技能,10004,44,1,131020600,
69,192412009,从技能抄写中获得,宠物技能,10004,44,1,131020600,
70,192412010,从技能抄写中获得,宠物技能,10004,44,1,131020600,
71,192412011,从技能抄写中获得,宠物技能,10004,44,1,131020600,
72,192412012,从技能抄写中获得,宠物技能,10004,44,1,131020600,
73,192412013,从技能抄写中获得,宠物技能,10004,44,1,131020600,
74,192412014,从技能抄写中获得,宠物技能,10004,44,1,131020600,
75,192412015,从技能抄写中获得,宠物技能,10004,44,1,131020600,
76,192412016,从技能抄写中获得,宠物技能,10004,44,1,131020600,
77,192412017,从技能抄写中获得,宠物技能,10004,44,1,131020600,
78,192412018,从技能抄写中获得,宠物技能,10004,44,1,131020600,
79,192412019,从技能抄写中获得,宠物技能,10004,44,1,131020600,
80,192412020,从技能抄写中获得,宠物技能,10004,44,1,131020600,
81,192412021,从技能抄写中获得,宠物技能,10004,44,1,131020600,
82,193412001,从技能抄写中获得,宠物技能,10004,44,1,131020600,
83,193412002,从技能抄写中获得,宠物技能,10004,44,1,131020600,
84,193412003,从技能抄写中获得,宠物技能,10004,44,1,131020600,
85,193412004,从技能抄写中获得,宠物技能,10004,44,1,131020600,
86,193412005,从技能抄写中获得,宠物技能,10004,44,1,131020600,
87,193412006,从技能抄写中获得,宠物技能,10004,44,1,131020600,
88,193412007,从技能抄写中获得,宠物技能,10004,44,1,131020600,
89,193412008,从技能抄写中获得,宠物技能,10004,44,1,131020600,
90,193412009,从技能抄写中获得,宠物技能,10004,44,1,131020600,
91,193412010,从技能抄写中获得,宠物技能,10004,44,1,131020600,
92,193412011,从技能抄写中获得,宠物技能,10004,44,1,131020600,
93,193412012,从技能抄写中获得,宠物技能,10004,44,1,131020600,
94,193412013,从技能抄写中获得,宠物技能,10004,44,1,131020600,
95,193412014,从技能抄写中获得,宠物技能,10004,44,1,131020600,
96,193412015,从技能抄写中获得,宠物技能,10004,44,1,131020600,
97,193412016,从技能抄写中获得,宠物技能,10004,44,1,131020600,
98,193412017,从技能抄写中获得,宠物技能,10004,44,1,131020600,
99,193412018,从技能抄写中获得,宠物技能,10004,44,1,131020600,
100,193412019,从技能抄写中获得,宠物技能,10004,44,1,131020600,
101,193412020,从技能抄写中获得,宠物技能,10004,44,1,131020600,
102,193412021,从技能抄写中获得,宠物技能,10004,44,1,131020600,
103,194412001,从技能抄写中获得,宠物技能,10004,44,1,131020600,
104,194412002,从技能抄写中获得,宠物技能,10004,44,1,131020600,
105,194412003,从技能抄写中获得,宠物技能,10004,44,1,131020600,
106,194412004,从技能抄写中获得,宠物技能,10004,44,1,131020600,
