id,monster,time,pick,interrupt
1,306401,3,0,1
2,306402,3,0,1
3,306403,3,0,1
4,91203,3,0,1
5,91204,3,0,1
6,91205,3,0,1
7,91202,3,0,1
8,800001,3,0,1
9,800002,3,0,1
10,810002,3,0,1
11,820002,3,0,1
12,830002,3,0,1
13,800003,3,0,1
14,800004,15,0,1
15,800005,3,0,1
16,800006,3,1,1
17,800007,3,0,1
18,800009,3,0,1
19,800010,3,0,1
20,800011,3,0,1
21,800012,3,0,1
22,800013,3,0,1
23,800014,3,0,1
24,800015,3,0,1
25,800016,3,0,1
26,800017,3,0,1
27,800018,3,0,1
28,800019,3,0,1
29,800020,3,0,1
30,801001,3,0,1
31,801002,3,0,1
32,802001,3,0,1
33,802002,3,0,1
34,804001,3,0,1
35,805001,3,0,1
36,805002,3,0,1
37,805003,3,0,1
38,310401,3,0,1
39,310402,3,0,1
40,310403,3,0,1
41,310404,3,0,1
42,890101,10,0,1
43,890102,5,0,1
44,900001,1,0,1
45,900002,0.5,0,1
46,900003,0.5,0,1
47,900004,0.5,0,1
48,900005,0.5,0,1
49,900006,0.5,0,1
50,900007,0.5,0,1
51,900008,0.5,0,1
