id,typeid,objectid,profession
1,2001,143151130,1
2,2001,143151230,2
3,2001,143151330,3
4,2001,143152130,1
5,2001,143152230,2
6,2001,143152330,3
7,2002,143153130,1
8,2002,143153230,2
9,2002,143153330,3
10,2002,143154130,1
11,2002,143154230,2
12,2002,143154330,3
13,2003,143155130,1
14,2003,143155230,2
15,2003,143155330,3
16,2003,143156130,1
17,2003,143156230,2
18,2003,143156330,3
19,2004,143157130,1
20,2004,143157230,2
21,2004,143157330,3
22,2004,143158130,1
23,2004,143158230,2
24,2004,143158330,3
25,2005,143159130,1
26,2005,143159230,2
27,2005,143159330,3
28,2005,143160130,1
29,2005,143160230,2
30,2005,143160330,3
31,2006,143161130,1
32,2006,143161230,2
33,2006,143161330,3
34,2006,143162130,1
35,2006,143162230,2
36,2006,143162330,3
37,1001,143151140,1
38,1001,143151240,2
39,1001,143151340,3
40,1001,143152140,1
41,1001,143152240,2
42,1001,143152340,3
43,1002,143153140,1
44,1002,143153240,2
45,1002,143153340,3
46,1002,143154140,1
47,1002,143154240,2
48,1002,143154340,3
49,1003,142155140,1
50,1003,142155240,2
51,1003,142155340,3
52,1003,142156140,1
53,1003,142156240,2
54,1003,142156340,3
55,1004,142157140,1
56,1004,142157240,2
57,1004,142157340,3
58,1004,142158140,1
59,1004,142158240,2
60,1004,142158340,3
61,1005,142159140,1
62,1005,142159240,2
63,1005,142159340,3
64,1005,142160140,1
65,1005,142160240,2
66,1005,142160340,3
67,1006,142161140,1
68,1006,142161240,2
69,1006,142161340,3
70,1006,142162140,1
71,1006,142162240,2
72,1006,142162340,3
