id,objectid,buy_number,bind,profession,buy_type,costid,costnumber
1,164252002,1,1,0,1,215514001,100
2,164253003,1,1,0,1,215514001,100
3,184351001,2,1,0,2,215514002,100
4,184352001,2,1,0,2,215514003,100
5,184353001,2,1,0,2,215514004,100
6,184354001,2,1,0,2,215514005,100
7,184355001,2,1,0,2,215514006,100
8,184356001,2,1,0,2,215514007,100
9,184351001,1,1,0,3,215511001,100
10,184352001,1,1,0,3,215511001,100
11,184353001,1,1,0,3,215511001,100
12,184354001,1,1,0,3,215511001,100
13,184355001,1,1,0,3,215511001,100
14,184356001,1,1,0,3,215511001,100
15,184351001,1,1,0,4,215510001,100
16,184352001,1,1,0,4,215510001,100
17,184353001,1,1,0,4,215510001,100
18,184354001,1,1,0,4,215510001,100
19,184355001,1,1,0,4,215510001,100
20,184356001,1,1,0,4,215510001,100
21,184351001,1,1,0,5,215512001,100
22,184352001,1,1,0,5,215512001,100
23,184353001,1,1,0,5,215512001,100
24,184354001,1,1,0,5,215512001,100
25,184355001,1,1,0,5,215512001,100
26,184356001,1,1,0,5,215512001,100
