id,systemid,name,limit_level,taskid,describe,icon,title,state,window,path,head,shield
1,1,主界面,1,-1,,-1,-1,-1,-1,,1,0
2,100000000,人物系统,1,-1,,10045,20045,-1,-1,UI_Player/UI_Player,1,0
3,101000000,人物,1,-1,,10045,-1,-1,-1,,1,0
4,102000000,技能,-1,100000004,,10045,-1,3,-1,,1,1
5,102010000,职业技能,1,-1,,10045,-1,-1,-1,,1,1
6,102020000,神通,35,-1,,10045,-1,-1,-1,,1,1
7,103000000,突破,1045,-1,1.突破共分为10个境界：后天生灵、先天生灵、紫府修士、万象真人、元神道人、返虚地仙、金丹天仙、纯阳真仙、大罗道祖、世界境。\n2.每个境界对应一个称号。\n3.每个境界各有10个阶段。\n4.境界内等级提升需要消耗灵气，境界突破需要消耗仙气，灵气和仙气可在修炼系统获得。\n5.灵气、仙气最大值为21，超过21的部分将从1开始计算。,10045,-1,-1,-1,,1,1
8,104000000,修炼,1045,-1,,10045,-1,-1,-1,,1,0
9,104010000,转生,-1,100000112,1.转生后等级降低5级，等级上限提升5级。\n2.转生后角色属性不会降低，依然可参加转生前有等级限制的活动。\n3.转生需要消耗修为，角色满级时可将多余的经验兑换为修为。\n4.经验兑换修为的次数随转生等级的增加而增加，每天0点重置。,10045,-1,3,-1,,1,1
10,105000000,仙脉,2045,-1,,10045,-1,-1,-1,,1,1
11,107000000,法宝,38,-1,,10045,-1,-1,-1,,1,1
12,107010000,神器一,38,-1,,-1,-1,-1,-1,,1,1
13,107010100,神器一,38,-1,,-1,-1,-1,-1,,1,1
14,107011000,神器二,38,-1,,-1,-1,-1,-1,,1,1
15,107011100,神器二,38,-1,,-1,-1,-1,-1,,1,1
16,107012000,神器三,38,-1, ,-1,-1,-1,-1,,1,1
17,107012100,神器三,38,-1,,-1,-1,-1,-1,,1,1
18,107013000,神器四,38,-1,,-1,-1,-1,-1,,1,1
19,107013100,神器四,38,-1,,-1,-1,-1,-1,,1,1
20,107014000,神器五,38,-1,,-1,-1,-1,-1,,1,1
21,107014100,神器五,38,-1,,-1,-1,-1,-1,,1,1
22,107015000,神器六,38,-1,,-1,-1,-1,-1,,1,1
23,107015100,神器六,38,-1,,-1,-1,-1,-1,,1,1
24,107016000,神器七,38,-1,,-1,-1,-1,-1,,1,1
25,107016100,神器七,38,-1,,-1,-1,-1,-1,,1,1
26,107017000,神器八,38,-1,,-1,-1,-1,-1,,1,1
27,107017100,神器八,38,-1,,-1,-1,-1,-1,,1,1
28,107018000,神器九,38,-1,,-1,-1,-1,-1,,1,1
29,107018100,神器九,38,-1,,-1,-1,-1,-1,,1,1
30,107019000,神器十,38,-1,,-1,-1,-1,-1,,1,1
31,107019100,神器十,38,-1,,-1,-1,-1,-1,,1,1
32,108000000,神兵,40,-1,,-1,-1,-1,-1,,1,1
33,108010000,神兵一,40,-1,,-1,-1,-1,-1,,1,1
34,108020000,神兵二,1048,-1,,-1,-1,-1,-1,,1,1
35,108030000,神兵三,2047,-1,,-1,-1,-1,-1,,1,1
36,108040000,神兵四,5062,-1,,-1,-1,-1,-1,,1,1
37,108050000,神兵五,5062,-1,,-1,-1,-1,-1,,1,1
38,110000000,背包系统,1,-1,,10041,20041,-1,-1,,1,0
39,111000000,背包,1,-1,,10041,-1,-1,-1,,1,0
40,112000000,合成,-1,100000060,,10041,-1,3,-1,,1,1
41,112010000,合成-锻造材料,30,-1,,-1,-1,-1,-1,,1,0
42,112011000,合成-宝石,30,-1,,-1,-1,-1,-1,,1,0
43,112012000,合成-伙伴,30,-1,,-1,-1,-1,-1,,1,0
