id,show_type,objectid,kind,star
1,1,182353001,1,0
2,1,205299007,1,0
3,1,142165080,1,3
4,2,192404001,1,0
5,2,172304012,1,0
6,2,182371007,1,0
7,2,163254001,1,0
8,2,182353002,1,0
9,2,195406004,1,0
10,2,193401003,1,0
11,2,195410004,1,0
12,2,163257001,1,0
13,2,142163060,1,3
14,2,193404002,1,0
15,2,195408004,1,0
16,1,181354001,2,0
17,1,205299008,2,0
18,1,141165080,2,3
19,2,205299005,2,0
20,2,182353001,2,0
21,2,172304010,2,0
22,2,182371007,2,0
23,2,141164060,2,0
24,2,194406005,2,0
25,2,141166040,2,3
26,2,194408005,2,3
27,2,162255002,2,0
28,2,182395003,2,0
29,2,182371009,2,0
30,2,194410005,2,0
