id,type,objectid,number,bind
1,21,215513001,100,2
2,1002,215513001,200,2
3,1002,195402001,10,1
4,1003,215513001,200,2
5,1004,215513001,300,2
6,1004,182353001,1,1
7,22,215513001,300,2
8,1006,215513001,400,2
9,1007,215513001,500,2
10,1008,215513001,500,2
11,1009,215513001,500,2
12,1010,215513001,500,2
13,23,215513001,500,2
14,1012,215513001,500,2
15,1013,215513001,500,2
16,1014,215513001,500,2
17,1015,215513001,500,2
18,1016,215513001,500,2
19,24,215513001,500,2
20,1018,215513001,500,2
21,1019,215513001,500,2
22,1020,215513001,500,2
23,1021,215513001,500,2
24,1022,215513001,500,2
25,1023,215513001,500,2
26,1024,215513001,500,2
27,25,215513001,500,2
28,31,215513001,100,2
29,32,215513001,200,2
30,32,195402001,10,1
31,2003,215513001,300,2
32,2003,182353001,1,1
33,2004,215513001,400,2
34,2005,215513001,500,2
35,33,215513001,500,2
36,2007,215513001,500,2
37,2008,215513001,500,2
38,2009,215513001,500,2
39,34,215513001,500,2
40,2011,215513001,500,2
41,2012,215513001,500,2
42,2013,215513001,500,2
43,35,215513001,500,2
44,2015,215513001,500,2
45,2016,215513001,500,2
46,2017,215513001,500,2
47,2018,215513001,500,2
48,2019,215513001,500,2
49,2020,215513001,500,2
50,41,215513001,100,2
51,3002,215513001,100,2
52,3003,215513001,100,2
53,3004,215513001,300,2
54,42,215513001,300,2
55,3006,215513001,400,2
56,3007,215513001,400,2
57,3008,215513001,400,2
58,3009,215513001,400,2
59,3010,215513001,500,2
60,3011,215513001,500,2
61,43,215513001,500,2
62,3013,215513001,500,2
63,3014,215513001,500,2
64,3015,215513001,500,2
65,44,215513001,500,2
66,3017,215513001,500,2
67,3018,215513001,500,2
68,3019,215513001,500,2
69,3020,215513001,500,2
70,3021,215513001,500,2
71,45,215513001,500,2
72,4001,215513001,400,2
73,4002,215513001,500,2
74,4003,215513001,500,2
75,4004,215513001,500,2
76,4005,215513001,500,2
77,4006,215513001,500,2
78,4007,215513001,500,2
79,4008,215513001,500,2
80,4009,215513001,500,2
81,5001,215513001,300,2
82,5002,215513001,500,2
83,5003,215513001,500,2
84,5004,215513001,500,2
85,5005,215513001,500,2
86,5006,215513001,500,2
87,5007,215513001,500,2
88,5008,215513001,500,2
89,5009,215513001,500,2
90,5010,215513001,500,2
91,6001,215513001,300,2
92,6002,215513001,500,2
93,6003,215513001,500,2
94,6004,215513001,500,2
95,6005,215513001,500,2
96,6006,215513001,500,2
97,6007,215513001,500,2
98,6008,215513001,500,2
99,6009,215513001,500,2
100,6010,215513001,500,2
101,6011,215513001,500,2
102,6012,215513001,500,2
103,6013,215513001,500,2
104,6014,215513001,500,2
105,6015,215513001,500,2
106,6016,215513001,500,2
107,6017,215513001,500,2
108,7001,215513001,400,2
109,7002,215513001,500,2
110,7003,215513001,500,2
111,7004,215513001,500,2
112,7005,215513001,500,2
113,7006,215513001,500,2
114,7007,215513001,500,2
115,7008,215513001,500,2
116,7009,215513001,500,2
117,7010,215513001,500,2
118,7011,215513001,500,2
119,7012,215513001,500,2
120,8001,215513001,400,2
121,8002,215513001,500,2
122,8003,215513001,500,2
123,8004,215513001,500,2
124,8005,215513001,500,2
125,8006,215513001,500,2
126,8007,215513001,500,2
127,8008,215513001,500,2
128,8009,215513001,500,2
129,8010,215513001,500,2
130,8011,215513001,500,2
131,8012,215513001,500,2
132,8013,215513001,500,2
133,8014,215513001,500,2
134,9001,215513001,500,2
135,9002,215513001,500,2
136,9003,215513001,500,2
137,9004,215513001,500,2
138,9005,215513001,500,2
139,9006,215513001,500,2
140,10001,215513001,500,2
141,10002,215513001,500,2
142,10003,215513001,500,2
143,10004,215513001,500,2
144,10005,215513001,500,2
145,10006,215513001,500,2
146,10007,215513001,500,2
147,10008,215513001,500,2
148,10009,215513001,500,2
149,10010,215513001,500,2
150,10011,215513001,500,2
151,10012,215513001,500,2
152,10013,215513001,500,2
153,10014,215513001,500,2
154,10015,215513001,500,2
155,121,215513001,300,2
156,121,184390001,2,1
157,11002,215513001,400,2
158,122,215513001,500,2
159,11004,215513001,500,2
160,123,215513001,500,2
161,11006,215513001,500,2
162,124,215513001,500,2
163,11008,215513001,500,2
164,125,215513001,500,2
165,11010,215513001,500,2
166,11011,215513001,500,2
167,13001,215513001,100,2
168,91,215513001,300,2
169,13003,215513001,400,2
170,13004,215513001,500,2
171,92,215513001,500,2
172,13006,215513001,500,2
173,93,215513001,500,2
174,13008,215513001,500,2
175,13009,215513001,500,2
176,13010,215513001,500,2
177,13011,215513001,500,2
178,13012,215513001,500,2
179,13013,215513001,500,2
180,13014,215513001,500,2
181,94,215513001,500,2
182,101,215513001,100,2
183,14002,215513001,100,2
184,14003,215513001,100,2
185,14004,215513001,400,2
186,14005,215513001,400,2
187,14006,215513001,400,2
188,102,215513001,400,2
189,14008,215513001,400,2
190,14009,215513001,400,2
191,14010,215513001,400,2
192,14011,215513001,400,2
193,14012,215513001,400,2
194,14013,215513001,500,2
195,103,215513001,500,2
196,14015,215513001,500,2
197,14016,215513001,500,2
198,14017,215513001,500,2
199,14018,215513001,500,2
200,14019,215513001,500,2
201,104,215513001,500,2
202,14021,215513001,500,2
203,14022,215513001,500,2
204,14023,215513001,500,2
205,14024,215513001,500,2
206,14025,215513001,500,2
207,14026,215513001,500,2
208,105,215513001,500,2
209,111,215513001,100,2
210,112,215513001,400,2
211,15003,215513001,500,2
212,113,215513001,500,2
213,15005,215513001,500,2
214,15006,215513001,500,2
215,114,215513001,500,2
216,15008,215513001,500,2
217,15009,215513001,500,2
218,15010,215513001,500,2
219,115,215513001,500,2
220,16001,215513001,100,2
221,51,215513001,200,2
222,16003,215513001,400,2
223,16004,215513001,400,2
224,16005,215513001,400,2
225,16006,215513001,400,2
226,52,215513001,400,2
227,16008,215513001,500,2
228,16009,215513001,500,2
229,16010,215513001,500,2
230,16011,215513001,500,2
231,16012,215513001,500,2
232,53,215513001,500,2
233,16014,215513001,500,2
234,16015,215513001,500,2
235,16016,215513001,500,2
236,16017,215513001,500,2
237,16018,215513001,500,2
238,16019,215513001,500,2
239,54,215513001,500,2
240,16021,215513001,500,2
241,16022,215513001,500,2
242,16023,215513001,500,2
243,55,215513001,500,2
244,17001,215513001,200,2
245,17001,195402001,10,1
246,61,215513001,200,2
247,17003,215513001,400,2
248,17003,182353001,1,1
249,17004,215513001,400,2
250,62,215513001,400,2
251,17006,215513001,500,2
252,17007,215513001,500,2
253,17008,215513001,500,2
254,17009,215513001,500,2
255,17010,215513001,500,2
256,17011,215513001,500,2
257,17012,215513001,500,2
258,63,215513001,500,2
259,17014,215513001,500,2
