id,achievement,objectid,number,bind,title,titleid
1,200,195402001,10,1,纪氏新丁,-1
2,200,184390001,2,1,纪氏新丁,-1
3,400,195402001,20,1,纪氏子弟,-1
4,400,184390001,3,1,纪氏子弟,-1
5,600,182353001,1,1,纪氏学徒,221552059
6,600,183390002,2,1,纪氏学徒,221552059
7,800,195402001,20,1,纪氏长老,-1
8,800,184390001,3,1,纪氏长老,-1
9,1100,182353001,1,1,纪氏府主,221552060
10,1100,183390002,2,1,纪氏府主,221552060
11,1100,183391002,1,1,纪氏府主,221552060
12,1400,195402001,20,1,纪氏族长,-1
13,1400,184390001,3,1,纪氏族长,-1
14,1400,184391001,3,1,纪氏族长,-1
15,1700,182353001,1,1,燕山游侠,221552061
16,1700,183390002,2,1,燕山游侠,221552061
17,1700,183391002,1,1,燕山游侠,221552061
18,2000,195402001,30,1,燕山俊杰,-1
19,2000,184390001,6,1,燕山俊杰,-1
20,2000,184391001,6,1,燕山俊杰,-1
21,2400,182353001,1,1,燕山豪侠,221552062
22,2400,183390002,2,1,燕山豪侠,221552062
23,2400,183391002,1,1,燕山豪侠,221552062
24,2800,195402001,40,1,燕山魁首,-1
25,2800,184390001,8,1,燕山魁首,-1
26,2800,184391001,8,1,燕山魁首,-1
27,3200,182353001,1,1,燕山英雄,221552063
28,3200,183390002,2,1,燕山英雄,221552063
29,3200,183391002,1,1,燕山英雄,221552063
30,3600,195402001,40,1,燕山霸主,-1
31,3600,184390001,8,1,燕山霸主,-1
32,3600,184391001,8,1,燕山霸主,-1
33,4000,182353001,1,1,安澶天骄,221552064
34,4000,183390002,2,1,安澶天骄,221552064
35,4000,183391002,1,1,安澶天骄,221552064
36,4500,184390001,8,1,安澶守卫,-1
37,4500,184391001,8,1,安澶守卫,-1
38,4500,184392001,10,1,安澶守卫,-1
39,5000,182353001,1,1,安澶道兵,221552065
40,5000,183390002,2,1,安澶道兵,221552065
41,5000,183391002,1,1,安澶道兵,221552065
42,5500,184390001,8,1,安澶强者,-1
43,5500,184391001,8,1,安澶强者,-1
44,5500,184392001,10,1,安澶强者,-1
45,6500,183390002,3,1,安澶名将,-1
46,6500,183391002,1,1,安澶名将,-1
47,6500,183392002,4,1,安澶名将,-1
48,7500,195402001,50,1,安澶郡守,221552066
49,7500,182353001,2,1,安澶郡守,221552066
50,7500,182391003,1,1,安澶郡守,221552066
51,8500,183390002,3,1,大夏英豪,-1
52,8500,183391002,1,1,大夏英豪,-1
53,8500,183392002,4,1,大夏英豪,-1
54,10000,184390001,20,1,大夏雄兵,221552067
55,10000,183390002,10,1,大夏雄兵,221552067
56,10000,182390003,1,1,大夏雄兵,221552067
57,12000,184391001,10,1,大夏诸侯,-1
58,12000,183391002,1,1,大夏诸侯,-1
59,12000,182391003,1,1,大夏诸侯,-1
60,14000,184392001,30,1,大夏王公,-1
61,14000,183392002,10,1,大夏王公,-1
62,14000,182392003,1,1,大夏王公,-1
63,16000,184390001,20,1,大夏救星,-1
64,16000,183390002,10,1,大夏救星,-1
65,16000,182390003,1,1,大夏救星,-1
66,18000,184391001,10,1,大夏之主,-1
67,18000,183391002,1,1,大夏之主,-1
68,18000,182391003,1,1,大夏之主,-1
69,20000,184392001,30,1,三界天仙,221552068
70,20000,183392002,10,1,三界天仙,221552068
71,20000,182392003,1,1,三界天仙,221552068
72,22500,184390001,30,1,三界真仙,-1
73,22500,183390002,10,1,三界真仙,-1
74,22500,182390003,1,1,三界真仙,-1
75,25000,184391001,20,1,三界天神,-1
76,25000,183391002,2,1,三界天神,-1
77,25000,182391003,1,1,三界天神,-1
78,27500,184392001,40,1,三界真神,-1
79,27500,183392002,20,1,三界真神,-1
80,27500,182392003,1,1,三界真神,-1
81,30000,184390001,30,1,三界道祖,221552069
82,30000,183390002,10,1,三界道祖,221552069
83,30000,182390003,1,1,三界道祖,221552069
84,32500,184391001,20,1,三界之巅,-1
85,32500,183391002,2,1,三界之巅,-1
86,32500,182391003,1,1,三界之巅,-1
87,35000,184392001,40,1,混沌行者,-1
88,35000,183392002,20,1,混沌行者,-1
89,35000,182392003,1,1,混沌行者,-1
90,37500,184390001,30,1,混沌道人,-1
91,37500,183390002,10,1,混沌道人,-1
92,37500,182390003,1,1,混沌道人,-1
93,40000,184391001,20,1,混沌神魔,221552070
94,40000,183391002,2,1,混沌神魔,221552070
95,40000,182391003,1,1,混沌神魔,221552070
96,43000,184392001,40,1,混沌仙人,-1
97,43000,183392002,20,1,混沌仙人,-1
98,43000,182392003,1,1,混沌仙人,-1
99,46000,182390003,1,1,混沌祖神,-1
100,46000,182391003,1,1,混沌祖神,-1
101,46000,182392003,1,1,混沌祖神,-1
102,50000,182390003,2,1,混沌神王,221552071
103,50000,182391003,2,1,混沌神王,221552071
104,50000,182392003,2,1,混沌神王,221552071
