id,rank,objectid,bindtype
1,1,182353001,2
2,1,224555003,2
3,2,215514001,2
4,2,215513001,2
5,3,215514001,2
6,3,215513001,2
7,4,173300002,2
8,4,215513001,2
9,4,215502001,2
10,5,215514001,2
11,5,215513001,2
12,6,215500001,2
13,7,183359001,2
14,7,175306024,1
15,7,176306025,1
16,8,215514001,2
17,8,215513001,2
18,8,173305001,1
19,9,182352001,1
20,9,183351001,1
21,10,215507001,2
22,11,215507001,2
23,12,215500001,2
24,13,195401001,2
25,13,164254002,2
26,13,193403001,2
27,13,183357001,2
28,13,183358001,2
29,13,183359001,2
30,13,164264001,2
31,14,175306032,1
32,14,174306031,1
33,14,173306030,1
34,14,172306029,1
35,15,183359001,1
36,16,215500001,1
37,16,182353001,1
38,16,183357001,1
39,16,183358001,1
40,16,164264001,1
41,17,215500001,2
42,17,215514001,2
43,17,182353001,2
44,18,182370004,1
45,18,183370005,1
46,18,182353001,1
47,19,122052008,1
48,19,181354001,1
49,19,182353001,1
50,19,215514001,2
51,20,173303003,1
52,20,215514001,1
53,21,182353001,1
54,21,183393002,1
55,21,183394002,1
56,21,183364002,1
57,22,122052017,2
58,22,172307012,2
59,22,172307013,2
60,22,183351001,1
61,22,215514001,2
62,23,122052015,1
63,23,182353001,1
64,23,182370011,1
65,23,183395002,1
66,24,132102008,1
67,24,181354001,2
68,24,182353001,2
69,25,181354001,2
70,25,182353001,2
71,25,182370012,1
72,26,182390003,1
73,26,182353001,1
74,26,182352001,1
75,26,183351001,1
76,26,183359001,1
77,26,174306023,1
78,27,215514001,2
79,27,215503001,2
80,28,215503001,1
81,29,195401001,1
82,29,215500001,2
83,30,215514001,2
84,30,215500001,2
85,31,183357001,1
86,31,183358001,1
87,31,205299001,1
88,31,164264001,1
89,31,215500001,2
90,31,183351003,1
91,32,193403001,1
92,32,215500001,2
93,33,196406002,1
94,33,196407002,1
95,33,196405002,1
96,33,215500001,2
97,34,183366001,1
98,34,215500001,2
99,35,195401001,1
100,35,215500001,2
101,36,196406002,1
102,36,196407002,1
103,36,196405002,1
104,36,215500001,1
105,37,195401001,1
106,37,215500001,2
107,38,173306005,1
108,38,173306004,1
109,38,176306025,1
110,38,173304007,1
111,38,163255001,1
112,39,183364002,1
113,39,183364003,1
114,39,215500001,2
115,40,182371007,1
116,40,183371008,1
117,40,183371010,1
118,40,173304007,1
119,41,215503001,2
120,41,215502001,2
121,41,215500001,2
122,42,215511001,2
123,42,183363001,1
124,42,183362001,1
125,43,182370004,1
126,43,195402001,1
127,43,182353001,1
128,43,173304007,1
129,44,175312005,1
130,44,214517001,2
131,45,224555003,2
132,45,182353001,1
133,45,163254001,2
134,46,224555003,2
135,46,182353002,1
136,46,183359001,1
137,47,224555003,2
138,47,182353002,1
139,47,175306024,1
140,47,173306009,1
141,48,224555003,2
142,48,182353002,2
143,48,183371002,1
144,48,183370006,1
145,48,182370007,1
146,49,224555003,2
147,49,183371002,1
148,49,183370006,1
149,49,182370007,1
150,50,224555003,2
151,50,182353001,1
152,50,183370006,1
153,50,182370007,1
154,51,215500001,2
155,51,215514001,2
156,51,173310001,2
157,52,215500001,2
158,52,173310001,2
159,53,215508001,2
160,54,215505001,2
161,54,215504001,2
162,55,215500001,2
163,57,182353002,1
164,57,224555003,2
165,57,223555004,2
166,57,223557015,1
167,58,182353001,1
168,58,182353002,1
169,58,224555003,2
170,58,223555004,2
171,58,223557017,1
172,59,184390001,1
173,59,174306023,1
174,59,175306024,1
175,59,176306025,1
176,59,183359001,1
177,60,183391002,1
178,60,184391001,1
179,60,183351001,1
180,56,215500001,2
181,56,215514001,2
182,61,215500001,2
