id,rank,kind,icon,zoom,title_1,title_2,title1_color,title2_color,times,name,mark,level,time,form,describe,playid,systemid
1,14,2,40013,0.5,骑装,绑元,102,101,不限,秘殿夺宝,-1,2050,每天14:00-14:30,单人,1.场景内每隔一段时间刷新4种品质宝箱。\n2.采集宝箱交付NPC可获得丰厚奖励，宝箱品质越高，获得的奖励越好。\n3.携带宝箱时将会受到减益状态。\n4.击杀携带宝箱者或限定时间内未交付宝箱，宝箱将掉落至地上。,10014,-1
2,15,3,40014,0.5,功勋,坐骑,102,101,不限,金剑大典,-1,30,周一、三、五、日\n21:00-21:30,单人,1.金剑大典共5层,每隔10秒,每层会产出一定量功勋平摊给这一层的玩家\n2.越靠后的层数产出的功勋越多\n3.击杀指定量玩家或怪物可进入后一层\n4.被玩家击杀一定次数将跌落前一层\n5.采集第5层的宝剑可获得功勋加成BUFF\n6.击杀宝剑持有者可以夺取功勋BUFF\n7.功勋可在兑换商店兑换道具\n8.活动结束后,将通过邮件发放额外奖励,10015,-1
3,16,2,40016,0.5,经验,,102,0,2,除暴安良,1,1050,每天11:00-11:30,组队,1.活动时限内，安澶城、方寸山、无间战场随机一处场景会刷出若干个除暴侦查使。\n2.30级以上玩家与除暴侦查使对话即可进入除暴副本。\n3.每个活动时段仅可进入2次副本，组队进入活动副本可获得更多奖励。,10017,-1
4,18,2,40018,0.5,神通,铜钱,102,101,不限,荒古神域,1,2055,每天22:00-22:30,仙盟,1.BOSS将在活动开启10分钟后刷出\n2.BOSS奖励为总伤害最高仙盟所有\n3.BOSS奖励归属仙盟将在击杀BOSS后获得3个神域宝箱。宝箱自动发放到仙盟仓库,成员可申请领取\n4.仙盟仓库已满将无法获得神域宝箱\n5.参与击杀BOSS的玩家,将根据个人伤害百分比发放奖励。奖励通过邮件发送,10019,-1
5,21,2,10121,0.5,贡献,铜钱,102,101,1,仙盟boss,1,45,每天20:00-22:00,仙盟,1.仙盟成员可通过仙盟任务获取兽粮,上交至仙盟库存\n2.盟主或副盟主可于活动时间内消耗库存兽粮,开启仙盟BOSS\n3.库存兽粮不足时,可消耗元宝代替\n4.仙盟BOSS每天可开启一次,每日0点重置开启次数\n5.对boss造成伤害可获得大量仙盟贡献和铜钱奖励\n6.杀死BOSS可增加全体成员贡献,伤害前10名玩家可获得额外奖励\n7.击杀BOSS后,仙盟将获得BOSS头颅礼盒(放在仙盟仓库中),由盟主或副盟主进行分配,10022,-1
6,10,3,40009,0.5,贡献,,102,0,不限,仙盟争霸,1,30,周二、四、六\n21:00-21:30,仙盟PK,1.活动开启日19:00,系统会统计仙盟战力,战力排行前9的仙盟拥有参加资格\n2.获得资格的仙盟,其成员可在活动时间内进入仙盟争霸战场\n3.每个战场有3个仙盟混战,持续存活或击败其他仙盟玩家可获得战场积分\n4.活动结束时,根据积分排名决出胜者\n5.冠军仙盟会获得持续3天的特有称号,前3名仙盟将享受俸禄加成奖励,10010,-1
7,22,2,10130,0.5,贡献,经验符,102,101,1,跨服据点战,2,30,周一到周日\n19:30-20:00,仙盟PK,1.每日20:00-次日12:00，占领据点仙盟的成员可领取每日奖励，盟主可选择攻打据点,仙盟成员可向目标据点上交据点令.\n2.12:00决定据点战赛事，据点无占领方时，上交据点令最多的仙盟为守城方。\n3.12:00-19:30 为战斗准备阶段。\n4.19:30-20:00 为战斗阶段，有赛事仙盟可以进入战场。\n5.成功占领据点的仙盟每日将获得积分。大据点20积分.中据点10积分.小据点5积分。\n6.每周日20:00 进行仙盟据点积分排行。排行前十的仙盟获得排行奖励，以邮件形式发送。\n7.冠军仙盟将获得酷炫坐骑。,10023,-1
8,23,2,10131,0.5,荣誉,领域,102,102,-1,巅峰竞技,2,2053,每天21:30-22:00,单人PK,1.巅峰竞技10天为一个赛季,赛季时间内,可随时进行PK\n2.每场比赛都将获得经验、武勋、竞技积分及领域养成材料\n3.竞技积分决定玩家段位,每日根据段位奖励荣誉值,荣誉值可在荣誉商店兑换物品\n4.赛季结束时,将根据排名与段位发放奖励,10024,-1
9,25,2,10137,0.5,套装,精炼石,102,102,不限,异界虚空,2,2050,每天17:00-17:20\n  23:00-23:20,单人,1.异界虚空第三层限时开启\n2.击杀第三层的BOSS与精英怪不会获得疲劳值\n3.进入异界虚空第三层时,就算疲劳值已满,也可正常攻击怪物,10026,-1
10,26,2,10139,0.5,坐骑,羽翼,102,102,1,绝地乱斗,2,30,每天\n20:30-21:00,单人,1.跨服匹配优先匹配等级相近玩家\n2.20人开赛,匹配过久将减少人数\n3.初始积分50点,每分钟减少10点,死亡一次扣除10点,击杀一人增加10点\n4.随活动的进行,每分钟减少的积分与死亡扣除的积分会越来越多。击杀一人获得的积分也会相应增长\n5.积分＜0或主动退出都将被淘汰\n6.采集buff可增加自身属性\n7.完成指定场数或击杀数可领奖励\n8.最多参与5场,最高击杀计入排名\n9.活动结束10分钟后，奖励通过邮件发送,10027,-1
