id,rank,answer,istrue
1,1,CPU,1
2,1,基鼻矮,0
3,1,俺鼻矮,0
4,1,西鼻矮,0
5,2,成都,1
6,2,M78星云,0
7,2,火星,0
8,2,冥王星,0
9,3,台湾,1
10,3,北极,0
11,3,南极,0
12,3,月球,0
13,4,武则天,1
14,4,奥巴马,0
15,4,克林顿,0
16,4,罗斯福,0
17,5,霍去病,1
18,5,莎士比亚,0
19,5,格林兄弟,0
20,5,安徒生,0
21,6,貂蝉,1
22,6,施瓦辛格,0
23,6,史泰龙,0
24,6,尚格云顿,0
25,7,杜甫,1
26,7,宙斯,0
27,7,奥丁,0
28,7,天照,0
29,8,鄱阳湖,1
30,8,黑海,0
31,8,里海,0
32,8,死海,0
33,9,奥斯特洛夫斯基,1
34,9,李白,0
35,9,杜甫,0
36,9,李商隐,0
37,10,UFO,1
38,10,五月花,0
39,10,五月天,0
40,10,五月雨,0
41,11,嵩山,1
42,11,阿尔卑斯山,0
43,11,富士山,0
44,11,喜马拉雅山,0
45,12,麋鹿,1
46,12,板砖,0
47,12,锤子,0
48,12,榔头,0
49,13,庐山瀑布,1
50,13,狗头山瀑布,0
51,13,猴头山瀑布,0
52,13,猪头山瀑布,0
53,14,站着睡,1
54,14,飞起来睡,0
55,14,在水下睡,0
56,14,边跑边睡,0
57,15,天元,1
58,15,香蕉,0
59,15,苹果,0
60,15,梨子,0
61,16,牙齿,1
62,16,大脑,0
63,16,舌头,0
64,16,眼球,0
65,17,英国,1
66,17,银河帝国,0
67,17,星际同盟,0
68,17,火星王国,0
69,18,俄罗斯,1
70,18,大人国,0
71,18,小人国,0
72,18,飞岛国,0
73,19,1946年,1
74,19,200年,0
75,19,821年,0
76,19,233年,0
77,20,西门,1
78,20,赵,0
79,20,钱,0
80,20,孙,0
81,21,德国,1
82,21,刚果,0
83,21,索马里,0
84,21,阿富汗,0
85,22,哈姆雷特,1
86,22,西厢记,0
87,22,牡丹亭,0
88,22,红楼梦,0
89,23,世界贸易组织,1
90,23,汽车同好会,0
91,23,火车同好会,0
92,23,飞机同好会,0
93,24,拿破仑,1
94,24,孔子,0
95,24,老子,0
96,24,孙子,0
97,25,30岁,1
98,25,1岁,0
99,25,90岁,0
100,25,100岁,0
101,26,雷达测不到,1
102,26,木头飞机,0
103,26,石头飞机,0
104,26,骨头飞机,0
105,27,重阳节,1
106,27,圣诞节,0
107,27,妇女节,0
108,27,愚人节,0
109,28,华盛顿,1
110,28,伏羲,0
111,28,女娲,0
112,28,神农,0
113,29,榜眼,1
114,29,市长,0
115,29,总统,0
116,29,国王,0
117,30,老子,1
118,30,米迦勒,0
119,30,拉斐尔,0
120,30,路西法,0
121,31,43459,1
122,31,43221,0
123,31,43191,0
124,31,43374,0
125,32,格陵兰岛,1
126,32,泰山,0
127,32,黄山,0
128,32,庐山,0
129,33,测定地震方向,1
130,33,榨果汁,0
131,33,煎鸡蛋,0
132,33,煮肉汤,0
133,34,产卵,1
134,34,买房,0
135,34,买车,0
136,34,上学,0
137,35,吹空调玩电脑,1
138,35,用火烤食物,0
139,35,使用打制石器,0
140,35,过群居生活,0
141,36,前苏联,1
142,36,汉朝,0
143,36,唐朝,0
144,36,宋朝,0
145,37,大雁,1
146,37,奥特曼,0
147,37,哥斯拉,0
148,37,蜘蛛侠,0
149,38,三打白骨精,1
150,38,三顾茅庐,0
151,38,三气周瑜,0
152,38,三英战吕布,0
153,39,乾隆皇帝,1
154,39,埃及艳后,0
155,39,凯撒大帝,0
156,39,亨利四世,0
157,40,哥伦布,1
158,40,弟伦布,0
159,40,姐伦布,0
160,40,妹伦布,0
161,41,长度单位,1
162,41,政府单位,0
163,41,事业单位,0
164,41,企业单位,0
165,42,文天祥,1
166,42,贝多芬,0
167,42,舒伯特,0
168,42,莫扎特,0
169,43,伦敦,1
170,43,上海,0
171,43,广州,0
172,43,深圳,0
173,44,赵普,1
174,44,钢铁侠,0
175,44,蜘蛛侠,0
176,44,蝙蝠侠,0
177,45,开封,1
178,45,伦敦,0
179,45,巴黎,0
180,45,柏林,0
181,46,宋史,1
182,46,十日谈,0
183,46,老人与海,0
184,46,金银岛,0
185,47,血字的研究,1
186,47,名侦探柯南,0
187,47,包公案,0
188,47,狄公案,0
189,48,项羽,1
190,48,奥特曼,0
191,48,列那狐,0
192,48,阿拉丁,0
193,49,满族,1
194,49,精灵族,0
195,49,矮人族,0
196,49,龙族,0
197,50,袁隆平,1
198,50,济公,0
199,50,达摩,0
200,50,玄奘,0
201,51,求偶,1
202,51,施法,0
203,51,修仙,0
204,51,传道,0
205,52,靠风力,1
206,52,靠科技,0
207,52,靠念力,0
208,52,靠魔法,0
209,53,蜂鸟,1
210,53,大鹏,0
211,53,天鹅,0
212,53,秃鹫,0
213,54,棕熊,1
214,54,仓鼠,0
215,54,浣熊,0
216,54,树袋熊,0
217,55,牙齿,1
218,55,马鞍,0
219,55,缰绳,0
220,55,马镫,0
221,56,排除盐分,1
222,56,高兴,0
223,56,快乐,0
224,56,喜悦,0
225,57,祝融,1
226,57,草薙京,0
227,57,八神庵,0
228,57,比利,0
229,58,舌头,1
230,58,超能力,0
231,58,弩箭,0
232,58,弹弓,0
233,59,非洲,1
234,59,北冰洋,0
235,59,南极洲,0
236,59,河外星系,0
237,60,法国,1
238,60,古埃及,0
239,60,古印度,0
240,60,古中国,0
241,61,西安,1
242,61,海王星,0
243,61,冥王星,0
244,61,天王星,0
245,62,印度,1
246,62,法国,0
247,62,英国,0
248,62,美国,0
249,63,台湾岛,1
250,63,巴厘岛,0
251,63,普吉岛,0
252,63,爪哇岛,0
253,64,37,1
254,64,0,0
255,64,10,0
256,64,20,0
257,65,孙中山,1
258,65,哪吒,0
259,65,金吒,0
260,65,木吒,0
261,66,斯巴达,1
262,66,纽约,0
263,66,香港,0
264,66,澳门,0
265,67,《我的前半生》,1
266,67,《我的胳肢窝》,0
267,67,《我的上半身》,0
268,67,《我的下半身》,0
269,68,没安好心,1
270,68,一身正气,0
271,68,光明磊落,0
272,68,堂堂正正,0
273,69,七上八下,1
274,69,三上十二下,0
275,69,一上十四下,0
276,69,五上十下,0
277,70,尾巴,1
278,70,手机,0
279,70,钥匙,0
280,70,打火机,0
281,71,娃娃鱼,1
282,71,爷爷鱼,0
283,71,爹爹鱼,0
284,71,娘娘鱼,0
285,72,乌江,1
286,72,密西西比河,0
287,72,尼罗河,0
288,72,田纳西河,0
289,73,4根,1
290,73,100根,0
291,73,1000根,0
292,73,50根,0
293,74,清朝,1
294,74,侏罗纪,0
295,74,白垩纪,0
296,74,三叠纪,0
297,75,音乐文件,1
298,75,机密文件,0
299,75,绝密文件,0
300,75,保密文件,0
301,76,李时珍,1
302,76,龟仙人,0
303,76,鹤仙人,0
304,76,猫仙人,0
305,77,76年,1
306,77,46亿年,0
307,77,100亿年,0
308,77,200亿年,0
309,78,太阳,1
310,78,体育明星,0
311,78,电影明星,0
312,78,武打明星,0
313,79,李冰父子,1
314,79,卓别林,0
315,79,憨豆先生,0
316,79,金凯瑞,0
317,80,大洋洲,1
318,80,北美洲,0
319,80,亚洲,0
320,80,非洲,0
321,81,无名指,1
322,81,中指,0
