id,level,winexp,loseexp,objectid,number_win,number_lose,gold_win,gold_lose
1,30,45000,22500,215503001,2000,1000,30000,15000
2,31,48050,24025,215503001,2000,1000,30000,15000
3,32,51200,25600,215503001,2000,1000,30000,15000
4,33,54450,27225,215503001,2000,1000,30000,15000
5,34,57800,28900,215503001,2000,1000,30000,15000
6,35,61250,30625,215503001,2000,1000,30000,15000
7,36,64800,32400,215503001,2000,1000,30000,15000
8,37,68450,34225,215503001,2000,1000,30000,15000
9,38,72200,36100,215503001,2000,1000,30000,15000
10,39,76050,38025,215503001,2000,1000,30000,15000
11,40,80000,40000,215503001,2000,1000,30000,15000
12,41,84050,42025,215503001,2000,1000,30000,15000
13,42,88200,44100,215503001,2000,1000,30000,15000
14,43,92450,46225,215503001,2000,1000,30000,15000
15,44,96800,48400,215503001,2000,1000,30000,15000
16,45,101250,50625,215503001,2000,1000,30000,15000
17,1040,80000,40000,215503001,2000,1000,30000,15000
18,1041,84050,42025,215503001,2000,1000,30000,15000
19,1042,88200,44100,215503001,2000,1000,30000,15000
20,1043,92450,46225,215503001,2000,1000,30000,15000
21,1044,96800,48400,215503001,2000,1000,30000,15000
22,1045,101250,50625,215503001,2000,1000,30000,15000
23,1046,105800,52900,215503001,2000,1000,30000,15000
24,1047,110450,55225,215503001,2000,1000,30000,15000
25,1048,115200,57600,215503001,2000,1000,30000,15000
26,1049,120050,60025,215503001,2000,1000,30000,15000
27,1050,125000,62500,215503001,2000,1000,30000,15000
28,2045,101250,50625,215503001,2000,1000,30000,15000
29,2046,105800,52900,215503001,2000,1000,30000,15000
30,2047,110450,55225,215503001,2000,1000,30000,15000
31,2048,115200,57600,215503001,2000,1000,30000,15000
32,2049,120050,60025,215503001,2000,1000,30000,15000
33,2050,125000,62500,215503001,2000,1000,30000,15000
34,2051,130050,65025,215503001,2000,1000,30000,15000
35,2052,135200,67600,215503001,2000,1000,30000,15000
36,2053,140450,70225,215503001,2000,1000,30000,15000
37,2054,145800,72900,215503001,2000,1000,30000,15000
38,2055,151250,75625,215503001,2000,1000,30000,15000
39,3050,125000,62500,215503001,2000,1000,30000,15000
40,3051,130050,65025,215503001,2000,1000,30000,15000
41,3052,135200,67600,215503001,2000,1000,30000,15000
42,3053,140450,70225,215503001,2000,1000,30000,15000
43,3054,145800,72900,215503001,2000,1000,30000,15000
44,3055,151250,75625,215503001,2000,1000,30000,15000
45,3056,156800,78400,215503001,2000,1000,30000,15000
