id,profession,equipid,bind
1,1,144151120,
2,2,144151220,
3,3,144151320,
4,1,144152120,
5,2,144152220,
6,3,144152320,
7,1,144153120,
8,2,144153220,
9,3,144153320,
10,1,144154120,
11,2,144154220,
12,3,144154320,
13,1,144155120,
14,2,144155220,
15,3,144155320,
16,1,144156120,
17,2,144156220,
18,3,144156320,
19,1,144157120,
20,2,144157220,
21,3,144157320,
22,1,144158120,
23,2,144158220,
24,3,144158320,
25,1,144159120,
26,2,144159220,
27,3,144159320,
28,1,144160120,
29,2,144160220,
30,3,144160320,
31,1,144161120,
32,2,144161220,
33,3,144161320,
34,1,144162120,
35,2,144162220,
36,3,144162320,
