id,minrank,maxrank,wuxing,bindgold
1,1,2,120000,600000
2,2,3,117000,585000
3,3,4,114000,570000
4,4,5,111000,555000
5,5,6,108000,540000
6,6,7,105000,525000
7,7,8,102000,510000
8,8,9,99000,495000
9,9,10,96000,480000
10,10,11,93000,465000
11,11,12,91500,457500
12,12,13,90000,450000
13,13,14,88500,442500
14,14,15,87000,435000
15,15,16,85500,427500
16,16,17,84000,420000
17,17,18,82500,412500
18,18,19,81000,405000
19,19,20,79500,397500
20,20,21,78000,390000
21,21,22,76800,384000
22,22,23,75600,378000
23,23,24,74400,372000
24,24,25,73200,366000
25,25,26,72000,360000
26,26,27,70800,354000
27,27,28,69600,348000
28,28,29,68400,342000
29,29,30,67200,336000
30,30,31,66000,330000
31,31,32,65100,325500
32,32,33,64200,321000
33,33,34,63300,316500
34,34,35,62400,312000
35,35,36,61500,307500
36,36,37,60600,303000
37,37,38,59700,298500
38,38,39,58800,294000
39,39,40,57900,289500
40,40,41,57000,285000
41,41,42,56400,282000
42,42,43,55800,279000
43,43,44,55200,276000
44,44,45,54600,273000
45,45,46,54000,270000
46,46,47,53400,267000
47,47,48,52800,264000
48,48,49,52200,261000
49,49,50,51600,258000
50,50,51,51000,255000
51,51,52,50400,252000
52,52,53,49800,249000
53,53,54,49200,246000
54,54,55,48600,243000
55,55,56,48000,240000
56,56,57,47400,237000
57,57,58,46800,234000
58,58,59,46200,231000
59,59,60,45600,228000
60,60,61,45000,225000
61,61,62,44400,222000
62,62,63,43800,219000
63,63,64,43200,216000
64,64,65,42600,213000
65,65,66,42000,210000
66,66,67,41400,207000
67,67,68,40800,204000
68,68,69,40200,201000
69,69,70,39600,198000
70,70,71,39000,195000
71,71,72,38700,193500
72,72,73,38400,192000
73,73,74,38100,190500
74,74,75,37800,189000
75,75,76,37500,187500
76,76,77,37200,186000
77,77,78,36900,184500
78,78,79,36600,183000
79,79,80,36300,181500
80,80,81,36000,180000
81,81,82,35700,178500
82,82,83,35400,177000
83,83,84,35100,175500
84,84,85,34800,174000
85,85,86,34500,172500
86,86,87,34200,171000
87,87,88,33900,169500
88,88,89,33600,168000
89,89,90,33300,166500
90,90,91,33000,165000
91,91,92,32700,163500
92,92,93,32400,162000
93,93,94,32100,160500
94,94,95,31800,159000
95,95,96,31500,157500
96,96,97,31200,156000
97,97,98,30900,154500
98,98,99,30600,153000
99,99,100,30300,151500
100,100,9999999,30000,150000
