id,item_type,piece_id,health,attack,defence,crit,toughness,hit,dodge,icon_id
1,1,193414001,0,73,24,0,0,24,0,183371001
2,1,193414002,3417,0,0,12,60,0,48,183371002
3,2,193415001,0,68,29,0,0,0,0,183372001
4,2,193415002,0,0,0,0,0,24,49,183372002
5,2,193415003,3433,0,0,24,49,0,0,183372003
6,3,193416001,0,65,35,0,0,0,0,183373001
7,3,193416002,0,0,0,0,0,25,50,183373002
8,3,193416003,3482,0,0,37,37,0,0,183373003
9,4,193417001,0,65,43,0,0,0,0,183374001
10,4,193417002,0,0,0,0,0,40,40,183374002
11,4,193417003,3689,0,0,54,27,0,0,183374003
12,5,193418001,0,205,0,0,0,0,0,183375001
13,5,193418002,0,0,86,0,0,42,0,183375002
14,5,193418003,0,0,0,69,0,0,52,183375003
15,5,193418004,7769,0,0,0,24,0,0,183375004
16,6,193419001,0,196,0,0,0,0,0,183376001
17,6,193419002,0,0,116,0,0,42,0,183376002
18,6,193419003,0,0,0,24,0,0,52,183376003
19,6,193419004,7817,0,0,0,70,0,0,183376004
20,7,193420001,0,249,0,0,0,0,0,183377001
21,7,193420002,0,0,141,0,0,60,0,183377002
22,7,193420003,0,0,0,55,0,0,55,183377003
23,7,193420004,8487,0,0,0,60,0,0,183377004
24,8,193421001,0,353,0,0,0,0,0,183378001
25,8,193421002,0,0,299,0,0,91,0,183378002
26,8,193421003,0,0,0,43,0,0,55,183378003
27,8,193421004,14538,0,0,0,83,0,0,183378004
28,9,193422001,0,335,0,0,0,0,0,183379001
29,9,193422002,0,0,321,0,0,0,0,183379002
30,9,193422003,0,0,0,0,0,73,56,183379003
31,9,193422004,0,0,0,93,56,0,0,183379004
32,9,193422005,14635,0,0,0,0,0,0,183379005
33,10,193423001,0,382,0,0,0,0,0,183380001
34,10,193423002,0,0,377,0,0,0,0,183380002
35,10,193423003,0,0,0,0,0,99,60,183380003
36,10,193423004,0,0,0,109,55,0,0,183380004
37,10,193423005,15973,0,0,0,0,0,0,183380005
