id,item_type,nowlv,nextlv,health,attack,defence,crit,toughness,dodge,hit,process,mix_process,max_process
1,1,0,1,6834,146,48,24,120,96,48,120,192,288
2,1,1,2,6988,150,50,25,120,97,49,141,192,288
3,1,2,3,7168,155,53,26,120,98,50,163,192,288
4,1,3,4,7373,161,56,27,121,99,51,176,192,288
5,1,4,5,7604,167,59,29,122,100,52,197,192,288
6,1,5,6,7861,174,63,31,123,101,53,210,192,288
7,1,6,7,8143,182,67,33,124,102,54,257,192,288
8,1,7,8,8451,190,72,35,125,104,56,270,192,288
9,1,8,9,8785,199,77,37,126,106,58,291,192,288
10,1,9,10,9144,208,83,40,127,108,60,304,192,288
11,1,10,11,9529,218,89,43,128,110,62,349,192,288
12,1,11,12,9939,229,95,46,129,112,64,399,168,312
13,1,12,13,10375,241,101,49,130,114,66,468,168,312
14,1,13,14,10837,253,108,52,132,116,68,583,168,312
15,1,14,15,11324,266,115,55,134,119,71,676,168,312
16,1,15,16,11837,280,123,58,136,122,74,767,168,312
17,1,16,17,12376,295,131,61,138,125,77,885,168,312
18,1,17,18,12940,310,140,65,140,128,80,1001,168,312
19,1,18,19,13530,326,149,69,142,131,83,1112,168,312
20,1,19,20,14146,342,158,73,144,134,86,1278,168,312
21,1,20,21,14787,359,168,77,146,137,89,1390,168,312
22,1,21,22,15454,377,178,81,148,140,92,1512,144,336
23,1,22,23,16147,395,188,86,150,143,95,1694,144,336
24,1,23,24,16865,414,199,91,153,146,98,1950,144,336
25,1,24,25,17609,434,210,96,156,150,102,2142,144,336
26,1,25,26,18379,455,222,101,159,154,106,2286,144,336
27,1,26,27,19174,476,234,106,162,158,110,2507,144,336
28,1,27,28,19995,498,246,112,165,162,114,2746,144,336
29,1,28,29,20842,521,259,118,168,166,118,2930,144,336
30,1,29,30,21714,544,272,124,171,170,122,3363,144,336
31,1,30,31,22612,568,286,130,174,175,127,3526,144,336
32,1,31,32,23536,593,300,136,177,180,132,3642,120,360
33,1,32,33,24472,618,314,142,180,185,137,3763,120,360
34,1,33,34,25421,643,328,148,183,190,142,3976,120,360
35,1,34,35,26383,669,343,154,186,195,147,4107,120,360
36,1,35,36,27358,695,358,160,189,200,152,4290,120,360
37,1,36,37,28346,722,373,166,192,205,157,4480,120,360
38,1,37,38,29347,749,388,173,195,210,162,4627,120,360
39,1,38,39,30360,776,403,180,198,215,167,4779,120,360
40,1,39,40,31386,803,418,187,201,220,172,5536,120,360
41,1,40,-1,32489,833,435,194,205,226,178,5536,120,360
42,2,0,1,6866,136,58,48,98,98,48,120,192,288
43,2,1,2,7020,140,60,49,98,99,49,141,192,288
44,2,2,3,7200,145,63,50,98,100,50,163,192,288
45,2,3,4,7405,151,66,51,99,101,51,176,192,288
46,2,4,5,7636,157,69,53,100,102,52,197,192,288
47,2,5,6,7893,164,73,55,101,103,53,210,192,288
48,2,6,7,8175,172,77,57,102,104,54,257,192,288
49,2,7,8,8483,180,82,59,103,106,56,270,192,288
50,2,8,9,8817,189,87,61,104,108,58,291,192,288
51,2,9,10,9176,198,93,64,105,110,60,304,192,288
52,2,10,11,9561,208,99,67,106,112,62,349,192,288
53,2,11,12,9971,219,105,70,107,114,64,399,168,312
54,2,12,13,10407,231,111,73,108,116,66,468,168,312
55,2,13,14,10869,243,118,76,110,118,68,583,168,312
56,2,14,15,11356,256,125,79,112,121,71,676,168,312
57,2,15,16,11869,270,133,82,114,124,74,767,168,312
58,2,16,17,12408,285,141,85,116,127,77,885,168,312
59,2,17,18,12972,300,150,89,118,130,80,1001,168,312
60,2,18,19,13562,316,159,93,120,133,83,1112,168,312
61,2,19,20,14178,332,168,97,122,136,86,1278,168,312
62,2,20,21,14819,349,178,101,124,139,89,1390,168,312
63,2,21,22,15486,367,188,105,126,142,92,1512,144,336
64,2,22,23,16179,385,198,110,128,145,95,1694,144,336
65,2,23,24,16897,404,209,115,131,148,98,1950,144,336
66,2,24,25,17641,424,220,120,134,152,102,2142,144,336
67,2,25,26,18411,445,232,125,137,156,106,2286,144,336
68,2,26,27,19206,466,244,130,140,160,110,2507,144,336
69,2,27,28,20027,488,256,136,143,164,114,2746,144,336
70,2,28,29,20874,511,269,142,146,168,118,2930,144,336
71,2,29,30,21746,534,282,148,149,172,122,3363,144,336
72,2,30,31,22644,558,296,154,152,177,127,3526,144,336
73,2,31,32,23568,583,310,160,155,182,132,3642,120,360
74,2,32,33,24504,608,324,166,158,187,137,3763,120,360
75,2,33,34,25453,633,338,172,161,192,142,3976,120,360
76,2,34,35,26415,659,353,178,164,197,147,4107,120,360
77,2,35,36,27390,685,368,184,167,202,152,4290,120,360
78,2,36,37,28378,712,383,190,170,207,157,4480,120,360
79,2,37,38,29379,739,398,197,173,212,162,4627,120,360
80,2,38,39,30392,766,413,204,176,217,167,4779,120,360
81,2,39,40,31418,793,428,211,179,222,172,5536,120,360
82,2,40,-1,32521,823,445,218,183,228,178,5536,120,360
83,3,0,1,6964,130,70,74,74,100,50,120,192,288
84,3,1,2,7118,134,72,75,74,101,51,141,192,288
85,3,2,3,7298,139,75,76,74,102,52,163,192,288
86,3,3,4,7503,145,78,77,75,103,53,176,192,288
87,3,4,5,7734,151,81,79,76,104,54,197,192,288
88,3,5,6,7991,158,85,81,77,105,55,210,192,288
89,3,6,7,8273,166,89,83,78,106,56,257,192,288
90,3,7,8,8581,174,94,85,79,108,58,270,192,288
91,3,8,9,8915,183,99,87,80,110,60,291,192,288
92,3,9,10,9274,192,105,90,81,112,62,304,192,288
93,3,10,11,9659,202,111,93,82,114,64,349,192,288
94,3,11,12,10069,213,117,96,83,116,66,399,168,312
