id,bigkind,rank,title,icon,des,star,kind,des_2,des_3,des_4,systemid,playid,des_5
1,1,1,环式任务,40026,完成任务获得经验,10,1,剩余次数:,%d次,,250000000,-1,每次预计获得：
2,1,2,试炼任务,40026,完成任务获得经验,10,1,剩余次数:,%d次,,260000000,-1,每次预计获得：
3,1,21,狱山荒泽,40001,击败BOSS获得经验,10,4,全天开放,,,241014000,-1,每日预计获得：
4,1,28,平乱剿匪,40066,怪物掉落,9,1,剩余次数:,%d次,,930000000,10029,每次预计获得：
5,1,3,除暴安良,40016,副本击败怪物获得经验,9,2,活动时间：,每日11点、16点30分开启,进行中,930000000,10017,每次预计获得：
6,1,4,挖宝掘金,40017,副本击败怪物获得经验,9,4,全天开放,,,930000000,10018,每次预计获得：
7,1,23,场景BOSS,40001,击败BOSS获得经验,9,4,全天开放,,,241012000,-1,每日预计获得：
8,1,41,经验谷,40026,副本击败怪物获得经验,9,0,全天开放,,,940000000,-1,每日预计获得：
9,1,42,经验秘地,40025,副本击败怪物获得经验,9,1,剩余次数:,%d次,,243010200,-1,每次预计获得：
10,1,5,仙府香炉,40005,停留在活动场景获得经验,8,2,活动时间：,每日19点30分开启,进行中,930000000,10006,每日预计获得：
11,1,6,女娲神石,40011,在神石范围内获得经验,8,2,活动时间：,每日12点开启,进行中,930000000,10012,每日预计获得：
12,1,22,挂机,40001,击败小怪获得,8,4,全天开放,,,241014000,-1,每小时预计获得：
13,1,7,竞技场,40027,战斗结算获得经验,7,1,剩余次数:,%d次,,245000000,-1,每次预计获得：
14,1,8,巅峰竞技,10131,战斗结算获得经验,7,2,活动时间：,每日21点30分开启,进行中,930000000,10024,每日预计获得：
15,1,9,水府试炼,40025,副本击败怪物或扫荡获得经验,6,1,剩余次数:,%d次,,243010100,-1,每次预计获得：
16,1,10,明月山水图,40025,副本击败怪物或扫荡获得经验,6,1,剩余次数:,%d次,,243010110,-1,每次预计获得：
17,1,11,寂灭之域,40025,副本击败怪物或扫荡获得经验,6,1,剩余次数:,%d次,,243010120,-1,每次预计获得：
18,1,12,东林宗,40025,副本击败怪物或扫荡获得经验,6,1,剩余次数:,%d次,,243010130,-1,每次预计获得：
19,1,13,无间战场,40025,副本击败怪物或扫荡获得经验,6,1,剩余次数:,%d次,,243010140,-1,每次预计获得：
20,1,14,莲花幻界,40025,副本击败怪物或扫荡获得经验,6,1,剩余次数:,%d次,,243010150,-1,每次预计获得：
21,1,15,水府试炼(多人),40025,副本击败怪物或扫荡获得经验,6,1,剩余次数:,%d次,,243020100,-1,每次预计获得：
22,1,16,无间战场(多人),40025,副本击败怪物或扫荡获得经验,6,1,剩余次数:,%d次,,243020200,-1,每次预计获得：
23,1,17,莲花幻界(多人),40025,副本击败怪物或扫荡获得经验,6,1,剩余次数:,%d次,,243020300,-1,每次预计获得：
24,1,18,四象灵域,40025,副本击败怪物或扫荡获得经验,6,1,剩余次数:,%d次,,243040000,-1,每次预计获得：
25,1,19,妖魔冰谷,40025,副本击败怪物或扫荡获得经验,6,1,剩余次数:,%d次,,243050000,-1,每次预计获得：
26,1,20,巫江仙府,40025,副本击败怪物或扫荡获得经验,6,5,,%d,,243030000,-1,每次预计获得：
27,1,37,精炼福地,40025,副本击败怪物或扫荡获得经验,6,1,剩余次数:,%d次,,243010160,-1,每次预计获得：
28,1,38,精炼福地·高级,40025,副本击败怪物或扫荡获得经验,6,1,剩余次数:,%d次,,243010170,-1,每次预计获得：
29,1,39,骑兽猎场,40025,副本击败怪物或扫荡获得经验,6,1,剩余次数:,%d次,,243010190,-1,每次预计获得：
30,1,40,羽化洞天,40025,副本击败怪物或扫荡获得经验,6,1,剩余次数:,%d次,,243010180,-1,每次预计获得：
31,2,6,明月山水图,40025,怪物掉落,10,1,剩余次数:,%d次,,243010110,-1,每次预计获得：
32,2,30,武道会,40007,参与活动获得,10,2,活动时间：,每日13点30分、20点开启,进行中,930000000,10028,每日预计获得：
33,2,15,试炼任务,40026,完成任务获得,10,1,剩余次数:,%d次,,260000000,-1,每次预计获得：
34,2,4,挖宝掘金,40017,开宝箱或触发平乱获得,10,4,全天开放,,,930000000,10018,每次预计获得：
35,2,2,每日运镖,40002,每次运镖获得,9,3,活动时间：,每日15点、19点开启双倍运镖奖励,进行中,930000000,10002,每次预计获得：
36,2,24,狱山荒泽,40001,BOSS、小怪掉落,9,4,全天开放,,,241014000,-1,每日预计获得：
