id,kind,rank,levelmin,number,levelmax
1,1,1,30,831560,30
2,1,1,31,831560,31
3,1,1,32,831560,32
4,1,1,33,831560,33
5,1,1,34,831560,34
6,1,1,35,831560,35
7,1,1,36,831560,36
8,1,1,37,831560,37
9,1,1,38,831560,38
10,1,1,39,831560,39
11,1,1,40,831560,40
12,1,1,41,831560,41
13,1,1,42,831560,42
14,1,1,43,831560,43
15,1,1,44,831560,44
16,1,1,45,831560,45
17,1,1,1040,1663320,1040
18,1,1,1041,1663520,1041
19,1,1,1042,1663720,1042
20,1,1,1043,1663920,1043
21,1,1,1044,1664120,1044
22,1,1,1045,1664320,1045
23,1,1,1046,1833600,1046
24,1,1,1047,1925280,1047
25,1,1,1048,2021540,1048
26,1,1,1049,2122620,1049
27,1,1,1050,2123020,1050
28,1,1,2045,2123420,2045
29,1,1,2046,2123820,2046
30,1,1,2047,2124220,2047
31,1,1,2048,2124620,2048
32,1,1,2049,2125020,2049
33,1,1,2050,2125420,2050
34,1,1,2051,2228760,2051
35,1,1,2052,2340200,2052
36,1,1,2053,2457200,2053
37,1,1,2054,2580060,2054
38,1,1,2055,2709060,2055
39,1,1,3050,2709460,3050
40,1,1,3051,2709860,3051
41,1,1,3052,2710260,3052
42,1,1,3053,2710660,3053
43,1,1,3054,2711060,3054
44,1,1,3055,2711460,3055
45,1,1,3056,2844520,3056
46,1,1,3057,2986740,3057
47,1,1,3058,3136080,3058
48,1,1,3059,3292880,3059
49,1,1,3060,3457540,3060
50,1,1,4055,3457940,4055
51,1,1,4056,3458340,4056
52,1,1,4057,3458740,4057
53,1,1,4058,3459140,4058
54,1,1,4059,3459540,4059
55,1,1,4060,3459940,4060
56,1,1,4061,3630420,4061
57,1,1,4062,3811940,4062
58,1,1,4063,4002520,4063
59,1,1,4064,4202660,4064
60,1,1,4065,4412780,4065
61,1,1,5060,4413180,5060
62,1,1,5061,4413580,5061
63,1,1,5062,4413980,5062
64,1,1,5063,4414380,5063
65,1,1,5064,4414780,5064
66,1,1,5065,4415180,5065
67,1,1,5066,4633420,5066
68,1,1,5067,4865100,5067
69,1,1,5068,5108360,5068
70,1,1,5069,5363780,5069
71,1,1,5070,5631960,5070
72,1,1,6065,5632160,6065
73,1,1,6066,5632360,6066
74,1,1,6067,5632560,6067
75,1,1,6068,5632760,6068
76,1,1,6069,5632960,6069
77,1,1,6070,5633160,6070
78,1,1,6071,5913560,6071
79,1,1,6072,6209240,6072
80,1,1,6073,6519700,6073
81,1,1,6074,6845680,6074
82,1,1,6075,7187980,6075
83,1,1,7070,7188380,7070
84,1,1,7071,7188780,7071
85,1,1,7072,7189180,7072
86,1,1,7073,7189580,7073
87,1,1,7074,7189980,7074
88,1,1,7075,7190380,7075
89,1,1,7076,7547360,7076
90,1,1,7077,7924740,7077
91,1,1,7078,8320980,7078
92,1,1,7079,8737020,7079
93,1,1,7080,9173880,7080
94,1,1,8075,9174280,8075
95,1,1,8076,9174680,8076
96,1,1,8077,9175080,8077
97,1,1,8078,9175480,8078
98,1,1,8079,9175880,8079
99,1,1,8080,9176280,8080
100,1,1,8081,9632560,8081
101,1,1,8082,10114200,8082
102,1,1,8083,10619900,8083
103,1,1,8084,11150900,8084
104,1,1,8085,11708460,8085
105,1,1,9080,11708860,9080
106,1,1,9081,11709260,9081
107,1,1,9082,11709660,9082
108,1,1,9083,11710060,9083
109,1,1,9084,11710460,9084
110,1,1,9085,11710860,9085
111,1,1,9086,12293880,9086
112,1,1,9087,12908560,9087
113,1,1,9088,13554000,9088
114,1,1,9089,14231700,9089
115,1,1,9090,14943280,9090
116,1,1,10085,14943680,10085
117,1,1,10086,14944080,10086
118,1,1,10087,14944480,10087
119,1,1,10088,14944880,10088
120,1,1,10089,14945280,10089
121,1,1,10090,14945680,10090
