levelmin,levelmax,vipmin,vipmax,fightvalue,sfightvalue,afightvalue,bfightvalue
0,1045,0,1,251416,276558,251416,201133
0,1045,2,4,286072,314679,286072,228858
0,1045,5,7,377920,415712,377920,302336
0,1045,8,11,461166,507283,461166,368933
0,1045,12,15,541423,595565,541423,433138
1046,2050,0,1,340920,375012,340920,272736
1046,2050,2,4,395163,434679,395163,316130
1046,2050,5,7,473672,521039,473672,378938
1046,2050,8,11,566003,622603,566003,452802
1046,2050,12,15,706165,776782,706165,564932
2051,3055,0,1,443860,488246,443860,355088
2051,3055,2,4,507979,558777,507979,406383
2051,3055,5,7,598045,657850,598045,478436
2051,3055,8,11,753928,829321,753928,603142
2051,3055,12,15,977237,1074961,977237,781790
3056,4055,0,1,560986,617085,560986,448789
3056,4055,2,4,656286,721915,656286,525029
3056,4055,5,7,794554,874009,794554,635643
3056,4055,8,11,1024881,1127369,1024881,819905
3056,4055,12,15,1353153,1488468,1353153,1082522
4056,5060,0,5,780190,858209,780190,624152
4056,5060,6,9,1141146,1255261,1141146,912917
4056,5060,10,15,1572277,1729505,1572277,1257822
5061,5065,0,5,896398,986038,896398,717118
5061,5065,6,9,1297233,1426956,1297233,1037786
5061,5065,10,15,1825646,2008211,1825646,1460517
5066,5070,0,5,1069225,1176148,1069225,855380
5066,5070,6,9,1522046,1674251,1522046,1217637
5066,5070,10,15,2163486,2379835,2163486,1730789
6065,6070,0,5,1206934,1327627,1206934,965547
6065,6070,6,9,1699933,1869926,1699933,1359946
6065,6070,10,15,2521783,2773961,2521783,2017426
6071,6075,0,5,1343494,1477843,1343494,1074795
6071,6075,6,9,1949513,2144464,1949513,1559610
6071,6075,10,15,2904400,3194840,2904400,2323520
7070,7075,0,5,1479465,1627412,1479465,1183572
7070,7075,6,9,2195323,2414855,2195323,1756258
7070,7075,10,15,3063654,3370019,3063654,2450923
7076,7080,0,5,1551273,1706400,1551273,1241018
7076,7080,6,9,2417813,2659594,2417813,1934250
7076,7080,10,15,3420685,3762754,3420685,2736548
8075,8080,0,5,1652707,1817978,1652707,1322166
8075,8080,6,9,2702402,2972642,2702402,2161922
8075,8080,10,15,3751597,4126757,3751597,3001278
8081,8085,0,5,1914090,2105499,1914090,1531272
8081,8085,6,9,2847798,3132578,2847798,2278238
8081,8085,10,15,4397176,4836894,4397176,3517741
9080,9085,0,5,2180680,2398748,2180680,1744544
9080,9085,6,9,3149199,3464119,3149199,2519359
9080,9085,10,15,4669660,5136626,4669660,3735728
9086,9090,0,5,2401027,2641130,2401027,1920822
9086,9090,6,9,3615983,3977581,3615983,2892786
9086,9090,10,15,5744326,6318759,5744326,4595461
10085,10090,0,5,2437679,2681447,2437679,1950143
10085,10090,6,9,4044490,4448939,4044490,3235592
10085,10090,10,15,6131286,6744415,6131286,4905029
10091,10095,0,5,2856340,3141974,2856340,2285072
10091,10095,6,9,4744306,5218737,4744306,3795445
10091,10095,10,15,7703166,8473483,7703166,6162533
11090,11095,0,5,3113106,3424417,3113106,2490485
11090,11095,6,9,5336904,5870594,5336904,4269523
11090,11095,10,15,9089409,9998350,9089409,7271527
11096,11100,0,5,3446558,3791214,3446558,2757246
11096,11100,6,9,6206417,6827059,6206417,4965134
11096,11100,10,15,11810995,12992095,11810995,9448796
