id,rank,objectid
1,1,192401004
2,1,193401003
3,1,194401002
4,1,195401001
5,2,183366001
6,3,192405009
7,3,192406009
8,3,192407009
9,3,192408009
10,3,192409009
11,3,192410009
12,3,192411009
13,3,193405007
14,3,193405008
15,3,193406007
16,3,193406008
17,3,193407007
18,3,193407008
19,3,193408007
20,3,193408008
21,3,193409007
22,3,193409008
23,3,193410007
24,3,193410008
25,3,193411007
26,3,193411008
27,3,194405005
28,3,194405006
29,3,194406005
30,3,194406006
31,3,194407005
32,3,194407006
33,3,194408005
34,3,194408006
35,3,194409005
36,3,194409006
37,3,194410005
38,3,194410006
39,3,194411005
40,3,194411006
41,3,195405003
42,3,195405004
43,3,195406003
44,3,195406004
45,3,195407003
46,3,195407004
47,3,195408003
48,3,195408004
49,3,195409003
50,3,195409004
51,3,195410003
52,3,195410004
53,3,195411003
54,3,195411004
55,3,196405001
56,3,196405002
57,3,196406001
58,3,196406002
59,3,196407001
60,3,196407002
61,3,196408001
62,3,196408002
63,3,196409001
64,3,196409002
65,3,196410001
66,3,196410002
67,3,196411001
68,3,196411002
69,4,192402004
70,4,193402003
71,4,194402002
72,4,195402001
73,5,184370009
74,5,183370010
75,5,182370011
76,6,182353001
77,7,184394001
78,8,183394002
79,9,184395001
80,10,183395002
81,11,182395003
82,12,184393001
83,13,183393002
84,14,182393003
85,15,184390001
86,16,183390002
87,17,182390003
88,18,184391001
89,19,183391002
90,20,182391003
91,21,184392001
92,22,183392002
93,23,182392003
94,24,193403001
95,24,192403002
96,25,192403002
97,25,193403001
98,25,162264001
99,25,163264001
100,25,164264001
101,26,183364001
102,26,183364002
103,26,183364003
104,27,182371009
105,27,183371010
106,28,182371007
107,28,183371008
108,29,182371001
109,29,183371002
110,30,163254001
111,30,164254002
112,32,215503001
113,33,173310001
114,34,183351001
115,35,182370004
116,35,183370005
117,36,215505001
118,37,215504001
119,38,184359001
120,39,173303003
121,40,215510001
122,41,184357001
123,42,184358001
124,44,174331001
125,45,151201001
126,45,151202001
127,45,151203001
128,45,151204001
129,45,151205001
130,45,151206001
131,45,151207001
132,45,151208001
133,45,152201001
134,45,152202001
135,45,152203001
136,45,152204001
137,45,152205001
138,45,152206001
139,45,152207001
140,45,152208001
141,45,153201001
142,45,153202001
143,45,153203001
144,45,153204001
145,45,153205001
146,45,153206001
147,45,153207001
148,45,153208001
149,45,154201001
150,45,154202001
151,45,154203001
152,45,154204001
153,45,154205001
154,45,154206001
155,45,154207001
156,45,154208001
157,45,155201001
158,45,155202001
159,45,155203001
160,45,155204001
161,45,155205001
162,45,155206001
163,45,155207001
164,45,155208001
165,45,156201001
166,45,156202001
167,45,156203001
168,45,156204001
169,45,156205001
170,45,156206001
171,45,156207001
172,45,156208001
173,46,183363001
174,47,103000015
175,47,104000015
176,48,183370006
177,49,182370007
178,50,173303006
179,51,182370012
180,52,183362001
181,53,182352001
182,54,193414001
183,54,193414002
184,55,193415001
185,55,193415002
186,55,193415003
187,56,193416001
188,56,193416002
189,56,193416003
190,57,193417001
191,57,193417002
192,57,193417003
193,58,193418001
194,58,193418002
195,58,193418003
196,58,193418004
197,59,193419001
198,59,193419002
199,59,193419003
200,59,193419004
201,60,193420001
202,60,193420002
203,60,193420003
204,60,193420004
205,61,193421001
206,61,193421002
207,61,193421003
208,61,193421004
209,62,193422001
210,62,193422002
211,62,193422003
212,62,193422004
213,62,193422005
214,63,215512001
215,64,215508001
216,65,215519001
217,66,215511001
