id,objectid,name,rank,icon
1,173310001,藏宝图,33,173310001
2,181354001,红色精炼石,67,184354001
3,184353001,橙色精炼石,6,184353001
4,192402001,升阶石,4,192402001
5,192401001,强化石,1,192401001
6,191403001,洗炼石,24,191403001
7,192406003,宝石,3,192406003
8,184359001,骑灵果,38,184359001
9,155203001,骑装,45,155203001
10,184357001,成长元液,41,184357001
11,184358001,灵修丹,42,184358001
12,163264001,洗髓丹,25,163264001
13,174331001,空白书页,44,174331001
14,182352001,五行孔雀羽,53,184352001
15,184351001,幻灵仙羽,34,184351001
16,184366001,厚土之息,2,184366001
17,183362001,炼兵石,52,184362001
18,183363001,注灵石,46,184363001
19,183364003,神晶,26,183364003
20,183371010,攻击纹石,27,183371010
21,183371008,生命纹石,28,183371008
22,183371011,三维纹石,29,183371011
23,182370009,领域丹,5,182370009
24,183370006,火冥石,48,183370006
25,182370007,龙晶,49,182370007
26,182370012,唤灵石,51,182370012
27,173303006,神怒之钥,50,173303006
28,164254002,气运油,30,164254002
29,215503001,悟性,32,215503001
30,182370004,炎玉,35,182370004
31,215505001,仙气,36,215505001
32,215504001,灵气,37,215504001
33,215508001,仙盟贡献,64,215508001
34,215511001,功勋,66,215511001
35,215510001,声望,40,215510001
36,215512001,积分,63,215512001
37,215519001,荣誉,65,215519001
38,183367001,万鬼幡碎片,54,183367001
39,183367002,渠山印碎片,55,183367002
40,183367003,水月镜碎片,56,183367003
41,183367004,神火盏碎片,57,183367004
42,183367005,宿河图碎片,58,183367005
43,183367006,五行鼎碎片,59,183367006
44,183367007,镇界塔碎片,60,183367007
45,183367008,后羿弓碎片,61,183367008
46,183367009,星金珠碎片,62,183367009
47,214517001,精华碎片,47,214517001
48,184394001,星辉奇石,7,184394001
49,183394002,皓月奇石,8,183394002
50,184395001,星辉道果,9,184395001
51,183395002,皓月道果,10,183395002
52,182395003,烈阳道果,11,182395003
53,184393001,星辉印迹,12,184393001
54,183393002,皓月印迹,13,183393002
55,182393003,烈阳印迹,14,182393003
56,184390001,星辉兽灵,15,184390001
57,183390002,皓月兽灵,16,183390002
58,182390003,烈阳兽灵,17,182390003
59,184391001,星辉神纹,18,184391001
60,183391002,皓月神纹,19,183391002
61,182391003,烈阳神纹,20,182391003
62,184392001,星辉魂珠,21,184392001
63,183392002,皓月魂珠,22,183392002
64,182392003,烈阳魂珠,23,182392003
65,173303003,兽粮,39,173303003
