id,objectid,rank,title,icon,describe,star,systemid,playid,kind,describe_2,describe_3,describe_4,describe_5
1,192406003,1,无间战场,40025,击杀副本怪物获得,10,243010140,-1,1,剩余次数:,%d次,,每次预计获得：
2,192406003,2,无间战场(多人),40025,击杀副本怪物获得,10,243020200,-1,1,剩余次数:,%d次,,每次预计获得：
3,192406003,3,地宝阁,40029,地宝阁抽取有几率获得,9,500000000,-1,0,,,,
4,192406003,4,VIP奖励,40037,VIP奖励获得,9,281000000,-1,0,,,,
5,192401001,5,水府试炼,40025,击杀副本怪物获得,10,243010100,-1,1,剩余次数:,%d次,,每次预计获得：
6,192401001,6,水府试炼(多人),40025,击杀副本怪物获得,10,243020100,-1,1,剩余次数:,%d次,,每次预计获得：
7,192401001,7,狱山荒泽,40001,击杀BOSS获得,9,241014000,-1,4,全天开放,,,每日预计获得：
8,192401001,8,场景BOSS,40001,击杀BOSS获得,9,241012000,-1,4,全天开放,,,每日预计获得：
9,192401001,9,悟道,40020,消耗绑元悟道获得,9,224000000,-1,4,全天开放,,,每日预计获得：
10,192401001,10,天元之戒,10126,达到对应条件获得,8,232010000,-1,0,,,,
11,192401001,11,商城(绑元),40045,消耗80绑元购买,8,206000000,-1,0,,,,
12,192401001,12,挖宝掘金,40017,进入藏宝秘地副本获得,8,930000000,10018,4,全天开放,,,每次预计获得：
13,192401001,13,地宝阁,40029,地宝阁抽取有几率获得,8,500000000,-1,0,,,,
14,192401001,14,VIP奖励,40037,VIP奖励获得,8,281000000,-1,0,,,,
15,192401001,15,声望商店,10041,消耗800声望兑换,7,116011000,-1,0,,,,
16,192401001,16,仙盟商店,10079,消耗80贡献兑换,7,161011000,-1,0,,,,
17,192401001,17,万魔洞府,40001,击杀BOSS获得,6,241011000,-1,2,活动时间：,活动BOSS每日12、14、16、18、20、22点出现,进行中,每日预计获得：
18,192401001,18,无间入侵,40003,开启无间秘匣获得,6,930000000,10003,2,活动时间：,每日15点30分开启,进行中,每日预计获得：
19,192401001,19,盗宝小妖,40012,击杀盗宝小妖获得,6,930000000,10013,2,活动时间：,每日12点30分开启,进行中,每日预计获得：
20,192401001,20,在线奖励,40020,到达指定在线时长后领取,5,222000000,-1,4,全天开放,,,每日预计获得：
21,192402001,21,狱山荒泽,40001,分解BOSS掉落紫装获得,10,241014000,-1,4,全天开放,,,每日预计获得：
22,192402001,22,个人BOSS,40001,分解BOSS掉落紫装获得,10,241013000,-1,4,全天开放,,,每日预计获得：
23,192402001,23,VIPBOSS,10120,分解BOSS掉落紫装获得,9,300000000,-1,1,剩余次数:,%d次,,每日预计获得：
24,192402001,24,神怒之地,40001,分解BOSS掉落紫装获得,9,241016000,-1,4,全天开放,,,每日预计获得：
25,192402001,25,场景BOSS,40001,分解BOSS掉落紫装获得,9,241012000,-1,4,全天开放,,,每日预计获得：
26,192402001,26,异界虚空,10137,分解BOSS掉落紫装获得,9,331000000,-1,4,全天开放,,,每日预计获得：
27,192402001,27,万魔洞府,40001,分解BOSS掉落紫装获得,8,241011000,-1,2,活动时间：,活动BOSS每日12、14、16、18、20、22点出现,进行中,每日预计获得：
28,192402001,28,挖宝掘金,40017,进入藏宝秘地副本获得,8,930000000,10018,4,全天开放,,,每次预计获得：
29,192402001,29,轮回塔,40042,通关轮回塔、开启轮回礼盒获得,8,248000000,-1,4,全天开放,,,每日预计获得：
30,192402001,30,冥渊之戒,10128,戒指技能点达到指定点数获得,8,232040000,-1,0,,,,
31,192402001,31,在线奖励,40020,到达指定在线时长后领取,7,222000000,-1,4,全天开放,,,每日预计获得：
32,182370009,32,巅峰竞技,10131,段位、排名奖励获得,8,930000000,10024,2,活动时间：,每日21点30分开启,进行中,每日预计获得：
33,182370009,33,极速挑战,10138,极速挑战副本奖励,9,930000000,10025,2,活动时间：,周六、周日全天开启,进行中,每次预计获得：
34,182370009,34,荣誉商店,10041,消耗140荣誉兑换,10,116013000,-1,0,,,,
35,184353001,35,狱山荒泽,40001,击杀BOSS获得,10,241014000,-1,4,全天开放,,,每日预计获得：
36,184353001,36,场景Boss,40001,击杀BOSS获得,10,241012000,-1,4,全天开放,,,每日预计获得：
37,184353001,37,地宝阁,40029,地宝阁抽取有几率获得,10,500000000,-1,0,,,,
38,184353001,38,精炼福地,40025,击杀副本怪物获得,10,243010160,-1,1,剩余次数:,%d次,,每次预计获得：
39,184353001,39,火云之戒,10126,达到对应条件获得,9,232020000,-1,0,,,,
40,184353001,40,成就,10094,达到对应条件获得,9,320000000,-1,0,,,,
41,184353001,41,挖宝掘金,40017,进入藏宝秘地副本获得,9,930000000,10018,4,全天开放,,,每次预计获得：
42,184353001,42,跨服赛,40019,跨服战排行榜获得,9,930000000,10020,2,活动时间：,周三到周日的20点开启,进行中,每日预计获得：
43,184353001,43,盗宝小妖,40012,击杀活动怪物获得,9,930000000,10013,2,活动时间：,每日12点30分开启,进行中,每日预计获得：
44,184353001,44,万魔洞府,40001,击杀BOSS获得,8,241011000,-1,2,活动时间：,活动BOSS每日12、14、16、18、20、22点出现,进行中,每日预计获得：
45,184353001,45,VIPBOSS,10120,击杀BOSS获得,8,300000000,-1,1,剩余次数:,%d次,,每日预计获得：
46,184353001,46,异界虚空,10137,击杀BOSS获得,8,331000000,-1,4,全天开放,,,每日预计获得：
47,184353001,47,轮回塔,40042,通关轮回塔、开启轮回礼盒获得,8,248000000,-1,4,全天开放,,,每日预计获得：
48,184353001,48,巅峰竞技,10131,排名奖励获得,7,930000000,10024,2,活动时间：,每日21点30分开启,进行中,每日预计获得：
49,184353001,49,荒古神域,40018,神域宝箱几率开出,7,930000000,10019,2,活动时间：,每日13点、22点开启,进行中,每日预计获得：
50,184353001,50,仙盟BOSS,10121,仙盟BOSS宝盒开出,7,930000000,10022,2,活动时间：,每日20点开启,进行中,每次预计获得：
51,184353001,51,极速挑战,10138,排名奖励获得,7,930000000,10025,2,活动时间：,周六、周日全天开启,进行中,每次预计获得：
52,184353001,52,仙盟商店,10079,消耗8000仙盟贡献兑换,6,161011000,-1,0,,,,
53,184353001,53,荣誉商店,10041,消耗1600荣誉兑换,6,116013000,-1,0,,,,
54,184353001,54,功勋商店,10041,消耗8000功勋兑换,6,116010000,-1,0,,,,
55,184353001,55,除暴安良,40016,击杀副本怪物获得,5,930000000,10017,2,活动时间：,每日11点、16点30分开启,进行中,每次预计获得：
56,184353001,56,环式任务,40026,转盘抽奖获得,5,250000000,-1,1,剩余次数:,%d次,,每次预计获得：
57,184353001,57,七天惊喜,40032,累计登录达到对应天数获得,4,540000000,-1,0,,,,
58,191403001,58,东林宗,40025,击杀副本怪物获得,10,243010130,-1,1,剩余次数:,%d次,,每次预计获得：
59,191403001,59,无间入侵,40003,开启无间秘匣获得,8,930000000,10003,2,活动时间：,每日15点30分开启,进行中,每日预计获得：
60,191403001,60,仙盟商店,10079,消耗90仙盟贡献兑换,7,161011000,-1,0,,,,
61,191403001,61,商城(绑元),40045,消耗90绑元购买,6,206000000,-1,0,,,,
62,191403001,62,女娲神石,40011,采集宝箱获得,5,930000000,10012,2,活动时间：,每日12点开启,进行中,每日预计获得：
63,163264001,63,寂灭之域,40025,击杀副本怪物获得,10,243010120,-1,1,剩余次数:,%d次,,每次预计获得：
64,163264001,64,除暴安良,40016,进入除暴副本获得,6,930000000,10017,2,活动时间：,每日11点、16点30分开启,进行中,每次预计获得：
65,183364003,65,极速挑战,10138,击杀副本怪物获得,4,930000000,10025,2,活动时间：,周六、周日全天开启,进行中,每次预计获得：
66,183364003,66,妖魔冰谷,40025,击杀副本怪物获得,10,243050000,-1,1,剩余次数:,%d次,,每次预计获得：
67,183364003,67,仙盟boss,10121,排名奖励获得,7,930000000,10022,2,活动时间：,每日20点开启,进行中,每次预计获得：
68,183371010,68,四象灵域,40025,击杀副本怪物获得,8,243040000,-1,1,剩余次数:,%d次,,每次预计获得：
69,183371010,69,地宝阁,40029,地宝阁抽取有几率获得,9,500000000,-1,0,,,,
70,183371008,70,四象灵域,40025,击杀副本怪物获得,8,243040000,-1,1,剩余次数:,%d次,,每次预计获得：
71,183371008,71,地宝阁,40029,地宝阁抽取有几率获得,9,500000000,-1,0,,,,
72,183371011,72,神怒之地,40001,击杀BOSS获得,5,241016000,-1,4,全天开放,,,每日预计获得：
73,183371011,73,狱山荒泽,40001,击杀BOSS获得,9,241014000,-1,4,全天开放,,,每日预计获得：
74,164254002,74,女娲神石,40011,采集宝箱获得,4,930000000,10012,2,活动时间：,每日12点开启,进行中,每日预计获得：
