id,kind,rank,icon,systemid,name
1,22,22,40063,231000000,道铠升阶
2,15,15,10042,121000000,装备强化
3,25,25,10042,122000000,装备升阶精炼
4,16,16,10042,124000000,装备洗炼
5,17,17,10042,125000000,宝石镶嵌
6,7,7,10057,131010100,坐骑升级
7,8,8,10057,131010200,坐骑装备
8,9,9,10054,131020200,伙伴培养
9,26,26,10054,131020300,伙伴灵修
10,28,28,10054,131020400,伙伴融魂
11,10,10,10059,131030000,羽翼进化
12,11,11,10118,131060000,足迹升级
13,12,12,10056,131050100,玄兵淬炼
14,13,13,10056,131050200,玄兵注灵
15,14,14,10117,131070000,仙器升级
16,29,29,10045,102020000,神通
17,1,1,10045,102010000,技能升级
18,5,5,10045,108000000,神兵培养
19,6,6,10045,109000000,领域培养
20,4,4,10045,107000000,法宝培养
21,2,2,10045,103000000,境界突破
22,18,18,10129,291000000,套装打造
23,19,19,10129,292000000,套装淬炼
24,20,20,10129,293000000,套装唤灵
25,21,21,10132,310000000,符文镶嵌
