id,rank,number,levelmin,levelmax,vipmin,vipmax
1,1,40,0,1045,0,1
2,1,50,0,1045,2,4
3,1,60,0,1045,5,7
4,1,70,0,1045,8,11
5,1,80,0,1045,12,15
6,1,60,1046,2050,0,1
7,1,70,1046,2050,2,4
8,1,80,1046,2050,5,7
9,1,90,1046,2050,8,11
10,1,100,1046,2050,12,15
11,1,80,2051,3055,0,1
12,1,90,2051,3055,2,4
13,1,100,2051,3055,5,7
14,1,110,2051,3055,8,11
15,1,120,2051,3055,12,15
16,1,100,3056,4055,0,1
17,1,110,3056,4055,2,4
18,1,120,3056,4055,5,7
19,1,130,3056,4055,8,11
20,1,140,3056,4055,12,15
21,1,120,4056,5060,0,5
22,1,135,4056,5060,6,9
23,1,150,4056,5060,10,15
24,1,128,5061,5065,0,5
25,1,144,5061,5065,6,9
26,1,160,5061,5065,10,15
27,1,136,5066,5070,0,5
28,1,153,5066,5070,6,9
29,1,170,5066,5070,10,15
30,1,144,6065,6070,0,5
31,1,162,6065,6070,6,9
32,1,180,6065,6070,10,15
33,1,152,6071,6075,0,5
34,1,171,6071,6075,6,9
35,1,190,6071,6075,10,15
36,1,156,7070,7075,0,5
37,1,176,7070,7075,6,9
38,1,195,7070,7075,10,15
39,1,160,7076,7080,0,5
40,1,180,7076,7080,6,9
41,1,200,7076,7080,10,15
42,1,164,8075,8080,0,5
43,1,185,8075,8080,6,9
44,1,205,8075,8080,10,15
45,1,168,8081,8085,0,5
46,1,189,8081,8085,6,9
47,1,210,8081,8085,10,15
48,1,172,9080,9085,0,5
49,1,194,9080,9085,6,9
50,1,215,9080,9085,10,15
51,1,176,9086,9090,0,5
52,1,198,9086,9090,6,9
53,1,220,9086,9090,10,15
54,1,180,10085,10090,0,5
55,1,203,10085,10090,6,9
56,1,225,10085,10090,10,15
57,1,184,10091,10095,0,5
58,1,207,10091,10095,6,9
59,1,230,10091,10095,10,15
60,1,188,11090,11095,0,5
61,1,212,11090,11095,6,9
62,1,235,11090,11095,10,15
63,1,192,11096,110100,0,5
64,1,216,11096,110100,6,9
65,1,240,11096,110100,10,15
66,2,0,0,1045,0,1
67,2,0,0,1045,2,4
68,2,0,0,1045,5,7
69,2,0,0,1045,8,11
70,2,0,0,1045,12,15
71,2,12,1046,2050,0,1
72,2,12,1046,2050,2,4
73,2,12,1046,2050,5,7
74,2,12,1046,2050,8,11
75,2,12,1046,2050,12,15
76,2,14,2051,3055,0,1
77,2,14,2051,3055,2,4
78,2,14,2051,3055,5,7
79,2,14,2051,3055,8,11
80,2,14,2051,3055,12,15
81,2,16,3056,4055,0,1
82,2,16,3056,4055,2,4
83,2,16,3056,4055,5,7
84,2,16,3056,4055,8,11
85,2,21,3056,4055,12,15
86,2,19,4056,5060,0,5
87,2,19,4056,5060,6,9
88,2,32,4056,5060,10,15
89,2,21,5061,5065,0,5
90,2,21,5061,5065,6,9
91,2,49,5061,5065,10,15
92,2,23,5066,5070,0,5
93,2,23,5066,5070,6,9
94,2,43,5066,5070,10,15
95,2,24,6065,6070,0,5
96,2,24,6065,6070,6,9
97,2,54,6065,6070,10,15
98,2,26,6071,6075,0,5
99,2,32,6071,6075,6,9
100,2,65,6071,6075,10,15
101,2,28,7070,7075,0,5
102,2,38,7070,7075,6,9
103,2,71,7070,7075,10,15
104,2,31,7076,7080,0,5
105,2,43,7076,7080,6,9
106,2,76,7076,7080,10,15
107,2,34,8075,8080,0,5
108,2,49,8075,8080,6,9
109,2,82,8075,8080,10,15
110,2,36,8081,8085,0,5
111,2,54,8081,8085,6,9
112,2,87,8081,8085,10,15
113,2,38,9080,9085,0,5
114,2,60,9080,9085,6,9
115,2,93,9080,9085,10,15
116,2,41,9086,9090,0,5
117,2,65,9086,9090,6,9
118,2,98,9086,9090,10,15
119,2,43,10085,10090,0,5
120,2,71,10085,10090,6,9
121,2,104,10085,10090,10,15
122,2,47,10091,10095,0,5
123,2,76,10091,10095,6,9
124,2,109,10091,10095,10,15
125,2,50,11090,11095,0,5
126,2,82,11090,11095,6,9
127,2,115,11090,11095,10,15
128,2,54,11096,110100,0,5
129,2,87,11096,110100,6,9
130,2,120,11096,110100,10,15
131,4,0,0,1045,0,1
132,4,0,0,1045,2,4
133,4,0,0,1045,5,7
134,4,0,0,1045,8,11
135,4,0,0,1045,12,15
136,4,0,1046,2050,0,1
137,4,0,1046,2050,2,4
138,4,0,1046,2050,5,7
139,4,0,1046,2050,8,11
140,4,0,1046,2050,12,15
141,4,0,2051,3055,0,1
142,4,0,2051,3055,2,4
143,4,0,2051,3055,5,7
144,4,0,2051,3055,8,11
145,4,0,2051,3055,12,15
146,4,10,3056,4055,0,1
