level,exp,gold,binddiamond
30,1000000,50000,500
31,1000000,50000,500
32,1000000,50000,500
33,1000000,50000,500
34,1000000,50000,500
35,1000000,50000,500
36,1000000,50000,500
37,1000000,50000,500
38,1000000,50000,500
39,1000000,50000,500
40,1000000,50000,500
41,1000000,50000,500
42,1000000,50000,500
43,1000000,50000,500
44,1000000,50000,500
45,1000000,50000,500
1040,1000000,50000,500
1041,1000000,50000,500
1042,1000000,50000,500
1043,1000000,50000,500
1044,1000000,50000,500
1045,1000000,50000,500
1046,1000000,50000,500
1047,1000000,50000,500
1048,1000000,50000,500
1049,1000000,50000,500
1050,1000000,50000,500
2045,1000000,50000,500
2046,1000000,50000,500
2047,1000000,50000,500
2048,1000000,50000,500
2049,1000000,50000,500
2050,1000000,50000,500
2051,1000000,50000,500
2052,1000000,50000,500
2053,1000000,50000,500
2054,1000000,50000,500
2055,1000000,50000,500
3050,1000000,50000,500
3051,1000000,50000,500
3052,1000000,50000,500
3053,1000000,50000,500
3054,1000000,50000,500
3055,1000000,50000,500
3056,1000000,50000,500
3057,1000000,50000,500
3058,1000000,50000,500
3059,1000000,50000,500
3060,1000000,50000,500
4055,1000000,50000,500
4056,1000000,50000,500
4057,1000000,50000,500
4058,1000000,50000,500
4059,1000000,50000,500
4060,1000000,50000,500
4061,1000000,50000,500
4062,1000000,50000,500
4063,1000000,50000,500
4064,1000000,50000,500
4065,1000000,50000,500
5060,1000000,50000,500
5061,1000000,50000,500
5062,1000000,50000,500
5063,1000000,50000,500
5064,1000000,50000,500
5065,1000000,50000,500
5066,1000000,50000,500
5067,1000000,50000,500
5068,1000000,50000,500
5069,1000000,50000,500
5070,1000000,50000,500
6065,1000000,50000,500
6066,1000000,50000,500
6067,1000000,50000,500
6068,1000000,50000,500
6069,1000000,50000,500
6070,1000000,50000,500
6071,1000000,50000,500
6072,1000000,50000,500
6073,1000000,50000,500
6074,1000000,50000,500
6075,1000000,50000,500
7070,1000000,50000,500
7071,1000000,50000,500
7072,1000000,50000,500
7073,1000000,50000,500
7074,1000000,50000,500
7075,1000000,50000,500
7076,1000000,50000,500
7077,1000000,50000,500
7078,1000000,50000,500
7079,1000000,50000,500
7080,1000000,50000,500
8075,1000000,50000,500
8076,1000000,50000,500
8077,1000000,50000,500
8078,1000000,50000,500
8079,1000000,50000,500
8080,1000000,50000,500
8081,1000000,50000,500
8082,1000000,50000,500
8083,1000000,50000,500
8084,1000000,50000,500
8085,1000000,50000,500
9080,1000000,50000,500
9081,1000000,50000,500
9082,1000000,50000,500
9083,1000000,50000,500
9084,1000000,50000,500
9085,1000000,50000,500
9086,1000000,50000,500
9087,1000000,50000,500
9088,1000000,50000,500
9089,1000000,50000,500
9090,1000000,50000,500
10085,1000000,50000,500
10086,1000000,50000,500
10087,1000000,50000,500
10088,1000000,50000,500
10089,1000000,50000,500
10090,1000000,50000,500
10091,1000000,50000,500
10092,1000000,50000,500
10093,1000000,50000,500
10094,1000000,50000,500
10095,1000000,50000,500
11090,1000000,50000,500
11091,1000000,50000,500
11092,1000000,50000,500
11093,1000000,50000,500
11094,1000000,50000,500
11095,1000000,50000,500
11096,1000000,50000,500
11097,1000000,50000,500
11098,1000000,50000,500
11099,1000000,50000,500
11100,1000000,50000,500
