id,strategy,showlevel,rank,title,icon,path
1,1,25,1,战力提升-强化,10042,zhanli_qianghua.txt
2,1,31,2,战力提升-升阶,10042,zhanli_shengjie.txt
3,1,31,3,战力提升-精炼,10042,zhanli_jinglian.txt
4,1,1049,4,战力提升-洗炼,10042,zhanli_xilian.txt
5,1,1048,5,战力提升-镶嵌,10042,zhanli_xiangqian.txt
6,1,2053,6,战力提升-领域,10045,zhanli_lingyu.txt
7,1,10,7,战力提升-伙伴,10045,zhanli_huoban.txt
8,1,1047,8,战力提升-玄兵,10056,zhanli_xuanbing.txt
9,1,1,9,战力提升-羽翼,10059,zhanli_yuyi.txt
10,1,2051,10,战力提升-符文,10132,zhanli_fuwen.txt
11,1,2048,11,战力提升-套装,10129,zhanli_taozhuang.txt
12,1,25,12,战力提升-道兵,40063,zhanli_daobing.txt
13,1,40,13,战力提升-神兵,10045,zhanli_shenbing.txt
14,1,2046,14,战力提升-突破,10045,zhanli_tupo.txt
15,1,5,15,战力提升-技能神通,10045,zhanli_jineng.txt
16,2,1,1,快速升级-增益道具,10069,shengji_daoju.txt
17,2,30,2,快速升级-除暴安良,40016,shengji_chubao.txt
18,2,45,3,快速升级-挖宝平乱,40017,shengji_pingluan.txt
19,2,30,4,快速升级-女娲神石,40011,shengji_shenshi.txt
20,2,32,5,快速升级-仙府香炉,40005,shengji_xianglu.txt
21,2,30,6,快速升级-挂机杀怪,40001,shengji_shaguai.txt
22,2,25,7,快速升级-副本挑战,40025,shengji_fuben.txt
23,3,30,1,财富积累-活动玩法,40026,caifu_wanfa.txt
24,3,1,2,财富积累-每日福利,40020,caifu_fuli.txt
25,3,1,3,财富积累-成长奖励,40020,caifu_jiangli.txt
26,4,32,1,组队社交-仙盟,10051,shejiao_xianmeng.txt
27,4,1044,2,组队社交-结义,10043,shejiao_jieyi.txt
28,4,1049,3,组队社交-道侣,10043,shejiao_daolv.txt
29,4,30,4,组队社交-PK,40027,shejiao_PK.txt
30,4,25,5,组队社交-组队副本,40025,shejiao_zudui.txt
31,4,30,6,组队社交-跨服据点战,40062,shejiao_judianzhan.txt
