id,goodstype,objectid,number,composed_objectid,box
1,1,182353002,4,182353001,4
2,1,195401001,4,194401002,4
3,1,194401002,4,193401003,4
4,1,193401003,4,192401004,4
5,1,195402001,3,194402002,3
6,1,194402002,3,193402003,3
7,1,193402003,3,192402004,3
8,1,193403001,3,192403002,3
9,1,194404005,3,194404004,3
10,1,194404004,3,193404003,3
11,1,193404003,3,193404002,3
12,1,193404002,2,192404001,2
13,2,196405001,4,196405002,4
14,2,196405002,4,195405003,4
15,2,195405003,4,195405004,4
16,2,195405004,4,194405005,4
17,2,194405005,4,194405006,4
18,2,194405006,4,193405007,4
19,2,193405007,4,193405008,4
20,2,193405008,4,192405009,4
21,2,196406001,4,196406002,4
22,2,196406002,4,195406003,4
23,2,195406003,4,195406004,4
24,2,195406004,4,194406005,4
25,2,194406005,4,194406006,4
26,2,194406006,4,193406007,4
27,2,193406007,4,193406008,4
28,2,193406008,4,192406009,4
29,2,196407001,4,196407002,4
30,2,196407002,4,195407003,4
31,2,195407003,4,195407004,4
32,2,195407004,4,194407005,4
33,2,194407005,4,194407006,4
34,2,194407006,4,193407007,4
35,2,193407007,4,193407008,4
36,2,193407008,4,192407009,4
37,2,196408001,4,196408002,4
38,2,196408002,4,195408003,4
39,2,195408003,4,195408004,4
40,2,195408004,4,194408005,4
41,2,194408005,4,194408006,4
42,2,194408006,4,193408007,4
43,2,193408007,4,193408008,4
44,2,193408008,4,192408009,4
45,2,196409001,4,196409002,4
46,2,196409002,4,195409003,4
47,2,195409003,4,195409004,4
48,2,195409004,4,194409005,4
49,2,194409005,4,194409006,4
50,2,194409006,4,193409007,4
51,2,193409007,4,193409008,4
52,2,193409008,4,192409009,4
53,2,196410001,4,196410002,4
54,2,196410002,4,195410003,4
55,2,195410003,4,195410004,4
56,2,195410004,4,194410005,4
57,2,194410005,4,194410006,4
58,2,194410006,4,193410007,4
59,2,193410007,4,193410008,4
60,2,193410008,4,192410009,4
61,2,196411001,4,196411002,4
62,2,196411002,4,195411003,4
63,2,195411003,4,195411004,4
64,2,195411004,4,194411005,4
65,2,194411005,4,194411006,4
66,2,194411006,4,193411007,4
67,2,193411007,4,193411008,4
68,2,193411008,4,192411009,4
69,3,194413023,100,204299004,4
70,4,183370005,100,182370004,4
