id,star,level,objectid,number,bind
1,1,1,183372001,1,1
2,1,2,183372001,1,1
3,1,3,183372001,1,1
4,1,4,183372001,3,1
5,1,5,183372001,5,1
6,1,6,183372001,7,1
7,1,7,183372001,9,1
8,1,8,183372001,12,1
9,1,9,183372001,16,1
10,1,10,183372001,20,1
11,1,11,183372001,25,1
12,1,12,183372001,30,1
13,1,13,183372001,35,1
14,1,14,183372001,40,1
15,1,15,183372001,45,1
16,1,16,183372001,50,1
17,1,17,183372001,60,1
18,1,18,183372001,70,1
19,1,19,183372001,80,1
20,1,20,183372001,100,1
21,2,1,183372001,1,1
22,2,2,183372001,1,1
23,2,3,183372001,1,1
24,2,4,183372001,3,1
25,2,5,183372001,5,1
26,2,6,183372001,7,1
27,2,7,183372001,9,1
28,2,8,183372001,12,1
29,2,9,183372001,16,1
30,2,10,183372001,20,1
31,2,11,183372001,25,1
32,2,12,183372001,30,1
33,2,13,183372001,35,1
34,2,14,183372001,40,1
35,2,15,183372001,45,1
36,2,16,183372001,50,1
37,2,17,183372001,60,1
38,2,18,183372001,70,1
39,2,19,183372001,80,1
40,2,20,183372001,100,1
41,3,1,182372002,1,1
42,3,2,182372002,1,1
43,3,3,182372002,1,1
44,3,4,182372002,3,1
45,3,5,182372002,5,1
46,3,6,182372002,7,1
47,3,7,182372002,9,1
48,3,8,182372002,12,1
49,3,9,182372002,16,1
50,3,10,182372002,20,1
51,3,11,182372002,25,1
52,3,12,182372002,30,1
53,3,13,182372002,35,1
54,3,14,182372002,40,1
55,3,15,182372002,45,1
56,3,16,182372002,50,1
57,3,17,182372002,60,1
58,3,18,182372002,70,1
59,3,19,182372002,80,1
60,3,20,182372002,100,1
61,4,1,182372002,1,1
62,4,2,182372002,1,1
63,4,3,182372002,1,1
64,4,4,182372002,3,1
65,4,5,182372002,5,1
66,4,6,182372002,7,1
67,4,7,182372002,9,1
68,4,8,182372002,12,1
69,4,9,182372002,16,1
70,4,10,182372002,20,1
71,4,11,182372002,25,1
72,4,12,182372002,30,1
73,4,13,182372002,35,1
74,4,14,182372002,40,1
75,4,15,182372002,45,1
76,4,16,182372002,50,1
77,4,17,182372002,60,1
78,4,18,182372002,70,1
79,4,19,182372002,80,1
80,4,20,182372002,100,1
81,5,1,181372003,1,1
82,5,2,181372003,1,1
83,5,3,181372003,1,1
84,5,4,181372003,3,1
85,5,5,181372003,5,1
86,5,6,181372003,7,1
87,5,7,181372003,9,1
88,5,8,181372003,12,1
89,5,9,181372003,16,1
90,5,10,181372003,20,1
91,5,11,181372003,25,1
92,5,12,181372003,30,1
93,5,13,181372003,35,1
94,5,14,181372003,40,1
95,5,15,181372003,45,1
96,5,16,181372003,50,1
97,5,17,181372003,60,1
98,5,18,181372003,70,1
99,5,19,181372003,80,1
100,5,20,181372003,100,1
