id,strength_level,objectid,number,locked_state
1,1,195401001,0,1
2,2,195401001,0,1
3,3,195401001,1,1
4,4,195401001,3,1
5,5,195401001,6,1
6,6,195401001,10,1
7,7,195401001,17,1
8,8,195401001,25,1
9,9,194401002,9,1
10,10,194401002,12,1
11,11,194401002,16,1
12,12,194401002,23,1
13,13,194401002,31,1
14,14,194401002,41,1
15,15,194401002,54,1
16,16,194401002,69,1
17,17,193401003,22,1
18,18,193401003,29,1
19,19,193401003,38,1
20,20,193401003,50,1
21,21,193401003,67,1
22,22,193401003,91,1
23,23,193401003,121,1
24,24,193401003,157,1
25,25,192401004,49,1
26,26,192401004,61,1
27,27,192401004,73,1
28,28,192401004,86,1
29,29,192401004,101,1
30,30,192401004,118,1
31,31,192401004,136,1
32,32,192401004,156,1
