id,rank,time,exp_id,exp_number
1,61,600,215500001,30000
2,62,1200,215500001,60000
3,63,1800,215500001,90000
4,64,2400,215500001,120000
5,65,3000,215500001,150000
6,66,3600,215500001,180000
7,67,4200,215500001,210000
8,68,4800,215500001,240000
9,69,5400,215500001,270000
10,70,6000,215500001,300000
11,71,6600,215500001,330000
12,72,7200,215500001,360000
13,73,7800,215500001,390000
14,74,8400,215500001,420000
15,75,9000,215500001,450000
16,76,9600,215500001,480000
17,77,10200,215500001,510000
18,78,10800,215500001,540000
19,79,11400,215500001,570000
20,80,12000,215500001,600000
21,81,12600,215500001,630000
22,82,13200,215500001,660000
23,83,13800,215500001,690000
24,84,14400,215500001,720000
25,85,15000,215500001,750000
26,86,15600,215500001,780000
27,87,16200,215500001,810000
28,88,16800,215500001,840000
29,89,17400,215500001,870000
30,90,18000,215500001,900000
31,91,18600,215500001,930000
32,92,19200,215500001,960000
33,93,19800,215500001,990000
34,94,20400,215500001,1020000
35,95,21000,215500001,1050000
36,96,21600,215500001,1080000
37,97,22200,215500001,1110000
38,98,22800,215500001,1140000
39,99,23400,215500001,1170000
40,100,24000,215500001,1200000
41,101,24600,215500001,1230000
42,102,25200,215500001,1260000
43,103,25800,215500001,1290000
44,104,26400,215500001,1320000
45,105,27000,215500001,1350000
46,106,27600,215500001,1380000
47,107,28200,215500001,1410000
48,108,28800,215500001,1440000
49,109,29400,215500001,1470000
50,110,30000,215500001,1500000
51,111,30600,215500001,1530000
52,112,31200,215500001,1560000
53,113,31800,215500001,1590000
54,114,32400,215500001,1620000
55,115,33000,215500001,1650000
56,116,33600,215500001,1680000
57,117,34200,215500001,1710000
58,118,34800,215500001,1740000
59,119,35400,215500001,1770000
60,120,36000,215500001,1800000
