id,round,win,lose,end,win_wuxing,lose_wuxing,end_wuxing
1,1,0,0,0,0,0,0
2,2,20000,0,30000,2000,0,3000
3,3,30000,0,45000,3000,0,4500
4,4,40000,0,60000,4000,0,6000
5,5,50000,0,75000,5000,0,7500
6,6,60000,0,90000,6000,0,9000
7,7,70000,0,105000,7000,0,10500
8,8,80000,0,120000,8000,0,12000
9,9,90000,0,135000,9000,0,13500
10,10,100000,0,150000,10000,0,15000
11,11,110000,0,165000,11000,0,16500
12,12,120000,0,180000,12000,0,18000
13,13,130000,0,195000,13000,0,19500
14,14,140000,0,210000,14000,0,21000
15,15,150000,0,225000,15000,0,22500
16,16,160000,0,240000,16000,0,24000
17,17,170000,0,255000,17000,0,25500
18,18,180000,0,270000,18000,0,27000
19,19,190000,0,285000,19000,0,28500
20,20,200000,0,300000,20000,0,30000
21,21,210000,0,315000,21000,0,31500
22,22,220000,0,330000,22000,0,33000
23,23,230000,0,345000,23000,0,34500
24,24,240000,0,360000,24000,0,36000
25,25,250000,0,375000,25000,0,37500
26,26,260000,0,390000,26000,0,39000
27,27,270000,0,405000,27000,0,40500
28,28,280000,0,420000,28000,0,42000
29,29,290000,0,435000,29000,0,43500
30,30,300000,0,450000,30000,0,45000
31,31,310000,0,465000,31000,0,46500
32,32,320000,0,480000,32000,0,48000
33,33,330000,0,495000,33000,0,49500
34,34,340000,0,510000,34000,0,51000
35,35,350000,0,525000,35000,0,52500
36,36,360000,0,540000,36000,0,54000
37,37,370000,0,555000,37000,0,55500
38,38,380000,0,570000,38000,0,57000
39,39,390000,0,585000,39000,0,58500
40,40,400000,0,600000,40000,0,60000
41,41,410000,0,615000,41000,0,61500
42,42,420000,0,630000,42000,0,63000
43,43,430000,0,645000,43000,0,64500
44,44,440000,0,660000,44000,0,66000
45,45,450000,0,675000,45000,0,67500
46,46,460000,0,690000,46000,0,69000
47,47,470000,0,705000,47000,0,70500
48,48,480000,0,720000,48000,0,72000
49,49,490000,0,735000,49000,0,73500
50,50,500000,0,750000,50000,0,75000
