id,monster_id,monster_level,monster_type,value,copy_name,copy_id,level,name
1,503001,50,1,43200,万魔洞府,80201,-1,金熊妖王
2,503002,50,1,50400,万魔洞府,80201,-1,战铠赤蜥
3,503003,50,1,57600,万魔洞府,80201,-1,天罗魔君
4,503004,50,1,64800,万魔洞府,80201,-1,九头虫魔
5,503005,50,1,72000,万魔洞府,80201,-1,魔械神机
6,503006,50,1,79200,万魔洞府,80201,-1,黑袍神王
7,202101,30,2,1800,安澶城,10102,-1,相柳方
8,204101,45,2,1800,方寸山,10104,-1,金毛罴妖王
9,205101,55,2,1800,无间战场,10105,-1,道祖傀儡
10,504001,40,3,60,世界牢狱,80301,40,封天兽王
11,504002,45,3,900,世界牢狱,80302,45,异星妖龙
12,504003,50,3,1800,世界牢狱,80303,1050,金乌神将
13,504004,55,3,2700,世界牢狱,80304,2055,虚空战魁
14,504005,60,3,3600,世界牢狱,80305,3060,灵蛇巨妖
15,504006,65,3,5400,世界牢狱,80306,4065,火狱魔王
16,504007,70,3,7200,世界牢狱,80307,5070,异域魔神
17,206002,30,4,1800,狱山荒泽一层,80101,-1,金毛罴妖王
18,206004,35,4,1800,狱山荒泽一层,80101,-1,朱厌妖王
19,206006,40,4,1800,狱山荒泽一层,80101,-1,巨翼蛇王
20,206008,45,4,1800,狱山荒泽一层,80101,-1,火焰神魔
21,206010,50,4,1800,狱山荒泽一层,80101,-1,龙鲸大妖
22,206012,55,4,1800,狱山荒泽二层,80102,-1,妖魔相柳
23,206014,60,4,1800,狱山荒泽二层,80102,-1,天狱魔傀
24,206016,65,4,1800,狱山荒泽二层,80102,-1,煌罗蛛女
25,206018,70,4,1800,狱山荒泽二层,80102,-1,神铁血蛛
26,206020,75,4,1800,狱山荒泽二层,80102,-1,罗睺
27,206022,80,4,1800,狱山荒泽二层,80102,-1,无间神王
28,207001,30,5,1800,狱山大荒泽,80103,-1,真·金毛罴妖王
29,207002,35,5,1800,狱山大荒泽,80103,-1,真·妖魔相柳
30,207003,40,5,1800,狱山大荒泽,80103,-1,真·天狱魔傀
31,207004,45,5,1800,狱山大荒泽,80103,-1,真·煌罗蛛女
32,207005,50,5,1800,狱山大荒泽,80103,-1,真·神铁血蛛
33,207006,55,5,1800,狱山大荒泽,80103,-1,真·罗睺
34,207007,60,5,1800,狱山大荒泽,80103,-1,真·无间神王
35,209002,50,6,3600,神怒之地,80439,-1,愤怒妖蛇
36,209004,60,6,5400,神怒之地,80439,-1,愤怒角魔
37,209006,70,6,7200,神怒之地,80439,-1,愤怒神鹰
38,209008,80,6,10800,神怒之地,80439,-1,愤怒邪蛛
39,209010,90,6,14400,神怒之地,80439,-1,愤怒炎鬼
40,209012,100,6,18000,神怒之地,80439,-1,愤怒神王
41,219402,50,7,28800,异界虚空一层,80441,-1,白首狂猿
42,219404,55,7,28800,异界虚空一层,80441,-1,豪腕战熊
43,219406,60,7,28800,异界虚空一层,80441,-1,金羽神鹰
44,219408,65,7,28800,异界虚空一层,80441,-1,啸天兽王
45,219410,70,7,28800,异界虚空一层,80441,-1,怒发炎魔
46,219412,75,7,28800,异界虚空一层,80441,-1,异界邪灵
47,219414,80,7,28800,异界虚空二层,80442,-1,虚空影魔
48,219416,85,7,28800,异界虚空二层,80442,-1,钢铠龙士
49,219418,90,7,28800,异界虚空二层,80442,-1,腐域冥蛇
50,219420,95,7,28800,异界虚空二层,80442,-1,古海灵将
51,219422,100,7,28800,异界虚空二层,80442,-1,苍茫斗神
52,229402,50,7,28800,异界虚空三层,80443,-1,炎河巨蟒
53,229404,60,7,28800,异界虚空三层,80443,-1,九首地龙
54,229406,70,7,28800,异界虚空三层,80443,-1,血刃灵蛛
55,229408,80,7,28800,异界虚空三层,80443,-1,傀儡神机
56,229410,90,7,28800,异界虚空三层,80443,-1,虚空母神
57,229412,100,7,28800,异界虚空三层,80443,-1,异界之主
