id,monsterid,basehp,plustimes,minustimes,pluspercent,minuspercent,nowhp,killusetimes
1,206002,260000,60,120,500,1000,260000,0
2,206004,610000,60,120,500,1000,610000,0
3,206006,1100000,120,180,500,1000,1100000,0
4,206008,2500000,120,180,500,1000,2500000,0
5,206010,4100000,180,240,500,1000,4100000,0
6,206012,6000000,180,240,1000,1500,6000000,0
7,206014,8400000,240,300,1000,1500,8400000,0
8,206016,11800000,240,300,1000,1500,11800000,0
9,206018,16000000,300,360,1000,1500,16000000,0
10,206020,20000000,300,360,1000,1500,20000000,0
11,206022,25000000,360,420,1000,1500,25000000,0
12,206201,100000,10,15,1000,1000,100000,0
13,206203,250000,10,15,1000,1000,250000,0
14,206205,450000,10,15,1000,1000,450000,0
15,206207,1000000,10,15,1000,1000,1000000,0
16,206209,1600000,10,15,1000,1000,1600000,0
17,206211,2400000,10,15,1000,1000,2400000,0
18,206213,3400000,10,15,1000,1000,3400000,0
19,206215,4700000,10,15,1000,1000,4700000,0
20,206217,6400000,10,15,1000,1000,6400000,0
21,206219,8000000,10,15,1000,1000,8000000,0
22,206221,10000000,10,15,1000,1000,10000000,0
23,207001,380000,60,120,500,1000,380000,0
24,207002,810000,60,120,500,1000,810000,0
25,207003,1400000,120,180,500,1000,1400000,0
26,207004,2900000,120,180,500,1000,2900000,0
27,207005,4800000,180,240,1000,1500,4800000,0
28,207006,7300000,180,240,1000,1500,7300000,0
29,207007,10300000,240,300,1000,1500,10300000,0
30,208012,30000000,300,360,1000,1500,30000000,0
37,209002,4100000,180,300,500,1000,4100000,0
38,209004,8400000,180,300,500,1000,8400000,0
39,209006,16000000,180,300,500,1000,16000000,0
40,209008,25000000,180,300,500,1000,25000000,0
41,209010,35000000,180,300,500,1000,35000000,0
42,209012,50000000,180,300,500,1000,50000000,0
43,219413,1200000,15,25,1000,1500,1200000,0
44,219414,12000000,120,130,1000,1500,12000000,0
45,219415,1400000,15,25,1000,1500,1400000,0
46,219416,14000000,135,145,1000,1500,14000000,0
47,219417,1600000,15,25,1000,1500,1600000,0
48,219418,16000000,150,160,1000,1500,16000000,0
49,219419,1800000,15,25,1000,1500,1800000,0
50,219420,18000000,165,175,1000,1500,18000000,0
51,219421,2000000,15,25,1000,1500,2000000,0
52,219422,20000000,180,190,1000,1500,20000000,0
53,229401,500000,26,30,1000,1500,500000,0
54,229402,5000000,55,65,1000,1500,5000000,0
55,229403,700000,28,32,1000,1500,700000,0
56,229404,7000000,75,85,1000,1500,7000000,0
57,229405,900000,30,34,1000,1500,900000,0
58,229406,9000000,95,105,1000,1500,9000000,0
59,229407,1200000,32,36,1000,1500,1200000,0
60,229408,12000000,120,130,1000,1500,12000000,0
61,229409,1600000,34,38,1000,1500,1600000,0
62,229410,16000000,150,160,1000,1500,16000000,0
63,229411,2000000,36,40,1000,1500,2000000,0
64,229412,20000000,180,190,1000,1500,20000000,0
31,503001,35000000,300,1020,1000,1500,35000000,0
32,503002,35000000,300,1020,1000,1500,35000000,0
33,503003,35000000,300,1020,1000,1500,35000000,0
34,503004,35000000,300,1020,1000,1500,35000000,0
35,503005,35000000,300,1020,1000,1500,35000000,0
36,503006,35000000,300,1020,1000,1500,35000000,0
