id,monsterid,rank,objectid,bind,star
1,503001,1,224557005,2,0
2,503001,2,182353001,1,0
3,503001,3,163254001,2,0
4,503001,4,194402002,2,0
5,503001,5,194401002,2,0
6,503001,6,215514001,2,0
7,503002,1,224557005,2,0
8,503002,2,182353001,1,0
9,503002,3,163254001,2,0
10,503002,4,194402002,2,0
11,503002,5,194401002,2,0
12,503002,6,215514001,2,0
13,503003,1,224557005,2,0
14,503003,2,182353001,1,0
15,503003,3,163254001,2,0
16,503003,4,194402002,2,0
17,503003,5,194401002,2,0
18,503003,6,215514001,2,0
19,503004,1,224557005,2,0
20,503004,2,182353001,1,0
21,503004,3,163254001,2,0
22,503004,4,194402002,2,0
23,503004,5,194401002,2,0
24,503004,6,215514001,2,0
25,503005,1,224557005,2,0
26,503005,2,182353001,1,0
27,503005,3,163254001,2,0
28,503005,4,194402002,2,0
29,503005,5,194401002,2,0
30,503005,6,215514001,2,0
31,503006,1,224557005,2,0
32,503006,2,182353001,1,0
33,503006,3,163254001,2,0
34,503006,4,194402002,2,0
35,503006,5,194401002,2,0
36,503006,6,215514001,2,0
37,202101,1,143161130,2,0
38,202101,2,143161230,2,0
39,202101,3,143161330,2,0
40,202101,4,163254001,2,0
41,202101,5,195402001,2,0
42,202101,6,195401001,2,0
43,204101,1,143161140,2,0
44,204101,2,143161240,2,0
45,204101,3,143161340,2,0
46,204101,4,163254001,2,0
47,204101,5,195402001,2,0
48,204101,6,195401001,2,0
49,205101,1,143161150,2,0
50,205101,2,143161250,2,0
51,205101,3,143161350,2,0
52,205101,4,182353001,1,0
53,205101,5,163254001,2,0
54,205101,6,194402002,2,0
55,504001,1,143152130,2,0
56,504001,2,143161130,2,0
57,504001,3,143152140,2,0
58,504001,4,143161140,2,0
59,504001,5,215514001,2,0
60,504001,6,182353002,1,0
61,504002,1,143152130,2,0
62,504002,2,143161130,2,0
63,504002,3,143152140,2,0
64,504002,4,143161140,2,0
65,504002,5,215514001,2,0
66,504002,6,182353002,1,0
67,504003,1,143152140,2,0
68,504003,2,143161140,2,0
69,504003,3,143152150,2,0
70,504003,4,143161150,2,0
71,504003,5,215514001,2,0
72,504003,6,182353002,1,0
73,504004,1,143152140,2,0
74,504004,2,143161140,2,0
75,504004,3,143152150,2,0
76,504004,4,143161150,2,0
77,504004,5,215514001,2,0
78,504004,6,182353002,1,0
79,504005,1,143152140,2,0
80,504005,2,143161140,2,0
81,504005,3,143152150,2,0
82,504005,4,143161150,2,0
83,504005,5,215514001,2,0
84,504005,6,182353002,1,0
85,504006,1,143152150,2,0
86,504006,2,143161150,2,0
87,504006,3,143152160,2,0
88,504006,4,143161160,2,0
89,504006,5,215514001,2,0
90,504006,6,182353002,1,0
91,504007,1,143152150,2,0
92,504007,2,143161150,2,0
93,504007,3,143152160,2,0
94,504007,4,143161160,2,0
95,504007,5,215514001,2,0
96,504007,6,182353002,1,0
97,206002,1,143152130,2,0
98,206002,2,143152230,2,0
99,206002,3,143152330,2,0
100,206002,4,182353002,1,0
101,206002,5,183371002,1,0
102,206002,6,215514001,1,0
103,206004,1,143152130,2,0
104,206004,2,143152230,2,0
105,206004,3,143152330,2,0
106,206004,4,182353002,1,0
107,206004,5,183371002,1,0
108,206004,6,215514001,1,0
109,206006,1,143152140,2,0
110,206006,2,143152240,2,0
111,206006,3,143152340,2,0
112,206006,4,182353002,1,0
113,206006,5,183371002,1,0
114,206006,6,215514001,1,0
115,206008,1,143152140,2,0
116,206008,2,143152240,2,0
117,206008,3,143152340,2,0
118,206008,4,182353002,1,0
119,206008,5,183370006,1,0
120,206008,6,173306007,1,0
121,206010,1,141165040,2,4
122,206010,2,182372002,1,0
123,206010,3,183371002,1,0
124,206010,4,182353002,1,0
125,206010,5,183370006,1,0
126,206010,6,173306007,1,0
127,206012,1,141165060,2,3
128,206012,2,182372002,1,0
129,206012,3,183371002,1,0
130,206012,4,182353002,1,0
131,206012,5,183370006,1,0
132,206012,6,173306007,1,0
133,206014,1,141165060,2,3
134,206014,2,182372002,1,0
135,206014,3,183371002,1,0
136,206014,4,182353002,1,0
137,206014,5,183370006,1,0
138,206014,6,173306007,1,0
139,206016,1,141165060,2,3
140,206016,2,182372002,1,0
141,206016,3,183371002,1,0
142,206016,4,182353002,1,0
143,206016,5,183370006,1,0
144,206016,6,173306007,1,0
145,206018,1,141165060,2,3
