id,task_id,monster_id,describe,mixlevel,maxlevel
1,400000001,202001,击杀{0}/800{1}只北山强者,1,30
2,400000002,202003,击杀{0}/800{1}只学宫傀儡,1,30
3,400000003,202005,击杀{0}/800{1}只罪孽邪修,1,30
4,400000004,202006,击杀{0}/800{1}只穷奇傀儡,1,30
5,400000005,202007,击杀{0}/800{1}只少炎氏强者,1,30
6,400000006,202002,击杀{0}/800{1}只试炼弟子,30,40
7,400000007,202004,击杀{0}/800{1}只论道弟子,30,40
8,400000008,204001,击杀{0}/800{1}只三界宫傀儡,30,40
9,400000009,204002,击杀{0}/800{1}只火翼卫,30,40
10,400000010,204003,击杀{0}/800{1}只神仙宫傀儡,30,40
11,400000011,205001,击杀{0}/800{1}只白脸蛟,40,1050
12,400000012,205006,击杀{0}/800{1}只天神傀儡,40,1050
13,400000013,205005,击杀{0}/800{1}只血云傀儡,40,1050
14,400000014,205004,击杀{0}/800{1}只朱厌,40,1050
15,400000015,205003,击杀{0}/800{1}只无间强者,40,1050
