id,buffid,level,icon,propertytype_1,arg_1,propertytype_2,arg_2,describe,luaname,time,addstate,buffshow,isnotify,showplace,notice,forever,relivedelete,bossresist,bufftype,picture
1,600029,1,-1,-1,-1,-1,-1,每秒损失{0}血量（每秒对BOSS造成伤害上限为{1}），持续{2}秒,,0,0,,0,0,,0,1,0,0,-1
2,100001,1,-1,0,300,1,50,造成伤害时有几率提高暴击等级{0}并额外附加{1}点，持续5秒,,0,0,,0,0,触发玄兵阴阳生死轮技能,0,0,0,0,-1
3,100001,2,-1,0,600,1,100,造成伤害时有几率提高暴击等级{0}并额外附加{1}点，持续5秒,,0,0,,0,0,触发玄兵阴阳生死轮技能,0,0,0,0,-1
4,100001,3,-1,0,900,1,150,造成伤害时有几率提高暴击等级{0}并额外附加{1}点，持续5秒,,0,0,,0,0,触发玄兵阴阳生死轮技能,0,0,0,0,-1
5,100001,4,-1,0,1200,1,200,造成伤害时有几率提高暴击等级{0}并额外附加{1}点，持续5秒,,0,0,,0,0,触发玄兵阴阳生死轮技能,0,0,0,0,-1
6,100001,5,-1,0,1500,1,250,造成伤害时有几率提高暴击等级{0}并额外附加{1}点，持续5秒,,0,0,,0,0,触发玄兵阴阳生死轮技能,0,0,0,0,-1
7,100001,6,-1,0,1800,1,300,造成伤害时有几率提高暴击等级{0}并额外附加{1}点，持续5秒,,0,0,,0,0,触发玄兵阴阳生死轮技能,0,0,0,0,-1
8,100001,7,-1,0,2100,1,350,造成伤害时有几率提高暴击等级{0}并额外附加{1}点，持续5秒,,0,0,,0,0,触发玄兵阴阳生死轮技能,0,0,0,0,-1
9,100001,8,-1,0,2400,1,400,造成伤害时有几率提高暴击等级{0}并额外附加{1}点，持续5秒,,0,0,,0,0,触发玄兵阴阳生死轮技能,0,0,0,0,-1
10,100001,9,-1,0,2700,1,450,造成伤害时有几率提高暴击等级{0}并额外附加{1}点，持续5秒,,0,0,,0,0,触发玄兵阴阳生死轮技能,0,0,0,0,-1
11,100001,10,-1,0,3000,1,500,造成伤害时有几率提高暴击等级{0}并额外附加{1}点，持续5秒,,0,0,,0,0,触发玄兵阴阳生死轮技能,0,0,0,0,-1
12,100001,11,-1,0,3300,1,550,造成伤害时有几率提高暴击等级{0}并额外附加{1}点，持续5秒,,0,0,,0,0,触发玄兵阴阳生死轮技能,0,0,0,0,-1
13,100001,12,-1,0,3600,1,600,造成伤害时有几率提高暴击等级{0}并额外附加{1}点，持续5秒,,0,0,,0,0,触发玄兵阴阳生死轮技能,0,0,0,0,-1
14,100001,13,-1,0,3900,1,650,造成伤害时有几率提高暴击等级{0}并额外附加{1}点，持续5秒,,0,0,,0,0,触发玄兵阴阳生死轮技能,0,0,0,0,-1
15,100001,14,-1,0,4200,1,700,造成伤害时有几率提高暴击等级{0}并额外附加{1}点，持续5秒,,0,0,,0,0,触发玄兵阴阳生死轮技能,0,0,0,0,-1
16,100001,15,-1,0,4500,1,750,造成伤害时有几率提高暴击等级{0}并额外附加{1}点，持续5秒,,0,0,,0,0,触发玄兵阴阳生死轮技能,0,0,0,0,-1
17,100001,16,-1,0,4800,1,800,造成伤害时有几率提高暴击等级{0}并额外附加{1}点，持续5秒,,0,0,,0,0,触发玄兵阴阳生死轮技能,0,0,0,0,-1
18,100001,17,-1,0,5100,1,850,造成伤害时有几率提高暴击等级{0}并额外附加{1}点，持续5秒,,0,0,,0,0,触发玄兵阴阳生死轮技能,0,0,0,0,-1
19,100001,18,-1,0,5400,1,900,造成伤害时有几率提高暴击等级{0}并额外附加{1}点，持续5秒,,0,0,,0,0,触发玄兵阴阳生死轮技能,0,0,0,0,-1
20,100001,19,-1,0,5700,1,950,造成伤害时有几率提高暴击等级{0}并额外附加{1}点，持续5秒,,0,0,,0,0,触发玄兵阴阳生死轮技能,0,0,0,0,-1
21,100001,20,-1,0,6000,1,1000,造成伤害时有几率提高暴击等级{0}并额外附加{1}点，持续5秒,,0,0,,0,0,触发玄兵阴阳生死轮技能,0,0,0,0,-1
22,100001,21,-1,0,6300,1,1050,造成伤害时有几率提高暴击等级{0}并额外附加{1}点，持续5秒,,0,0,,0,0,触发玄兵阴阳生死轮技能,0,0,0,0,-1
23,100002,1,-1,0,100,1,50,造成伤害时，有几率对目标造成自身攻击力{0}的伤害并附加{1}点，目标沉默2秒,,0,0,,0,0,触发玄兵六道轮回笔技能,0,0,0,0,-1
24,100002,2,-1,0,200,1,100,造成伤害时，有几率对目标造成自身攻击力{0}的伤害并附加{1}点，目标沉默2秒,,0,0,,0,0,触发玄兵六道轮回笔技能,0,0,0,0,-1
25,100002,3,-1,0,300,1,150,造成伤害时，有几率对目标造成自身攻击力{0}的伤害并附加{1}点，目标沉默2秒,,0,0,,0,0,触发玄兵六道轮回笔技能,0,0,0,0,-1
26,100002,4,-1,0,400,1,200,造成伤害时，有几率对目标造成自身攻击力{0}的伤害并附加{1}点，目标沉默2秒,,0,0,,0,0,触发玄兵六道轮回笔技能,0,0,0,0,-1
27,100002,5,-1,0,500,1,250,造成伤害时，有几率对目标造成自身攻击力{0}的伤害并附加{1}点，目标沉默2秒,,0,0,,0,0,触发玄兵六道轮回笔技能,0,0,0,0,-1
28,100002,6,-1,0,600,1,300,造成伤害时，有几率对目标造成自身攻击力{0}的伤害并附加{1}点，目标沉默2秒,,0,0,,0,0,触发玄兵六道轮回笔技能,0,0,0,0,-1
29,100002,7,-1,0,700,1,350,造成伤害时，有几率对目标造成自身攻击力{0}的伤害并附加{1}点，目标沉默2秒,,0,0,,0,0,触发玄兵六道轮回笔技能,0,0,0,0,-1
30,100002,8,-1,0,800,1,400,造成伤害时，有几率对目标造成自身攻击力{0}的伤害并附加{1}点，目标沉默2秒,,0,0,,0,0,触发玄兵六道轮回笔技能,0,0,0,0,-1
31,100002,9,-1,0,900,1,450,造成伤害时，有几率对目标造成自身攻击力{0}的伤害并附加{1}点，目标沉默2秒,,0,0,,0,0,触发玄兵六道轮回笔技能,0,0,0,0,-1
32,100002,10,-1,0,1000,1,500,造成伤害时，有几率对目标造成自身攻击力{0}的伤害并附加{1}点，目标沉默2秒,,0,0,,0,0,触发玄兵六道轮回笔技能,0,0,0,0,-1
33,100002,11,-1,0,1100,1,550,造成伤害时，有几率对目标造成自身攻击力{0}的伤害并附加{1}点，目标沉默2秒,,0,0,,0,0,触发玄兵六道轮回笔技能,0,0,0,0,-1
34,100002,12,-1,0,1200,1,600,造成伤害时，有几率对目标造成自身攻击力{0}的伤害并附加{1}点，目标沉默2秒,,0,0,,0,0,触发玄兵六道轮回笔技能,0,0,0,0,-1
35,100002,13,-1,0,1300,1,650,造成伤害时，有几率对目标造成自身攻击力{0}的伤害并附加{1}点，目标沉默2秒,,0,0,,0,0,触发玄兵六道轮回笔技能,0,0,0,0,-1
36,100002,14,-1,0,1400,1,700,造成伤害时，有几率对目标造成自身攻击力{0}的伤害并附加{1}点，目标沉默2秒,,0,0,,0,0,触发玄兵六道轮回笔技能,0,0,0,0,-1
37,100002,15,-1,0,1500,1,750,造成伤害时，有几率对目标造成自身攻击力{0}的伤害并附加{1}点，目标沉默2秒,,0,0,,0,0,触发玄兵六道轮回笔技能,0,0,0,0,-1
38,100002,16,-1,0,1600,1,800,造成伤害时，有几率对目标造成自身攻击力{0}的伤害并附加{1}点，目标沉默2秒,,0,0,,0,0,触发玄兵六道轮回笔技能,0,0,0,0,-1
39,100002,17,-1,0,1700,1,850,造成伤害时，有几率对目标造成自身攻击力{0}的伤害并附加{1}点，目标沉默2秒,,0,0,,0,0,触发玄兵六道轮回笔技能,0,0,0,0,-1
40,100002,18,-1,0,1800,1,900,造成伤害时，有几率对目标造成自身攻击力{0}的伤害并附加{1}点，目标沉默2秒,,0,0,,0,0,触发玄兵六道轮回笔技能,0,0,0,0,-1
41,100002,19,-1,0,1900,1,950,造成伤害时，有几率对目标造成自身攻击力{0}的伤害并附加{1}点，目标沉默2秒,,0,0,,0,0,触发玄兵六道轮回笔技能,0,0,0,0,-1
42,100002,20,-1,0,2000,1,1000,造成伤害时，有几率对目标造成自身攻击力{0}的伤害并附加{1}点，目标沉默2秒,,0,0,,0,0,触发玄兵六道轮回笔技能,0,0,0,0,-1
43,100002,21,-1,0,2100,1,1050,造成伤害时，有几率对目标造成自身攻击力{0}的伤害并附加{1}点，目标沉默2秒,,0,0,,0,0,触发玄兵六道轮回笔技能,0,0,0,0,-1
44,100003,1,-1,0,100,1,40,造成伤害时，有几率降低目标{0}防御并额外附加{1}点，持续5秒，可叠加3层,,0,0,,0,0,触发玄兵盘古开天斧技能,0,0,0,0,-1
45,100003,2,-1,0,200,1,80,造成伤害时，有几率降低目标{0}防御并额外附加{1}点，持续5秒，可叠加3层,,0,0,,0,0,触发玄兵盘古开天斧技能,0,0,0,0,-1
46,100003,3,-1,0,300,1,120,造成伤害时，有几率降低目标{0}防御并额外附加{1}点，持续5秒，可叠加3层,,0,0,,0,0,触发玄兵盘古开天斧技能,0,0,0,0,-1
47,100003,4,-1,0,400,1,160,造成伤害时，有几率降低目标{0}防御并额外附加{1}点，持续5秒，可叠加3层,,0,0,,0,0,触发玄兵盘古开天斧技能,0,0,0,0,-1
48,100003,5,-1,0,500,1,200,造成伤害时，有几率降低目标{0}防御并额外附加{1}点，持续5秒，可叠加3层,,0,0,,0,0,触发玄兵盘古开天斧技能,0,0,0,0,-1
49,100003,6,-1,0,600,1,240,造成伤害时，有几率降低目标{0}防御并额外附加{1}点，持续5秒，可叠加3层,,0,0,,0,0,触发玄兵盘古开天斧技能,0,0,0,0,-1
50,100003,7,-1,0,700,1,280,造成伤害时，有几率降低目标{0}防御并额外附加{1}点，持续5秒，可叠加3层,,0,0,,0,0,触发玄兵盘古开天斧技能,0,0,0,0,-1
51,100003,8,-1,0,800,1,320,造成伤害时，有几率降低目标{0}防御并额外附加{1}点，持续5秒，可叠加3层,,0,0,,0,0,触发玄兵盘古开天斧技能,0,0,0,0,-1
52,100003,9,-1,0,900,1,360,造成伤害时，有几率降低目标{0}防御并额外附加{1}点，持续5秒，可叠加3层,,0,0,,0,0,触发玄兵盘古开天斧技能,0,0,0,0,-1
53,100003,10,-1,0,1000,1,400,造成伤害时，有几率降低目标{0}防御并额外附加{1}点，持续5秒，可叠加3层,,0,0,,0,0,触发玄兵盘古开天斧技能,0,0,0,0,-1
54,100003,11,-1,0,1100,1,440,造成伤害时，有几率降低目标{0}防御并额外附加{1}点，持续5秒，可叠加3层,,0,0,,0,0,触发玄兵盘古开天斧技能,0,0,0,0,-1
