id,monsterid,buffid,bufflv
1,91203,500029,1
2,91204,500030,1
3,91205,500031,1
4,91202,500032,1
5,800001,500020,1
6,310401,700013,1
7,310402,700014,1
8,310403,700015,1
9,310404,700016,1
10,314102,500043,1
11,314106,500044,1
12,314107,500045,1
13,314202,500043,1
14,314206,500044,1
15,314207,500045,1
16,314302,500043,1
17,314306,500044,1
18,314307,500045,1
19,314402,500043,1
20,314406,500044,1
21,314407,500045,1
22,314502,500043,1
23,314506,500044,1
24,314507,500045,1
25,314602,500043,1
26,314606,500044,1
27,314607,500045,1
28,314702,500043,1
29,314706,500044,1
30,314707,500045,1
31,314802,500043,1
32,314806,500044,1
33,314807,500045,1
