id,level,health,magic,minattack,maxattack,mindefence,maxdefence,crit,toughness,hit,dodge,profession,speed
1,1,200,120,1,2,1,1,1,1,1,1,1,61
2,2,420,252,2,4,1,3,1,1,1,2,1,61
3,3,660,396,2,6,2,5,2,2,2,3,1,61
4,4,920,552,3,8,3,6,3,3,3,4,1,61
5,5,1200,720,4,10,4,8,4,4,4,5,1,61
6,6,1500,900,5,13,5,11,5,5,5,6,1,61
7,7,1820,1092,7,15,5,13,6,6,5,7,1,61
8,8,2160,1296,8,18,6,15,8,8,6,9,1,61
9,9,2520,1512,9,21,8,18,9,9,8,10,1,61
10,10,2900,1740,10,24,9,20,10,10,9,12,1,61
11,11,3300,1980,12,28,10,23,12,12,10,13,1,61
12,12,3720,2232,13,31,11,26,13,13,11,15,1,61
13,13,4160,2496,15,35,12,29,15,15,12,17,1,61
14,14,4620,2772,17,39,14,32,16,16,14,18,1,61
15,15,5100,3060,18,43,15,36,18,18,15,20,1,61
16,16,5600,3360,20,47,17,39,20,20,17,22,1,61
17,17,6120,3672,22,51,18,43,21,21,18,24,1,61
18,18,6660,3996,24,56,20,47,23,23,20,27,1,61
19,19,7220,4332,26,61,22,51,25,25,22,29,1,61
20,20,7800,4680,28,66,23,55,27,27,23,31,1,61
21,21,8400,5040,30,71,25,59,29,29,25,34,1,61
22,22,9020,5412,32,76,27,63,32,32,27,36,1,61
23,23,9660,5796,35,81,29,68,34,34,29,39,1,61
24,24,10320,6192,37,87,31,72,36,36,31,41,1,61
25,25,11000,6600,40,92,33,77,39,39,33,44,1,61
26,26,11700,7020,42,98,35,82,41,41,35,47,1,61
27,27,12420,7452,45,104,37,87,43,43,37,50,1,61
28,28,13160,7896,47,111,39,92,46,46,39,53,1,61
29,29,13920,8352,50,117,42,97,49,49,42,56,1,61
30,30,14700,8820,53,123,44,103,51,51,44,59,1,61
31,31,15500,9300,56,130,47,109,54,54,47,62,1,61
32,32,16320,9792,59,137,49,114,57,57,49,65,1,61
33,33,17160,10296,62,144,51,120,60,60,51,69,1,61
34,34,18020,10812,65,151,54,126,63,63,54,72,1,61
35,35,18900,11340,68,159,57,132,66,66,57,76,1,61
36,36,19800,11880,71,166,59,139,69,69,59,79,1,61
37,37,20720,12432,75,174,62,145,73,73,62,83,1,61
38,38,21660,12996,78,182,65,152,76,76,65,87,1,61
39,39,22620,13572,81,190,68,158,79,79,68,90,1,61
40,40,23600,14160,85,198,71,165,83,83,71,94,1,61
41,41,24600,14760,89,207,74,172,86,86,74,98,1,61
42,42,25620,15372,92,215,77,179,90,90,77,102,1,61
43,43,26660,15996,96,224,80,187,93,93,80,107,1,61
44,44,27720,16632,100,233,83,194,97,97,83,111,1,61
45,45,28800,17280,104,242,86,202,101,101,86,115,1,61
46,1040,28800,17280,104,242,86,202,101,101,86,115,1,61
47,1041,28800,17280,104,242,86,202,101,101,86,115,1,61
48,1042,28800,17280,104,242,86,202,101,101,86,115,1,61
49,1043,28800,17280,104,242,86,202,101,101,86,115,1,61
50,1044,28800,17280,104,242,86,202,101,101,86,115,1,61
51,1045,28800,17280,104,242,86,202,101,101,86,115,1,61
52,1046,29900,17940,108,251,90,209,105,105,90,120,1,61
53,1047,31020,18612,112,261,93,217,109,109,93,124,1,61
54,1048,32160,19296,116,270,96,225,113,113,96,129,1,61
55,1049,33320,19992,120,280,100,233,117,117,100,133,1,61
56,1050,34500,20700,124,290,104,242,121,121,104,138,1,61
57,2045,34500,20700,124,290,104,242,121,121,104,138,1,61
58,2046,34500,20700,124,290,104,242,121,121,104,138,1,61
59,2047,34500,20700,124,290,104,242,121,121,104,138,1,61
60,2048,34500,20700,124,290,104,242,121,121,104,138,1,61
61,2049,34500,20700,124,290,104,242,121,121,104,138,1,61
62,2050,34500,20700,124,290,104,242,121,121,104,138,1,61
63,2051,35700,21420,129,300,107,250,125,125,107,143,1,61
64,2052,36920,22152,133,310,111,258,129,129,111,148,1,61
65,2053,38160,22896,137,321,114,267,134,134,114,153,1,61
66,2054,39420,23652,142,331,118,276,138,138,118,158,1,61
67,2055,40700,24420,147,342,122,285,142,142,122,163,1,61
68,3050,40700,24420,147,342,122,285,142,142,122,163,1,61
69,3051,40700,24420,147,342,122,285,142,142,122,163,1,61
70,3052,40700,24420,147,342,122,285,142,142,122,163,1,61
71,3053,40700,24420,147,342,122,285,142,142,122,163,1,61
72,3054,40700,24420,147,342,122,285,142,142,122,163,1,61
73,3055,40700,24420,147,342,122,285,142,142,122,163,1,61
74,3056,42000,25200,151,353,126,294,147,147,126,168,1,61
75,3057,43320,25992,156,364,130,303,152,152,130,173,1,61
76,3058,44660,26796,161,375,134,313,156,156,134,179,1,61
77,3059,46020,27612,166,387,138,322,161,161,138,184,1,61
78,3060,47400,28440,171,398,142,332,166,166,142,190,1,61
79,4055,47400,28440,171,398,142,332,166,166,142,190,1,61
80,4056,47400,28440,171,398,142,332,166,166,142,190,1,61
81,4057,47400,28440,171,398,142,332,166,166,142,190,1,61
82,4058,47400,28440,171,398,142,332,166,166,142,190,1,61
83,4059,47400,28440,171,398,142,332,166,166,142,190,1,61
84,4060,47400,28440,171,398,142,332,166,166,142,190,1,61
85,4061,48800,29280,176,410,146,342,171,171,146,195,1,61
86,4062,50220,30132,181,422,151,352,176,176,151,201,1,61
87,4063,51660,30996,186,434,155,362,181,181,155,207,1,61
88,4064,53120,31872,191,446,159,372,186,186,159,212,1,61
89,4065,54600,32760,197,459,164,382,191,191,164,218,1,61
90,5060,54600,32760,197,459,164,382,191,191,164,218,1,61
91,5061,54600,32760,197,459,164,382,191,191,164,218,1,61
92,5062,54600,32760,197,459,164,382,191,191,164,218,1,61
93,5063,54600,32760,197,459,164,382,191,191,164,218,1,61
94,5064,54600,32760,197,459,164,382,191,191,164,218,1,61
95,5065,54600,32760,197,459,164,382,191,191,164,218,1,61
96,5066,56100,33660,202,471,168,393,196,196,168,224,1,61
97,5067,57620,34572,207,484,173,403,202,202,173,230,1,61
98,5068,59160,35496,213,497,177,414,207,207,177,237,1,61
99,5069,60720,36432,219,510,182,425,213,213,182,243,1,61
100,5070,62300,37380,224,523,187,436,218,218,187,249,1,61
101,6065,62300,37380,224,523,187,436,218,218,187,249,1,61
102,6066,62300,37380,224,523,187,436,218,218,187,249,1,61
103,6067,62300,37380,224,523,187,436,218,218,187,249,1,61
104,6068,62300,37380,224,523,187,436,218,218,187,249,1,61
105,6069,62300,37380,224,523,187,436,218,218,187,249,1,61
106,6070,62300,37380,224,523,187,436,218,218,187,249,1,61
107,6071,63900,38340,230,537,192,447,224,224,192,256,1,61
108,6072,65520,39312,236,550,197,459,229,229,197,262,1,61
109,6073,67160,40296,242,564,201,470,235,235,201,269,1,61
110,6074,68820,41292,248,578,206,482,241,241,206,275,1,61
111,6075,70500,42300,254,592,212,494,247,247,212,282,1,61
112,7070,70500,42300,254,592,212,494,247,247,212,282,1,61
113,7071,70500,42300,254,592,212,494,247,247,212,282,1,61
114,7072,70500,42300,254,592,212,494,247,247,212,282,1,61
115,7073,70500,42300,254,592,212,494,247,247,212,282,1,61
116,7074,70500,42300,254,592,212,494,247,247,212,282,1,61
117,7075,70500,42300,254,592,212,494,247,247,212,282,1,61
118,7076,72200,43320,260,606,217,505,253,253,217,289,1,61
119,7077,73920,44352,266,621,222,517,259,259,222,296,1,61
120,7078,75660,45396,272,636,227,530,265,265,227,303,1,61
121,7079,77420,46452,279,650,232,542,271,271,232,310,1,61
122,7080,79200,47520,285,665,238,554,277,277,238,317,1,61
123,8075,79200,47520,285,665,238,554,277,277,238,317,1,61
124,8076,79200,47520,285,665,238,554,277,277,238,317,1,61
125,8077,79200,47520,285,665,238,554,277,277,238,317,1,61
126,8078,79200,47520,285,665,238,554,277,277,238,317,1,61
127,8079,79200,47520,285,665,238,554,277,277,238,317,1,61
128,8080,79200,47520,285,665,238,554,277,277,238,317,1,61
129,8081,81000,48600,292,680,243,567,284,284,243,324,1,61
130,8082,82820,49692,298,696,248,580,290,290,248,331,1,61
131,8083,84660,50796,305,711,254,593,296,296,254,339,1,61
132,8084,86520,51912,311,727,260,606,303,303,260,346,1,61
133,8085,88400,53040,318,743,265,619,309,309,265,354,1,61
134,9080,88400,53040,318,743,265,619,309,309,265,354,1,61
135,9081,88400,53040,318,743,265,619,309,309,265,354,1,61
136,9082,88400,53040,318,743,265,619,309,309,265,354,1,61
137,9083,88400,53040,318,743,265,619,309,309,265,354,1,61
138,9084,88400,53040,318,743,265,619,309,309,265,354,1,61
139,9085,88400,53040,318,743,265,619,309,309,265,354,1,61
140,9086,90300,54180,325,759,271,632,316,316,271,361,1,61
141,9087,92220,55332,332,775,277,646,323,323,277,369,1,61
142,9088,94160,56496,339,791,282,659,330,330,282,377,1,61
143,9089,96120,57672,346,807,288,673,336,336,288,384,1,61
144,9090,98100,58860,353,824,294,687,343,343,294,392,1,61
145,10085,98100,58860,353,824,294,687,343,343,294,392,1,61
146,10086,98100,58860,353,824,294,687,343,343,294,392,1,61
147,10087,98100,58860,353,824,294,687,343,343,294,392,1,61
148,10088,98100,58860,353,824,294,687,343,343,294,392,1,61
149,10089,98100,58860,353,824,294,687,343,343,294,392,1,61
150,10090,98100,58860,353,824,294,687,343,343,294,392,1,61
151,10091,100100,60060,360,841,300,701,350,350,300,400,1,61
152,10092,102120,61272,368,858,306,715,357,357,306,408,1,61
153,10093,104160,62496,375,875,312,729,365,365,312,417,1,61
154,10094,106220,63732,382,892,319,744,372,372,319,425,1,61
155,10095,108300,64980,390,910,325,758,379,379,325,433,1,61
156,11090,108300,64980,390,910,325,758,379,379,325,433,1,61
157,11091,108300,64980,390,910,325,758,379,379,325,433,1,61
158,11092,108300,64980,390,910,325,758,379,379,325,433,1,61
159,11093,108300,64980,390,910,325,758,379,379,325,433,1,61
160,11094,108300,64980,390,910,325,758,379,379,325,433,1,61
161,11095,108300,64980,390,910,325,758,379,379,325,433,1,61
162,11096,110400,66240,397,927,331,773,386,386,331,442,1,61
163,11097,112520,67512,405,945,338,788,394,394,338,450,1,61
164,11098,114660,68796,413,963,344,803,401,401,344,459,1,61
165,11099,116820,70092,421,981,350,818,409,409,350,467,1,61
166,11100,119000,71400,428,1000,357,833,417,417,357,476,1,61
167,1,140,140,1,2,0,1,1,1,1,1,2,61
168,2,294,294,2,5,1,2,2,1,1,2,2,61
169,3,462,462,3,7,1,3,3,2,2,3,2,61
170,4,644,644,4,10,2,5,5,3,3,5,2,61
171,5,840,840,6,13,3,6,6,4,4,6,2,61
172,6,1050,1050,7,17,3,7,8,5,5,8,2,61
173,7,1274,1274,9,20,4,9,9,6,6,9,2,61
174,8,1512,1512,10,24,5,11,11,8,8,11,2,61
175,9,1764,1764,12,28,5,12,13,9,9,13,2,61
176,10,2030,2030,14,32,6,14,15,10,10,15,2,61
177,11,2310,2310,16,37,7,16,17,12,12,17,2,61
178,12,2604,2604,18,42,8,18,19,13,13,19,2,61
179,13,2912,2912,20,47,9,20,21,15,15,21,2,61
180,14,3234,3234,22,52,10,23,23,16,16,23,2,61
181,15,3570,3570,24,57,11,25,26,18,18,26,2,61
182,16,3920,3920,27,63,12,27,28,20,20,28,2,61
183,17,4284,4284,29,69,13,30,31,21,21,31,2,61
184,18,4662,4662,32,75,14,33,33,23,23,33,2,61
185,19,5054,5054,35,81,15,35,36,25,25,36,2,61
186,20,5460,5460,37,87,16,38,39,27,27,39,2,61
187,21,5880,5880,40,94,18,41,42,29,29,42,2,61
188,22,6314,6314,43,101,19,44,45,32,32,45,2,61
189,23,6762,6762,46,108,20,47,48,34,34,48,2,61
190,24,7224,7224,50,116,22,51,52,36,36,52,2,61
191,25,7700,7700,53,123,23,54,55,39,39,55,2,61
192,26,8190,8190,56,131,25,57,59,41,41,59,2,61
193,27,8694,8694,60,139,26,61,62,43,43,62,2,61
194,28,9212,9212,63,147,28,64,66,46,46,66,2,61
195,29,9744,9744,67,156,29,68,70,49,49,70,2,61
196,30,10290,10290,71,165,31,72,74,51,51,74,2,61
197,31,10850,10850,74,174,33,76,78,54,54,78,2,61
198,32,11424,11424,78,183,34,80,82,57,57,82,2,61
199,33,12012,12012,82,192,36,84,86,60,60,86,2,61
200,34,12614,12614,86,202,38,88,90,63,63,90,2,61
201,35,13230,13230,91,212,40,93,95,66,66,95,2,61
202,36,13860,13860,95,222,42,97,99,69,69,99,2,61
203,37,14504,14504,99,232,44,102,104,73,73,104,2,61
204,38,15162,15162,104,243,45,106,108,76,76,108,2,61
205,39,15834,15834,109,253,48,111,113,79,79,113,2,61
206,40,16520,16520,113,264,50,116,118,83,83,118,2,61
207,41,17220,17220,118,276,52,121,123,86,86,123,2,61
208,42,17934,17934,123,287,54,126,128,90,90,128,2,61
209,43,18662,18662,128,299,56,131,133,93,93,133,2,61
210,44,19404,19404,133,310,58,136,139,97,97,139,2,61
211,45,20160,20160,138,323,60,141,144,101,101,144,2,61
212,1040,20160,20160,138,323,60,141,144,101,101,144,2,61
213,1041,20160,20160,138,323,60,141,144,101,101,144,2,61
214,1042,20160,20160,138,323,60,141,144,101,101,144,2,61
215,1043,20160,20160,138,323,60,141,144,101,101,144,2,61
216,1044,20160,20160,138,323,60,141,144,101,101,144,2,61
217,1045,20160,20160,138,323,60,141,144,101,101,144,2,61
218,1046,20930,20930,144,335,63,147,150,105,105,150,2,61
219,1047,21714,21714,149,347,65,152,155,109,109,155,2,61
220,1048,22512,22512,154,360,68,158,161,113,113,161,2,61
221,1049,23324,23324,160,373,70,163,167,117,117,167,2,61
222,1050,24150,24150,166,386,72,169,173,121,121,173,2,61
223,2045,24150,24150,166,386,72,169,173,121,121,173,2,61
224,2046,24150,24150,166,386,72,169,173,121,121,173,2,61
225,2047,24150,24150,166,386,72,169,173,121,121,173,2,61
226,2048,24150,24150,166,386,72,169,173,121,121,173,2,61
227,2049,24150,24150,166,386,72,169,173,121,121,173,2,61
228,2050,24150,24150,166,386,72,169,173,121,121,173,2,61
229,2051,24990,24990,171,400,75,175,179,125,125,179,2,61
230,2052,25844,25844,177,414,78,181,185,129,129,185,2,61
231,2053,26712,26712,183,427,80,187,191,134,134,191,2,61
232,2054,27594,27594,189,442,83,193,197,138,138,197,2,61
233,2055,28490,28490,195,456,85,199,204,142,142,204,2,61
234,3050,28490,28490,195,456,85,199,204,142,142,204,2,61
235,3051,28490,28490,195,456,85,199,204,142,142,204,2,61
236,3052,28490,28490,195,456,85,199,204,142,142,204,2,61
237,3053,28490,28490,195,456,85,199,204,142,142,204,2,61
238,3054,28490,28490,195,456,85,199,204,142,142,204,2,61
239,3055,28490,28490,195,456,85,199,204,142,142,204,2,61
240,3056,29400,29400,202,470,88,206,210,147,147,210,2,61
241,3057,30324,30324,208,485,91,212,217,152,152,217,2,61
242,3058,31262,31262,214,500,94,219,223,156,156,223,2,61
243,3059,32214,32214,221,515,97,225,230,161,161,230,2,61
244,3060,33180,33180,228,531,100,232,237,166,166,237,2,61
245,4055,33180,33180,228,531,100,232,237,166,166,237,2,61
246,4056,33180,33180,228,531,100,232,237,166,166,237,2,61
247,4057,33180,33180,228,531,100,232,237,166,166,237,2,61
248,4058,33180,33180,228,531,100,232,237,166,166,237,2,61
249,4059,33180,33180,228,531,100,232,237,166,166,237,2,61
250,4060,33180,33180,228,531,100,232,237,166,166,237,2,61
