id,levelmix,levelmax,tasklua
1,30,11100,200000001
2,30,11100,200000002
3,30,11100,200000003
4,30,11100,200000004
5,30,11100,200000005
6,30,11100,200000006
7,30,11100,200000007
8,30,11100,200000008
9,30,11100,200000009
10,30,11100,200000010
11,30,11100,200000011
12,30,11100,200000012
13,30,11100,200000013
14,30,11100,200000014
15,30,11100,200000015
16,30,11100,200000016
17,43,11100,200000017
18,43,11100,200000018
19,43,11100,200000019
20,43,11100,200000020
21,45,11100,200000021
22,45,11100,200000022
23,45,11100,200000023
24,30,11100,200000024
25,43,11100,200000025
26,30,11100,200000026
27,30,11100,200000027
28,30,11100,200000028
29,30,11100,200000029
30,30,11100,200000030
31,43,11100,200000031
32,43,11100,200000032
33,45,11100,200000033
34,45,11100,200000034
