id,level,star,exp
1,30,5,415780
2,31,5,415780
3,32,5,415780
4,33,5,415780
5,34,5,415780
6,35,5,415780
7,36,5,415780
8,37,5,415780
9,38,5,415780
10,39,5,415780
11,40,5,415780
12,41,5,415780
13,42,5,415780
14,43,5,415780
15,44,5,415780
16,45,5,415780
17,1040,5,831660
18,1041,5,831660
19,1042,5,831660
20,1043,5,831660
21,1044,5,831660
22,1045,5,831660
23,1046,5,831660
24,1047,5,831660
25,1048,5,831660
26,1049,5,831660
27,1050,5,831660
28,2045,5,831660
29,2046,5,831660
30,2047,5,831660
31,2048,5,831660
32,2049,5,831660
33,2050,5,831660
34,2051,5,831660
35,2052,5,831660
36,2053,5,831660
37,2054,5,831660
38,2055,5,831660
39,3050,5,831660
40,3051,5,831660
41,3052,5,831660
42,3053,5,831660
43,3054,5,831660
44,3055,5,831660
45,3056,5,853356
46,3057,5,896022
47,3058,5,940824
48,3059,5,987864
49,3060,5,1037262
50,4055,5,1037382
51,4056,5,1037502
52,4057,5,1037622
53,4058,5,1037742
54,4059,5,1037862
55,4060,5,1037982
56,4061,5,1089126
57,4062,5,1143582
58,4063,5,1200756
59,4064,5,1260798
60,4065,5,1323834
61,5060,5,1323954
62,5061,5,1324074
63,5062,5,1324194
64,5063,5,1324314
65,5064,5,1324434
66,5065,5,1324554
67,5066,5,1390026
68,5067,5,1459530
69,5068,5,1532508
70,5069,5,1609134
71,5070,5,1689588
72,6065,5,1689648
73,6066,5,1689708
74,6067,5,1689768
75,6068,5,1689828
76,6069,5,1689888
77,6070,5,1689948
78,6071,5,1774068
79,6072,5,1862772
80,6073,5,1955910
81,6074,5,2053704
82,6075,5,2156394
83,7070,5,2156514
84,7071,5,2156634
85,7072,5,2156754
86,7073,5,2156874
87,7074,5,2156994
88,7075,5,2157114
89,7076,5,2264208
90,7077,5,2377422
91,7078,5,2496294
92,7079,5,2621106
93,7080,5,2752164
94,8075,5,2752284
95,8076,5,2752404
96,8077,5,2752524
97,8078,5,2752644
98,8079,5,2752764
99,8080,5,2752884
100,8081,5,2889768
101,8082,5,3034260
102,8083,5,3185970
103,8084,5,3345270
104,8085,5,3512538
105,9080,5,3512658
106,9081,5,3512778
107,9082,5,3512898
108,9083,5,3513018
109,9084,5,3513138
110,9085,5,3513258
111,9086,5,3688164
112,9087,5,3872568
113,9088,5,4066200
114,9089,5,4269510
115,9090,5,4482984
116,10085,5,4483104
117,10086,5,4483224
118,10087,5,4483344
119,10088,5,4483464
120,10089,5,4483584
121,10090,5,4483704
122,10091,5,4707132
123,10092,5,4942488
124,10093,5,5189616
125,10094,5,5449098
126,10095,5,5721552
127,11090,5,5721672
128,11091,5,5721792
129,11092,5,5721912
130,11093,5,5722032
131,11094,5,5722152
132,11095,5,5722272
133,11096,5,6007626
134,11097,5,6308010
135,11098,5,6623412
136,11099,5,6954582
137,11100,5,7302312
