id,copyid,name,chapterid,chapter_name,fighting,copy_rank,battletype,limitlevel,parentcopyid,copy_xmlname,copy_icon,copy_type,music,copykind,pet,ride,recover,near,broadcast,notifytype,battleover,map,assistant,locked_range,change_range,kind
1,10000,新手本,100,新手本,0,1,130,1,-1,XS-1.txt,-1,1,pvp.ogg,CK_NEWCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
2,10101,纪氏西府,101,纪氏西府,0,1,0,1,-1,City-1.txt,10101,2,city1.ogg,CK_SCENE,1,1,3,1,50,0,0,1,1,14,10,1
3,10102,安澶城,101,安澶城,0,1,0,1,-1,City-2.txt,10102,2,city2.ogg,CK_SCENE,1,1,3,1,50,0,0,1,1,14,10,1
4,10103,大夏王都,101,大夏王都,0,1,0,1,-1,City-3.txt,10103,2,city3.ogg,CK_SCENE,1,1,3,1,50,0,0,1,1,14,10,1
5,10104,方寸山,101,方寸山,0,1,0,1,-1,City-4.txt,10104,2,city4.ogg,CK_SCENE,1,1,3,1,50,0,0,1,1,14,10,1
6,10105,无间战场,101,无间战场,0,1,0,1,-1,City-5.txt,10105,2,city5.ogg,CK_SCENE,1,1,3,1,50,0,0,1,1,14,10,1
7,10201,翼蛇苦牢,102,翼蛇苦牢,0,1,129,1,-1,SL1-1.txt,-1,1,pvp.ogg,CK_MAINTASK,1,1,2,0,50,0,0,-1,0,100,8,2
8,10202,巫江仙府,102,巫江仙府,0,1,129,1,-1,SL1-2.txt,-1,1,pvp.ogg,CK_MAINTASK,1,1,2,0,50,0,0,-1,0,100,8,2
9,10203,安澶秘境,102,安澶秘境,0,1,129,1,-1,SL1-3.txt,-1,1,pvp.ogg,CK_MAINTASK,1,1,2,0,50,0,0,-1,0,100,8,2
10,20100,水府试炼,201,水府试炼,35000,1,129,25,-1,DHQ-0.txt,-1,1,pvp.ogg,CK_DHQ,1,1,2,0,50,0,0,-1,0,100,8,2
11,20200,明月山水图,202,明月山水图,42000,1,129,32,-1,WLSD-0.txt,-1,1,pvp.ogg,CK_WULIANGSHENGDI,1,1,2,0,50,0,0,-1,0,100,8,2
12,20300,寂灭之域,203,寂灭之域,49000,1,129,42,-1,LSD-0.txt,-1,1,pvp.ogg,CK_LINGSHOUDAO,1,1,2,0,50,0,0,-1,0,100,8,2
13,20400,东林宗,204,东林宗,56000,1,129,44,-1,SWHM-0.txt,-1,1,pvp.ogg,CK_SIWANGHUANGMO,1,1,2,0,50,0,0,-1,0,100,8,2
14,20500,无间战场,205,无间战场,63000,1,129,1047,-1,HBLY-0.txt,-1,1,pvp.ogg,CK_HBLY,1,1,2,0,50,0,0,-1,0,100,8,2
15,20600,莲花幻界,206,莲花幻界,0,1,129,36,-1,LHHJ-0.txt,-1,1,pvp.ogg,CK_FOOTCOPY,1,1,2,0,50,0,0,-1,0,100,8,2
16,40100,巫江仙府,401,巫江仙府,0,1,146,3057,-1,ZLK-0.txt,-1,2,pvp.ogg,CK_ZHUILONGKU,1,1,2,0,50,0,0,-1,0,100,8,2
