id,copyid,costid,costnumber
1,20101,215501001,128
2,20102,215501001,128
3,20103,215501001,128
4,20104,215501001,128
5,20201,215501001,128
6,20202,215501001,128
7,20203,215501001,128
8,20204,215501001,128
9,20301,215501001,188
10,20302,215501001,188
11,20303,215501001,188
12,20304,215501001,188
13,20401,215501001,38
14,20402,215501001,38
15,20403,215501001,38
16,20404,215501001,38
17,20501,215501001,68
18,20502,215501001,68
19,20503,215501001,68
20,20504,215501001,68
21,20601,215501001,128
22,20602,215501001,128
23,20603,215501001,128
24,20604,215501001,128
25,20701,215501001,38
26,20702,215501001,38
27,20703,215501001,38
28,20704,215501001,38
29,20801,215501001,88
30,20802,215501001,88
31,20803,215501001,88
32,20804,215501001,88
33,20901,215501001,188
34,20902,215501001,188
35,20903,215501001,188
36,20904,215501001,188
37,21001,215501001,288
38,21002,215501001,288
39,21003,215501001,288
40,21004,215501001,288
41,30101,215501001,188
42,30102,215501001,188
43,30103,215501001,188
44,30104,215501001,188
45,30201,215501001,88
46,30202,215501001,88
47,30203,215501001,88
48,30204,215501001,88
49,30301,215501001,188
50,30302,215501001,188
51,30303,215501001,188
52,30304,215501001,188
53,40101,215501001,388
54,40102,215501001,388
55,40103,215501001,388
56,40104,215501001,388
57,40201,215501001,188
58,40202,215501001,188
59,40203,215501001,188
60,40204,215501001,188
61,40301,215501001,388
62,40302,215501001,388
63,40303,215501001,388
64,40304,215501001,388
