id,copy_type,levelmix,copyid,levelmax
1,1,30,90101,40
2,1,40,90102,1050
3,1,1050,90103,3060
4,1,3060,90104,5070
5,1,5070,90105,7080
6,1,7080,90106,9090
7,1,9090,90107,11100
8,1,11100,90108,13110
9,2,30,90201,40
10,2,40,90202,1050
11,2,1050,90203,3060
12,2,3060,90204,5070
13,2,5070,90205,7080
14,2,7080,90206,9090
15,2,9090,90207,11100
16,2,11100,90208,13110
17,3,30,90301,40
18,3,40,90302,1050
19,3,1050,90303,3060
20,3,3060,90304,5070
21,3,5070,90305,7080
22,3,7080,90306,9090
23,3,9090,90307,11100
24,3,11100,90308,13110
25,4,30,70301,40
26,4,40,70302,1050
27,4,1050,70303,3060
28,4,3060,70304,5070
29,4,5070,70305,7080
30,4,7080,70306,9090
31,4,9090,70307,11100
32,4,11100,70308,13110
