id,copy_id,one_time,two_time,three_time,total_time,die_count,relive_kind,relive_time,delay,countdown,state,pausecount,lock_type,killmaxmonster
1,10101,0,0,0,0,9999,1,15,0,0,2,0,1,0
2,10102,0,0,0,0,9999,1,15,0,0,2,0,1,0
3,10103,0,0,0,0,9999,1,15,0,0,2,0,1,0
4,10104,0,0,0,0,9999,1,15,0,0,2,0,1,0
5,10105,0,0,0,0,9999,1,15,0,0,2,0,1,0
6,80101,0,0,0,0,9999,1,15,0,0,2,0,1,0
7,80102,0,0,0,0,9999,1,15,0,0,2,0,1,0
8,80103,0,0,0,0,9999,1,15,0,0,2,0,1,0
9,20100,163,203,243,603,9999,1,10,30,1,1,3,2,0
10,20101,163,203,243,603,9999,1,10,30,1,1,3,2,0
11,20102,163,203,243,603,9999,1,10,30,1,1,3,2,0
12,20103,163,203,243,603,9999,1,10,30,1,1,3,2,0
13,20104,163,203,243,603,9999,1,10,30,1,1,3,2,0
14,20200,83,163,243,483,9999,0,10,30,1,1,3,2,0
15,20201,83,163,243,483,9999,0,10,30,1,1,3,2,0
16,20202,83,163,243,483,9999,0,10,30,1,1,3,2,0
17,20203,83,163,243,483,9999,0,10,30,1,1,3,2,0
18,20204,83,163,243,483,9999,0,10,30,1,1,3,2,0
19,20300,103,203,303,603,9999,1,15,30,1,1,3,2,0
20,20301,103,203,303,603,9999,1,15,30,1,1,3,2,0
21,20302,103,203,303,603,9999,1,15,30,1,1,3,2,0
22,20303,103,203,303,603,9999,1,15,30,1,1,3,2,0
23,20304,103,203,303,603,9999,1,15,30,1,1,3,2,0
24,20400,83,103,123,303,3,0,5,30,1,1,3,2,0
25,20401,83,103,123,303,3,0,5,30,1,1,3,2,0
26,20402,83,103,123,303,3,0,5,30,1,1,3,2,0
27,20403,83,103,123,303,3,0,5,30,1,1,3,2,0
28,20404,83,103,123,303,3,0,5,30,1,1,3,2,0
29,20500,243,123,243,600,9999,0,10,30,1,1,3,2,0
30,20601,33,63,93,183,3,0,5,30,1,1,3,2,0
31,20602,33,63,93,183,3,0,5,30,1,1,3,2,0
32,20603,33,63,93,183,3,0,5,30,1,1,3,2,0
33,20604,33,63,93,183,3,0,5,30,1,1,3,2,0
