id,rankmin,rankmax,levelmin,levelmax,objectid,number,bind
1,1,1,1,11100,182390003,1,1
2,1,1,1,11100,174306023,1,1
3,1,1,1,11100,182353001,2,1
4,2,2,1,11100,183390002,8,1
5,2,2,1,11100,174306023,1,1
6,2,2,1,11100,182353001,1,1
7,3,3,1,11100,183390002,5,1
8,3,3,1,11100,174306023,1,1
9,3,3,1,11100,182353001,1,1
10,4,6,1,11100,183390002,3,1
11,4,6,1,11100,174306023,1,1
12,4,6,1,11100,182353001,1,1
13,7,10,1,11100,184390001,5,1
14,7,10,1,11100,174306023,1,1
15,7,10,1,11100,182353001,1,1
16,11,20,1,11100,184390001,4,1
17,11,20,1,11100,175306024,4,1
18,11,20,1,11100,182353001,1,1
19,21,40,1,11100,184390001,3,1
20,21,40,1,11100,175306024,3,1
21,21,40,1,11100,182353002,3,1
22,41,75,1,11100,184390001,2,1
23,41,75,1,11100,175306024,2,1
24,41,75,1,11100,182353002,2,1
25,76,100,1,11100,184390001,1,1
26,76,100,1,11100,175306024,1,1
27,76,100,1,11100,182353002,1,1
