id,dialevel,percent,icon,effect
1,96,3000,191405001,UI/Public/baoshi_lv
2,144,3500,191405001,UI/Public/baoshi_lv
3,192,4000,191405001,UI/Public/baoshi_lv
4,240,4500,191405001,UI/Public/baoshi_lv
5,270,5000,191405002,UI/Public/baoshi_lv
6,300,5500,191405002,UI/Public/baoshi_lv
7,330,6000,191405002,UI/Public/baoshi_lv
8,360,6500,191405002,UI/Public/baoshi_lv
9,396,7000,192407003,UI/Public/baoshi_lan
10,432,7500,192407003,UI/Public/baoshi_lan
11,456,8000,192407003,UI/Public/baoshi_lan
12,504,8500,192407003,UI/Public/baoshi_lan
13,546,9000,192407004,UI/Public/baoshi_lan
14,588,9500,192407004,UI/Public/baoshi_lan
15,616,10000,192407004,UI/Public/baoshi_lan
16,644,10500,192407004,UI/Public/baoshi_lan
17,672,11000,193409005,UI/Public/baoshi_zi
18,696,11500,193409005,UI/Public/baoshi_zi
19,720,12000,193409005,UI/Public/baoshi_zi
20,744,12500,193409005,UI/Public/baoshi_zi
21,768,13000,193409006,UI/Public/baoshi_zi
22,792,13500,193409006,UI/Public/baoshi_zi
23,816,14000,193409006,UI/Public/baoshi_zi
24,840,14500,193409006,UI/Public/baoshi_zi
25,864,15000,194406007,UI/Public/baoshi_cheng
26,888,15500,194406007,UI/Public/baoshi_cheng
27,912,16000,194406007,UI/Public/baoshi_cheng
28,936,16500,194406007,UI/Public/baoshi_cheng
29,960,17000,194406008,UI/Public/baoshi_cheng
30,980,17500,194406008,UI/Public/baoshi_cheng
31,1000,18000,194406008,UI/Public/baoshi_cheng
32,1020,18500,194406008,UI/Public/baoshi_cheng
33,1040,19000,195408009,UI/Public/baoshi_hong
34,1060,19500,195408009,UI/Public/baoshi_hong
35,1080,20000,195408009,UI/Public/baoshi_hong
