id,copyid,monsterid,person,rank,objectid,bind,number,percent
1,40101,1,1,1,173306001,1,1,10000
2,40101,1,1,2,173306001,1,1,3000
3,40102,1,1,1,173306002,1,1,10000
4,40102,1,1,2,173306002,1,1,3000
5,40102,1,1,3,173306003,1,1,10000
6,40103,1,1,1,173306002,1,1,10000
7,40103,1,1,2,173306003,1,1,10000
8,40103,1,1,3,173306004,1,1,10000
9,40103,1,1,4,173306004,1,1,5000
10,40104,1,1,1,173306003,1,1,10000
11,40104,1,1,2,173306004,1,1,10000
12,40104,1,1,3,173306005,1,1,10000
13,40104,1,1,4,173306005,1,1,5000
14,70101,1,1,1,173309003,1,1,10000
15,70101,1,1,2,173304007,1,1,10000
16,70102,1,1,1,173309003,1,1,10000
17,70102,1,1,2,173304007,1,1,10000
18,70103,1,1,1,173309003,1,1,10000
19,70103,1,1,2,173304007,1,1,10000
20,70104,1,1,1,173309003,1,1,10000
21,70104,1,1,2,173304007,1,2,10000
22,70105,1,1,1,173309003,1,1,10000
23,70105,1,1,2,173304007,1,2,10000
24,70106,1,1,1,173309003,1,1,10000
25,70106,1,1,2,173304007,1,2,10000
26,70107,1,1,1,173309003,1,1,10000
27,70107,1,1,2,173304007,1,3,10000
28,70108,1,1,1,173309003,1,1,10000
29,70108,1,1,2,173304007,1,3,10000
30,70109,1,1,1,173309003,1,1,10000
31,70109,1,1,2,173304007,1,3,10000
32,70110,1,1,1,173309003,1,1,10000
33,70110,1,1,2,173304007,1,4,10000
34,70111,1,1,1,173309003,1,2,10000
35,70111,1,1,2,173304007,1,4,10000
36,70112,1,1,1,173309003,1,2,10000
37,70112,1,1,2,173304007,1,4,10000
38,70113,1,1,1,173309003,1,2,10000
39,70113,1,1,2,173304007,1,5,10000
40,70114,1,1,1,173309003,1,2,10000
41,70114,1,1,2,173304007,1,5,10000
42,70115,1,1,1,173309003,1,2,10000
43,70115,1,1,2,173304007,1,5,10000
44,70116,1,1,1,173309003,1,2,10000
45,70116,1,1,2,173304007,1,6,10000
46,70117,1,1,1,173309003,1,2,10000
47,70117,1,1,2,173304007,1,6,10000
48,70118,1,1,1,173309003,1,2,10000
49,70118,1,1,2,173304007,1,6,10000
50,70119,1,1,1,173309003,1,2,10000
51,70119,1,1,2,173304007,1,7,10000
52,70120,1,1,1,173309003,1,2,10000
53,70120,1,1,2,173304007,1,7,10000
54,70121,1,1,1,173309003,1,3,10000
55,70121,1,1,2,173304007,1,7,10000
56,70122,1,1,1,173309003,1,3,10000
57,70122,1,1,2,173304007,1,8,10000
58,70123,1,1,1,173309003,1,3,10000
59,70123,1,1,2,173304007,1,8,10000
60,70124,1,1,1,173309003,1,3,10000
61,70124,1,1,2,173304007,1,8,10000
62,70125,1,1,1,173309003,1,3,10000
63,70125,1,1,2,173304007,1,9,10000
64,70126,1,1,1,173309003,1,3,10000
65,70126,1,1,2,173304007,1,9,10000
66,70127,1,1,1,173309003,1,3,10000
67,70127,1,1,2,173304007,1,9,10000
68,70128,1,1,1,173309003,1,3,10000
69,70128,1,1,2,173304007,1,10,10000
70,70129,1,1,1,173309003,1,3,10000
71,70129,1,1,2,173304007,1,10,10000
72,70130,1,1,1,173309003,1,3,10000
73,70130,1,1,2,173304007,1,10,10000
74,70131,1,1,1,173309003,1,4,10000
75,70131,1,1,2,173304007,1,10,10000
76,70132,1,1,1,173309003,1,4,10000
77,70132,1,1,2,173304007,1,10,10000
78,70133,1,1,1,173309003,1,4,10000
79,70133,1,1,2,173304007,1,10,10000
80,70134,1,1,1,173309003,1,4,10000
81,70134,1,1,2,173304007,1,10,10000
82,70135,1,1,1,173309003,1,4,10000
83,70135,1,1,2,173304007,1,10,10000
84,70136,1,1,1,173309003,1,4,10000
85,70136,1,1,2,173304007,1,10,10000
86,70137,1,1,1,173309003,1,4,10000
87,70137,1,1,2,173304007,1,10,10000
88,70138,1,1,1,173309003,1,4,10000
89,70138,1,1,2,173304007,1,10,10000
90,70139,1,1,1,173309003,1,4,10000
91,70139,1,1,2,173304007,1,10,10000
92,70140,1,1,1,173309003,1,4,10000
93,70140,1,1,2,173304007,1,10,10000
94,40301,1,1,1,183371008,1,12,10000
95,40301,1,1,2,183371010,1,1,3000
96,40302,1,1,1,183371008,1,18,10000
97,40302,1,1,2,183371010,1,1,5000
98,40303,1,1,1,182371007,1,1,10000
99,40303,1,1,2,183371008,1,10,10000
100,40303,1,1,3,183371010,1,1,7000
101,40304,1,1,1,182371007,1,2,10000
102,40304,1,1,2,183371008,1,7,10000
103,40304,1,1,3,183371010,1,1,10000
104,20701,1,1,1,143151240,2,2,375
105,20701,1,1,1,143151340,2,2,375
106,20701,1,1,1,143151140,2,2,375
107,20701,1,1,1,143152140,2,2,156
108,20701,1,1,1,143152340,2,2,156
109,20701,1,1,1,143152240,2,2,156
110,20701,1,1,1,143153340,2,2,313
111,20701,1,1,1,143153140,2,2,313
112,20701,1,1,1,143153240,2,2,313
113,20701,1,1,1,143154240,2,2,235
114,20701,1,1,1,143154140,2,2,235
115,20701,1,1,1,143154340,2,2,235
116,20701,1,1,1,143155340,2,2,313
117,20701,1,1,1,143155240,2,2,313
118,20701,1,1,1,143155140,2,2,313
119,20701,1,1,1,143156340,2,2,375
120,20701,1,1,1,143156240,2,2,375
121,20701,1,1,1,143156140,2,2,375
122,20701,1,1,1,143157240,2,2,313
123,20701,1,1,1,143157140,2,2,313
124,20701,1,1,1,143157340,2,2,313
