id,monsterid,rank_mix,rank_max,bag_id,number,person,profession
0,207001,1,1,10852,1,1,0
1,702001,0,0,10066,3,1,0
2,702001,0,0,10067,5,1,0
3,702001,0,0,10280,1,1,0
4,702002,1,1,10066,1,1,0
5,702002,1,1,10280,1,1,0
6,702002,0,0,10066,4,1,0
7,702002,0,0,10280,2,1,0
8,702002,0,0,10069,2,1,0
9,702003,1,1,10066,2,1,0
10,702003,1,1,10068,3,1,0
11,702003,0,0,10066,8,1,0
12,702003,0,0,10280,4,1,0
13,702003,0,0,10069,4,1,0
14,506001,1,1,10073,1,1,0
15,506001,1,1,10074,1,1,0
16,506001,1,1,10174,1,1,0
17,506002,1,1,10073,1,1,0
18,506002,1,1,10074,1,1,0
19,506002,1,1,10174,1,1,0
20,506003,1,1,10073,1,1,0
21,506003,1,1,10074,1,1,0
22,506003,1,1,10174,1,1,0
23,506004,1,1,10073,1,1,0
24,506004,1,1,10074,1,1,0
25,506004,1,1,10174,1,1,0
26,506005,1,1,10075,1,1,0
27,506005,1,1,10076,1,1,0
28,506005,1,1,10077,1,1,0
29,506006,1,1,10075,1,1,0
30,506006,1,1,10076,1,1,0
31,506006,1,1,10077,1,1,0
32,506007,1,1,10075,1,1,0
33,506007,1,1,10076,1,1,0
34,506007,1,1,10077,1,1,0
35,506008,1,1,10075,1,1,0
36,506008,1,1,10076,1,1,0
37,506008,1,1,10077,1,1,0
38,206001,0,0,10654,1,1,0
39,206003,0,0,10654,1,1,0
40,206005,0,0,10654,1,1,0
41,206007,0,0,10654,1,1,0
42,206009,0,0,10654,1,1,0
43,206011,0,0,10654,1,1,0
44,206013,0,0,10654,1,1,0
45,206015,0,0,10654,1,1,0
46,206017,0,0,10654,1,1,0
47,206019,0,0,10654,1,1,0
48,206021,0,0,10654,1,1,0
49,207001,1,1,10814,2,1,0
50,207001,1,1,10822,1,1,0
51,207001,1,1,10832,1,1,0
52,207001,1,1,10823,1,1,0
53,207001,1,1,10832,1,1,0
54,207001,2,10,10814,1,1,0
55,207001,2,10,10822,1,1,0
56,207001,2,10,10832,1,1,0
57,207001,0,0,10814,1,1,0
58,207001,0,0,10822,1,1,0
59,207001,0,0,10832,1,1,0
60,207001,1,1,10783,1,1,0
61,207001,1,1,10805,1,1,0
62,207001,2,10,10848,1,1,0
63,207001,2,10,10805,1,1,0
64,207001,0,0,10805,1,1,0
66,207002,1,1,10814,3,3,0
67,207002,1,1,10823,2,2,0
68,207002,1,1,10832,1,1,0
69,207002,2,10,10814,2,2,0
70,207002,2,10,10823,1,1,0
71,207002,2,10,10832,1,1,0
72,207002,0,0,10814,1,1,0
73,207002,0,0,10823,1,1,0
74,207002,0,0,10832,1,1,0
75,207002,1,1,10783,1,1,0
76,207002,1,1,10805,1,1,0
77,207002,2,10,10848,1,1,0
78,207002,2,10,10805,1,1,0
79,207002,0,0,10805,1,1,0
80,207002,1,1,10852,1,1,0
81,207003,1,1,10815,2,2,0
82,207003,1,1,10823,1,1,0
83,207003,1,1,10832,1,1,0
84,207003,1,1,10824,1,1,0
85,207003,1,1,10833,1,1,0
86,207003,2,10,10815,1,1,0
87,207003,2,10,10823,1,1,0
88,207003,2,10,10832,1,1,0
89,207003,0,0,10815,1,1,0
90,207003,0,0,10823,1,1,0
91,207003,0,0,10832,1,1,0
92,207003,1,1,10783,1,1,0
93,207003,1,1,10784,1,1,0
94,207003,1,1,10805,1,1,0
95,207003,1,1,10806,1,1,0
96,207003,2,10,10848,1,1,0
97,207003,2,10,10789,1,1,0
98,207003,2,10,10805,1,1,0
99,207003,0,0,10805,1,1,0
100,207003,0,0,10794,1,1,0
101,207003,1,1,10852,1,1,0
102,207004,1,1,10815,3,3,0
103,207004,1,1,10824,2,2,0
104,207004,1,1,10833,1,1,0
105,207004,2,10,10815,2,2,0
106,207004,2,10,10824,1,1,0
107,207004,2,10,10833,1,1,0
108,207004,0,0,10815,1,1,0
109,207004,0,0,10824,1,1,0
110,207004,0,0,10833,1,1,0
111,207004,1,1,10783,1,1,0
112,207004,1,1,10784,1,1,0
113,207004,1,1,10786,1,1,0
114,207004,1,1,10805,1,1,0
115,207004,1,1,10806,1,1,0
116,207004,2,10,10848,1,1,0
117,207004,2,10,10790,1,1,0
118,207004,2,10,10805,1,1,0
119,207004,0,0,10805,1,1,0
120,207004,0,0,10794,1,1,0
121,207004,1,1,10852,1,1,0
122,207005,1,1,10816,2,2,0
123,207005,1,1,10824,1,1,0
124,207005,1,1,10825,1,1,0
125,207005,1,1,10834,1,1,0
126,207005,2,10,10816,1,1,0
127,207005,2,10,10824,1,1,0
128,207005,2,10,10833,1,1,0
129,207005,0,0,10816,1,1,0
130,207005,0,0,10824,1,1,0
131,207005,0,0,10833,1,1,0
132,207005,1,1,10783,1,1,0
133,207005,1,1,10784,1,1,0
134,207005,1,1,10788,1,1,0
135,207005,1,1,10796,1,1,0
136,207005,1,1,10801,2,2,0
137,207005,1,1,10802,1,1,0
138,207005,1,1,10805,2,2,0
139,207005,1,1,10806,1,1,0
140,207005,1,1,10809,1,1,0
141,207005,1,1,10780,1,1,0
142,207005,2,10,10848,1,1,0
143,207005,2,10,10791,1,1,0
144,207005,2,10,10801,1,1,0
145,207005,2,10,10805,1,1,0
146,207005,0,0,10805,1,1,0
147,207005,0,0,10794,1,1,0
148,207005,1,1,10852,1,1,0
149,207006,1,1,10816,3,3,0
150,207006,1,1,10825,2,2,0
151,207006,1,1,10834,1,1,0
152,207006,2,10,10816,2,2,0
153,207006,2,10,10825,1,1,0
154,207006,2,10,10834,1,1,0
155,207006,0,0,10816,1,1,0
156,207006,0,0,10825,1,1,0
157,207006,0,0,10834,1,1,0
158,207006,1,1,10783,1,1,0
159,207006,1,1,10784,1,1,0
160,207006,1,1,10790,1,1,0
161,207006,1,1,10796,1,1,0
162,207006,1,1,10801,2,2,0
163,207006,1,1,10802,1,1,0
164,207006,1,1,10805,2,2,0
165,207006,1,1,10806,1,1,0
166,207006,1,1,10809,1,1,0
167,207006,1,1,10780,1,1,0
168,207006,2,10,10848,1,1,0
169,207006,2,10,10792,1,1,0
170,207006,2,10,10801,1,1,0
171,207006,2,10,10805,1,1,0
172,207006,0,0,10805,1,1,0
173,207006,0,0,10794,1,1,0
174,207006,1,1,10852,1,1,0
175,207007,1,1,10817,2,2,0
176,207007,1,1,10825,1,1,0
177,207007,1,1,10835,1,1,0
178,207007,1,1,10838,1,1,0
179,207007,1,1,10840,1,1,0
180,207007,2,10,10817,1,1,0
181,207007,2,10,10825,1,1,0
182,207007,2,10,10835,1,1,0
183,207007,0,0,10817,1,1,0
184,207007,0,0,10825,1,1,0
185,207007,0,0,10835,1,1,0
186,207007,1,1,10783,1,1,0
187,207007,1,1,10784,1,1,0
188,207007,1,1,10792,1,1,0
189,207007,1,1,10798,1,1,0
190,207007,1,1,10801,2,2,0
191,207007,1,1,10802,1,1,0
192,207007,1,1,10805,2,2,0
193,207007,1,1,10806,1,1,0
194,207007,1,1,10810,1,1,0
195,207007,1,1,10781,1,1,0
196,207007,2,10,10848,1,1,0
197,207007,2,10,10793,1,1,0
198,207007,2,10,10801,1,1,0
199,207007,2,10,10805,1,1,0
200,207007,2,10,10809,1,1,0
201,207007,0,0,10805,1,1,0
202,207007,0,0,10795,1,1,0
203,207007,1,1,10852,1,1,0
204,202101,1,1,10043,1,1,0
205,202101,0,0,10024,2,1,0
206,202101,0,0,10078,2,1,0
207,202101,2,10,10227,2,1,0
208,202101,1,1,10032,10,1,0
209,202101,1,1,10269,4,1,0
210,204101,1,1,10044,1,1,0
211,204101,0,0,10024,2,1,0
212,204101,0,0,10078,2,1,0
213,204101,2,10,10227,2,1,0
214,204101,1,1,10035,10,1,0
215,204101,1,1,10270,4,1,0
216,205101,1,1,10045,1,1,0
217,205101,0,0,10025,2,1,0
218,205101,0,0,10078,2,1,0
219,205101,2,10,10228,2,1,0
220,205101,1,1,10037,10,1,0
221,205101,1,1,10271,4,1,0
