id,bagid,objectid,star,percent
1,10780,144166040,0,0
2,10780,144166040,1,5000
3,10780,144166040,2,3000
4,10780,144166040,3,1000
5,10780,144166040,4,1000
6,10780,144166040,5,0
7,10780,144165040,0,0
8,10780,144165040,1,5000
9,10780,144165040,2,3000
10,10780,144165040,3,1000
11,10780,144165040,4,1000
12,10780,144165040,5,0
13,10780,144164040,0,0
14,10780,144164040,1,5000
15,10780,144164040,2,3000
16,10780,144164040,3,1000
17,10780,144164040,4,1000
18,10780,144164040,5,0
19,10780,144163040,0,0
20,10780,144163040,1,5000
21,10780,144163040,2,3000
22,10780,144163040,3,1000
23,10780,144163040,4,1000
24,10780,144163040,5,0
25,10780,143166040,0,0
26,10780,143166040,1,5000
27,10780,143166040,2,3000
28,10780,143166040,3,1000
29,10780,143166040,4,1000
30,10780,143166040,5,0
31,10780,143165040,0,0
32,10780,143165040,1,5000
33,10780,143165040,2,3000
34,10780,143165040,3,1000
35,10780,143165040,4,1000
36,10780,143165040,5,0
37,10780,143164040,0,0
38,10780,143164040,1,5000
39,10780,143164040,2,3000
40,10780,143164040,3,1000
41,10780,143164040,4,1000
42,10780,143164040,5,0
43,10780,143163040,0,0
44,10780,143163040,1,5000
45,10780,143163040,2,3000
46,10780,143163040,3,1000
47,10780,143163040,4,1000
48,10780,143163040,5,0
49,10780,142166040,0,0
50,10780,142166040,1,5000
51,10780,142166040,2,3000
52,10780,142166040,3,1000
53,10780,142166040,4,1000
54,10780,142166040,5,0
55,10780,142165040,0,0
56,10780,142165040,1,5000
57,10780,142165040,2,3000
58,10780,142165040,3,1000
59,10780,142165040,4,1000
60,10780,142165040,5,0
61,10780,142164040,0,0
62,10780,142164040,1,5000
63,10780,142164040,2,3000
64,10780,142164040,3,1000
65,10780,142164040,4,1000
66,10780,142164040,5,0
67,10780,142163040,0,0
68,10780,142163040,1,5000
69,10780,142163040,2,3000
70,10780,142163040,3,1000
71,10780,142163040,4,1000
72,10780,142163040,5,0
73,10780,141166040,0,0
74,10780,141166040,1,5000
75,10780,141166040,2,3000
76,10780,141166040,3,1000
77,10780,141166040,4,1000
78,10780,141166040,5,0
79,10780,141165040,0,0
80,10780,141165040,1,5000
81,10780,141165040,2,3000
82,10780,141165040,3,1000
83,10780,141165040,4,1000
84,10780,141165040,5,0
85,10780,141164040,0,0
86,10780,141164040,1,5000
87,10780,141164040,2,3000
88,10780,141164040,3,1000
89,10780,141164040,4,1000
90,10780,141164040,5,0
91,10780,141163040,0,0
92,10780,141163040,1,5000
93,10780,141163040,2,3000
94,10780,141163040,3,1000
95,10780,141163040,4,1000
96,10780,141163040,5,0
97,10781,144166060,0,0
98,10781,144166060,1,5000
99,10781,144166060,2,4000
100,10781,144166060,3,1000
101,10781,144166060,4,0
102,10781,144166060,5,0
103,10781,144165060,0,0
104,10781,144165060,1,5000
105,10781,144165060,2,4000
106,10781,144165060,3,1000
107,10781,144165060,4,0
108,10781,144165060,5,0
109,10781,144164060,0,0
110,10781,144164060,1,5000
111,10781,144164060,2,4000
112,10781,144164060,3,1000
113,10781,144164060,4,0
114,10781,144164060,5,0
115,10781,144163060,0,0
116,10781,144163060,1,5000
117,10781,144163060,2,4000
118,10781,144163060,3,1000
119,10781,144163060,4,0
120,10781,144163060,5,0
121,10781,143166060,0,0
122,10781,143166060,1,5000
123,10781,143166060,2,4000
124,10781,143166060,3,1000
125,10781,143166060,4,0
126,10781,143166060,5,0
127,10781,143165060,0,0
128,10781,143165060,1,5000
129,10781,143165060,2,4000
130,10781,143165060,3,1000
131,10781,143165060,4,0
132,10781,143165060,5,0
133,10781,143164060,0,0
134,10781,143164060,1,5000
135,10781,143164060,2,4000
136,10781,143164060,3,1000
137,10781,143164060,4,0
138,10781,143164060,5,0
139,10781,143163060,0,0
140,10781,143163060,1,5000
141,10781,143163060,2,4000
142,10781,143163060,3,1000
143,10781,143163060,4,0
144,10781,143163060,5,0
145,10781,142166060,0,0
146,10781,142166060,1,5000
147,10781,142166060,2,4000
148,10781,142166060,3,1000
149,10781,142166060,4,0
150,10781,142166060,5,0
151,10781,142165060,0,0
152,10781,142165060,1,5000
153,10781,142165060,2,4000
154,10781,142165060,3,1000
155,10781,142165060,4,0
156,10781,142165060,5,0
157,10781,142164060,0,0
158,10781,142164060,1,5000
159,10781,142164060,2,4000
160,10781,142164060,3,1000
161,10781,142164060,4,0
162,10781,142164060,5,0
163,10781,142163060,0,0
164,10781,142163060,1,5000
165,10781,142163060,2,4000
166,10781,142163060,3,1000
167,10781,142163060,4,0
168,10781,142163060,5,0
169,10782,144166080,0,0
170,10782,144166080,1,5000
171,10782,144166080,2,3000
172,10782,144166080,3,2000
173,10782,144166080,4,0
174,10782,144166080,5,0
175,10782,144164080,0,0
176,10782,144164080,1,5000
177,10782,144164080,2,3000
178,10782,144164080,3,2000
179,10782,144164080,4,0
180,10782,144164080,5,0
181,10782,144163080,0,0
182,10782,144163080,1,5000
183,10782,144163080,2,3000
184,10782,144163080,3,2000
185,10782,144163080,4,0
186,10782,144163080,5,0
187,10782,143166080,0,0
188,10782,143166080,1,5000
189,10782,143166080,2,3000
190,10782,143166080,3,2000
191,10782,143166080,4,0
192,10782,143166080,5,0
193,10782,143164080,0,0
194,10782,143164080,1,5000
195,10782,143164080,2,3000
196,10782,143164080,3,2000
197,10782,143164080,4,0
198,10782,143164080,5,0
199,10782,143163080,0,0
200,10782,143163080,1,5000
201,10782,143163080,2,3000
202,10782,143163080,3,2000
203,10782,143163080,4,0
204,10782,143163080,5,0
205,10849,144166040,0,0
206,10849,144166040,1,5000
207,10849,144166040,2,3000
208,10849,144166040,3,1000
209,10849,144166040,4,1000
210,10849,144166040,5,0
211,10849,144165040,0,0
212,10849,144165040,1,5000
213,10849,144165040,2,3000
214,10849,144165040,3,1000
215,10849,144165040,4,1000
216,10849,144165040,5,0
217,10849,144164040,0,0
218,10849,144164040,1,5000
219,10849,144164040,2,3000
220,10849,144164040,3,1000
221,10849,144164040,4,1000
222,10849,144164040,5,0
223,10849,144163040,0,0
224,10849,144163040,1,5000
225,10849,144163040,2,3000
226,10849,144163040,3,1000
227,10849,144163040,4,1000
228,10849,144163040,5,0
229,10849,143166040,0,0
230,10849,143166040,1,5000
231,10849,143166040,2,3000
232,10849,143166040,3,1000
233,10849,143166040,4,1000
234,10849,143166040,5,0
235,10849,143165040,0,0
236,10849,143165040,1,5000
