id,monsterid,rank_mix,rank_max,bag_id,number,person,profession,level
1,209101,0,0,10388,1,1,0,40
2,209101,0,0,10389,1,1,0,45
3,209101,0,0,10390,1,1,0,50
4,209101,0,0,10391,1,1,0,55
5,209101,0,0,10392,1,1,0,60
6,209101,0,0,10393,1,1,0,65
7,209101,0,0,10394,1,1,0,70
8,209101,0,0,10395,1,1,0,75
9,209101,0,0,10396,1,1,0,80
10,209101,0,0,10397,1,1,0,85
11,209101,0,0,10398,1,1,0,90
12,209101,0,0,10399,1,1,0,95
13,209101,0,0,10400,1,1,0,100
14,209101,0,0,10427,1,1,0,40
15,209101,0,0,10427,1,1,0,45
16,209101,0,0,10427,1,1,0,50
17,209101,0,0,10427,1,1,0,55
18,209101,0,0,10427,1,1,0,60
19,209101,0,0,10427,1,1,0,65
20,209101,0,0,10427,1,1,0,70
21,209101,0,0,10427,1,1,0,75
22,209101,0,0,10427,1,1,0,80
23,209101,0,0,10427,1,1,0,85
24,209101,0,0,10427,1,1,0,90
25,209101,0,0,10427,1,1,0,95
26,209101,0,0,10427,1,1,0,100
27,209101,0,0,10431,5,1,0,40
28,209101,0,0,10431,5,1,0,45
29,209101,0,0,10431,5,1,0,50
30,209101,0,0,10431,5,1,0,55
31,209101,0,0,10431,5,1,0,60
32,209101,0,0,10431,5,1,0,65
33,209101,0,0,10431,5,1,0,70
34,209101,0,0,10431,5,1,0,75
35,209101,0,0,10431,5,1,0,80
36,209101,0,0,10431,5,1,0,85
37,209101,0,0,10431,5,1,0,90
38,209101,0,0,10431,5,1,0,95
39,209101,0,0,10431,5,1,0,100
40,209101,0,0,10353,1,1,0,40
41,209101,0,0,10353,1,1,0,45
42,209101,0,0,10354,1,1,0,50
43,209101,0,0,10354,1,1,0,55
44,209101,0,0,10355,1,1,0,60
45,209101,0,0,10355,1,1,0,65
46,209101,0,0,10356,1,1,0,70
47,209101,0,0,10356,1,1,0,75
48,209101,0,0,10357,1,1,0,80
49,209101,0,0,10357,1,1,0,85
50,209101,0,0,10358,1,1,0,90
51,209101,0,0,10358,1,1,0,95
52,209101,0,0,10359,1,1,0,100
53,209101,0,0,10360,1,1,0,40
54,209101,0,0,10360,1,1,0,45
55,209101,0,0,10361,1,1,0,50
56,209101,0,0,10361,1,1,0,55
57,209101,0,0,10362,1,1,0,60
58,209101,0,0,10362,1,1,0,65
59,209101,0,0,10363,1,1,0,70
60,209101,0,0,10363,1,1,0,75
