effectid,showid,effectpath
1,1,skillEffect/Effect/baohuzhao
2,2,skillEffect/Effect/tianhuo02
3,3,skillEffect/Effect/BUFF_PofangFazhen
4,4,skillEffect/Effect/bingbao
5,5,skillEffect/Effect/9990008_jineng
6,6,
7,7,skillEffect/Effect/buff_huixue02
8,8,skillEffect/Effect/9990008_shuizhu
9,10,skillEffect/Effect/skill_huozhen
10,9,skillEffect/Effect/skill_shui
11,11,skillEffect/Effect/skill_bing
12,12,skillEffect/Effect/skill_feng
13,13,skillEffect/Effect/skill_shandian
14,15,skillEffect/Effect/skill_xukong
15,14,skillEffect/Effect/skill_guang
16,16,skillEffect/Effect/fangyuta_hong_1
17,17,skillEffect/Effect/fangyuta_hong_2
18,18,skillEffect/Effect/fangyuta_hong_3
19,19,skillEffect/Effect/9990002_qilang
20,20,skillEffect/Effect/9990004_xuanwo
21,21,skillEffect/Effect/9990003_jiangongBUFF
22,22,skillEffect/Effect/9990014_chuansong01
23,23,skillEffect/Effect/9990012_bingchongjibo
24,24,skillEffect/Effect/9990005_shizui
25,25,skillEffect/Effect/9990012_baohuzhao
26,26,skillEffect/Effect/9990012_chenmoBUFF
27,27,skillEffect/Effect/9990014_chuansong02
28,28,skillEffect/Effect/FB4-2quyuhuo01
29,29,skillEffect/Effect/FB4-2quyuhuo02
